epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,2.8790606834270336,0.005907920800787099,0.0,0.005907920800787099,0.11687954470788528,38,1.9400902152061463,0.005185948023437525,0.0,0.005185948023437525,0.13918032040030276,38,0.00011999999999999999,1,1,1,1,0.005185948023437525,166.78792084199995,2.63630579200003,169.55099882800005,0.005907920800787099,0.005185948023437525,38,38,pc_macro_dice,0.005907920800787099,0.005185948023437525
2,1.1961801329044381,0.03297706766317866,0.0,0.03297706766317866,0.36842250702493007,38,0.9402749478816986,0.04778233757044932,0.0,0.04778233757044932,0.4345315621943954,38,0.00017999999999999998,1,1,1,1,0.04778233757044932,170.88370659099996,2.3087609190001785,173.38857193700005,0.03297706766317866,0.04778233757044932,38,38,pc_macro_dice,0.03297706766317866,0.04778233757044932
3,0.8940184981333287,0.0706502175778739,0.0,0.0706502175778739,0.43409797393830235,38,0.7954051256179809,0.07853745365910918,0.0,0.07853745365910918,0.4762100523193185,38,0.00023999999999999998,1,1,1,1,0.07853745365910918,171.16467431700016,2.2874387310000657,173.62229368999988,0.0706502175778739,0.07853745365910918,38,38,pc_macro_dice,0.0706502175778739,0.07853745365910918
4,0.741804944345044,0.1093574323940553,0.0,0.1093574323940553,0.5531755206576221,38,0.6706158638000488,0.11764834749551357,0.0,0.11764834749551357,0.5533699953491485,38,0.0003,1,1,1,1,0.11764834749551357,171.09075922299985,2.279658769999969,173.54101817799983,0.1093574323940553,0.11764834749551357,38,38,pc_macro_dice,0.1093574323940553,0.11764834749551357
5,0.6565465790655477,0.13467620550015783,0.0,0.13467620550015783,0.5961219236471699,38,0.6387278646230697,0.1226919433891756,0.0,0.1226919433891756,0.5629769205088623,38,0.0003,1,1,1,1,0.1226919433891756,170.91227404400001,2.2683255079998617,173.353977043,0.13467620550015783,0.1226919433891756,38,38,pc_macro_dice,0.13467620550015783,0.1226919433891756
6,0.6147232166043034,0.1578953576002944,0.0,0.1578953576002944,0.618883010316298,38,0.6556197911500931,0.1299123126060814,0.0,0.1299123126060814,0.5487713898114008,38,0.0002997561810369572,1,1,1,1,0.1299123126060814,170.80944161099978,2.279374917000041,173.26926266199985,0.1578953576002944,0.1299123126060814,38,38,pc_macro_dice,0.1578953576002944,0.1299123126060814
7,0.5844477271592176,0.1717604959571901,0.0,0.1717604959571901,0.6333797025534545,38,0.5807267725467682,0.16236440626256585,0.0,0.16236440626256585,0.6025587648803702,38,0.0002990255194346082,1,1,1,1,0.16236440626256585,170.74412592299996,2.2857918989998325,173.20661006199998,0.1717604959571901,0.16236440626256585,38,38,pc_macro_dice,0.1717604959571901,0.16236440626256585
8,0.5658222957692965,0.1885882957401683,0.0,0.1885882957401683,0.6403443222288547,38,0.5487863183021545,0.18881074752675722,0.0,0.18881074752675722,0.609525803602573,38,0.00029781039845923004,1,1,1,1,0.18881074752675722,170.75760864099993,2.298786919000122,173.2370666019997,0.1885882957401683,0.18881074752675722,38,38,pc_macro_dice,0.1885882957401683,0.18881074752675722
9,0.5472665877655299,0.2089322741575806,0.0,0.2089322741575806,0.6478005015843492,38,0.5323188066482544,0.20441438646253682,0.0,0.20441438646253682,0.6187706335475314,38,0.00029611478158287887,1,1,1,1,0.20441438646253682,170.78361221899968,2.287352126999849,173.24952401600012,0.2089322741575806,0.20441438646253682,38,38,pc_macro_dice,0.2089322741575806,0.20441438646253682
10,0.528342586876166,0.22576407576248053,0.0,0.22576407576248053,0.6564171086400931,38,0.5156759679317474,0.2195585444599577,0.0,0.2195585444599577,0.6326024487816163,38,0.0002939441995553673,1,1,1,1,0.2195585444599577,170.6728620670001,2.2691349639999316,173.11896575799983,0.22576407576248053,0.2195585444599577,38,38,pc_macro_dice,0.22576407576248053,0.2195585444599577
11,0.5117195515520243,0.23705564244682328,0.0,0.23705564244682328,0.6671293333215231,38,0.5012781262397766,0.22864296886331706,0.0,0.22864296886331706,0.6655658505840836,38,0.0002913057323641089,1,1,1,1,0.22864296886331706,171.12346720100004,2.2779772210001283,173.57980196800008,0.23705564244682328,0.22864296886331706,38,38,pc_macro_dice,0.23705564244682328,0.22864296886331706
