epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Unknown,0.8230065477517591,0
1,train,1,2,Left-Cerebral-White-Matter,0.0015289063263640005,1
1,train,2,3,Left-Cerebral-Cortex,0.0011393503462610386,1
1,train,3,4,Left-Lateral-Ventricle,1.3650199975417994e-05,1
1,train,4,5,Left-Inf-Lat-Vent,0.0,1
1,train,5,7,Left-Cerebellum-White-Matter,7.184740330006633e-06,1
1,train,6,8,Left-Cerebellum-Cortex,0.000210169972237852,1
1,train,7,10,Left-Thalamus,0.0,1
1,train,8,11,Left-Caudate,0.0014851158665323285,1
1,train,9,12,Left-Putamen,0.000611237039846838,1
1,train,10,13,Left-Pallidum,0.0010842971242866317,1
1,train,11,14,3rd-Ventricle,0.0,1
1,train,12,15,4th-Ventricle,0.0002306407359492058,1
1,train,13,16,Brain-Stem,0.005897709414441169,1
1,train,14,17,Left-Hippocampus,3.996483094868523e-06,1
1,train,15,18,Left-Amygdala,0.0,1
1,train,16,24,CSF,0.0,1
1,train,17,26,Left-Accumbens-area,0.00029156871302643593,1
1,train,18,28,Left-VentralDC,0.0003620106737737852,1
1,train,19,41,Right-Cerebral-White-Matter,0.0003163944020711405,1
1,train,20,42,Right-Cerebral-Cortex,0.00043582086082009404,1
1,train,21,43,Right-Lateral-Ventricle,0.0025193116613177148,1
1,train,22,44,Right-Inf-Lat-Vent,0.0,1
1,train,23,46,Right-Cerebellum-White-Matter,0.00017941429388226306,1
1,train,24,47,Right-Cerebellum-Cortex,0.010344384207338773,1
1,train,25,49,Right-Thalamus,0.0,1
1,train,26,50,Right-Caudate,0.0023871700692373425,1
1,train,27,51,Right-Putamen,0.0007703782846139605,1
1,train,28,52,Right-Pallidum,0.0,1
1,train,29,53,Right-Hippocampus,0.0,1
1,train,30,54,Right-Amygdala,0.0002416298663348986,1
1,train,31,58,Right-Accumbens-area,4.6463723447558226e-05,1
1,train,32,60,Right-VentralDC,0.0007546360086746277,1
1,train,33,100,Non-Brain-1,0.11687954470788528,1
1,train,34,101,Non-Brain-2,0.0719805017908545,1
1,train,35,102,Non-Brain-3,0.0023507660945382455,1
1,train,36,103,Non-Brain-4,2.9633014370113737e-05,1
1,train,37,104,Non-Brain-5,0.0008900505492648993,1
1,train,38,105,Non-Brain-6,0.0015090532591387842,1
1,eval,0,0,Unknown,0.9496042161089832,0
1,eval,1,2,Left-Cerebral-White-Matter,0.0012460134984778866,1
1,eval,2,3,Left-Cerebral-Cortex,9.76603032838334e-06,1
1,eval,3,4,Left-Lateral-Ventricle,0.0,1
1,eval,4,5,Left-Inf-Lat-Vent,0.0,1
1,eval,5,7,Left-Cerebellum-White-Matter,0.0,1
1,eval,6,8,Left-Cerebellum-Cortex,0.0,1
1,eval,7,10,Left-Thalamus,0.0,1
1,eval,8,11,Left-Caudate,0.0,1
1,eval,9,12,Left-Putamen,0.0,1
1,eval,10,13,Left-Pallidum,0.0,1
1,eval,11,14,3rd-Ventricle,0.0,1
1,eval,12,15,4th-Ventricle,0.0,1
1,eval,13,16,Brain-Stem,0.0,1
1,eval,14,17,Left-Hippocampus,0.0,1
1,eval,15,18,Left-Amygdala,0.0,1
1,eval,16,24,CSF,0.0,1
1,eval,17,26,Left-Accumbens-area,0.0,1
1,eval,18,28,Left-VentralDC,0.0,1
1,eval,19,41,Right-Cerebral-White-Matter,0.0,1
1,eval,20,42,Right-Cerebral-Cortex,0.0,1
1,eval,21,43,Right-Lateral-Ventricle,0.0,1
1,eval,22,44,Right-Inf-Lat-Vent,0.0,1
1,eval,23,46,Right-Cerebellum-White-Matter,0.0,1
1,eval,24,47,Right-Cerebellum-Cortex,0.0,1
1,eval,25,49,Right-Thalamus,0.0,1
1,eval,26,50,Right-Caudate,0.0,1
1,eval,27,51,Right-Putamen,9.5858895700927e-05,1
1,eval,28,52,Right-Pallidum,0.0,1
1,eval,29,53,Right-Hippocampus,0.0,1
1,eval,30,54,Right-Amygdala,0.0,1
1,eval,31,58,Right-Accumbens-area,0.0,1
1,eval,32,60,Right-VentralDC,0.0,1
1,eval,33,100,Non-Brain-1,0.13918032040030276,1
1,eval,34,101,Non-Brain-2,0.03402486349486538,1
1,eval,35,102,Non-Brain-3,0.022501072076514927,1
1,eval,36,103,Non-Brain-4,0.0,1
1,eval,37,104,Non-Brain-5,8.130494435676345e-06,1
1,eval,38,105,Non-Brain-6,0.0,1
2,train,0,0,Unknown,0.9462272752229907,0
2,train,1,2,Left-Cerebral-White-Matter,0.008744525849182906,1
2,train,2,3,Left-Cerebral-Cortex,0.002550182549735299,1
2,train,3,4,Left-Lateral-Ventricle,0.0,1
2,train,4,5,Left-Inf-Lat-Vent,0.0,1
2,train,5,7,Left-Cerebellum-White-Matter,0.0,1
2,train,6,8,Left-Cerebellum-Cortex,0.0,1
2,train,7,10,Left-Thalamus,0.0,1
2,train,8,11,Left-Caudate,0.0,1
2,train,9,12,Left-Putamen,0.0,1
2,train,10,13,Left-Pallidum,8.966277829064713e-06,1
2,train,11,14,3rd-Ventricle,0.0,1
2,train,12,15,4th-Ventricle,0.0,1
2,train,13,16,Brain-Stem,0.0,1
2,train,14,17,Left-Hippocampus,0.0,1
2,train,15,18,Left-Amygdala,0.0,1
2,train,16,24,CSF,1.8684663545380692e-05,1
2,train,17,26,Left-Accumbens-area,0.0,1
2,train,18,28,Left-VentralDC,0.0,1
2,train,19,41,Right-Cerebral-White-Matter,0.30774442258401336,1
2,train,20,42,Right-Cerebral-Cortex,0.01896020634502066,1
2,train,21,43,Right-Lateral-Ventricle,0.0,1
2,train,22,44,Right-Inf-Lat-Vent,0.0,1
2,train,23,46,Right-Cerebellum-White-Matter,0.0,1
2,train,24,47,Right-Cerebellum-Cortex,0.0,1
2,train,25,49,Right-Thalamus,0.0,1
2,train,26,50,Right-Caudate,0.0,1
2,train,27,51,Right-Putamen,0.0,1
2,train,28,52,Right-Pallidum,0.0,1
2,train,29,53,Right-Hippocampus,0.0,1
2,train,30,54,Right-Amygdala,0.0,1
2,train,31,58,Right-Accumbens-area,0.0,1
2,train,32,60,Right-VentralDC,0.0,1
2,train,33,100,Non-Brain-1,0.08238116816725176,1
2,train,34,101,Non-Brain-2,0.36842250702493007,1
2,train,35,102,Non-Brain-3,0.27344196098003193,1
2,train,36,103,Non-Brain-4,0.19085594675924855,1
2,train,37,104,Non-Brain-5,0.0,1
2,train,38,105,Non-Brain-6,0.0,1
2,eval,0,0,Unknown,0.967011699908932,0
2,eval,1,2,Left-Cerebral-White-Matter,0.1504614627214223,1
2,eval,2,3,Left-Cerebral-Cortex,0.0,1
2,eval,3,4,Left-Lateral-Ventricle,0.0,1
2,eval,4,5,Left-Inf-Lat-Vent,0.0,1
2,eval,5,7,Left-Cerebellum-White-Matter,0.0,1
2,eval,6,8,Left-Cerebellum-Cortex,0.0,1
2,eval,7,10,Left-Thalamus,0.0,1
2,eval,8,11,Left-Caudate,0.0,1
2,eval,9,12,Left-Putamen,0.0,1
2,eval,10,13,Left-Pallidum,0.0,1
2,eval,11,14,3rd-Ventricle,0.0,1
2,eval,12,15,4th-Ventricle,0.0,1
2,eval,13,16,Brain-Stem,0.0,1
2,eval,14,17,Left-Hippocampus,0.0,1
2,eval,15,18,Left-Amygdala,0.0,1
2,eval,16,24,CSF,3.6574237472799602e-06,1
2,eval,17,26,Left-Accumbens-area,0.0,1
2,eval,18,28,Left-VentralDC,0.0,1
2,eval,19,41,Right-Cerebral-White-Matter,0.4345315621943954,1
2,eval,20,42,Right-Cerebral-Cortex,0.05616556864299227,1
2,eval,21,43,Right-Lateral-Ventricle,0.0,1
2,eval,22,44,Right-Inf-Lat-Vent,0.0,1
2,eval,23,46,Right-Cerebellum-White-Matter,0.0,1
2,eval,24,47,Right-Cerebellum-Cortex,0.0,1
2,eval,25,49,Right-Thalamus,0.0,1
2,eval,26,50,Right-Caudate,0.0,1
2,eval,27,51,Right-Putamen,0.0,1
2,eval,28,52,Right-Pallidum,0.0,1
2,eval,29,53,Right-Hippocampus,0.0,1
2,eval,30,54,Right-Amygdala,0.0,1
2,eval,31,58,Right-Accumbens-area,0.0,1
2,eval,32,60,Right-VentralDC,0.0,1
2,eval,33,100,Non-Brain-1,0.27329907255106517,1
2,eval,34,101,Non-Brain-2,0.28656887205775916,1
2,eval,35,102,Non-Brain-3,0.4334718404320292,1
2,eval,36,103,Non-Brain-4,0.18122679165366343,1
2,eval,37,104,Non-Brain-5,0.0,1
2,eval,38,105,Non-Brain-6,0.0,1
3,train,0,0,Unknown,0.9575097188628255,0
3,train,1,2,Left-Cerebral-White-Matter,0.1664563009955976,1
3,train,2,3,Left-Cerebral-Cortex,0.16233992007452974,1
3,train,3,4,Left-Lateral-Ventricle,0.0,1
3,train,4,5,Left-Inf-Lat-Vent,0.0,1
3,train,5,7,Left-Cerebellum-White-Matter,0.0,1
3,train,6,8,Left-Cerebellum-Cortex,0.0,1
3,train,7,10,Left-Thalamus,0.0,1
3,train,8,11,Left-Caudate,0.0,1
3,train,9,12,Left-Putamen,0.0,1
3,train,10,13,Left-Pallidum,0.0,1
3,train,11,14,3rd-Ventricle,0.0,1
3,train,12,15,4th-Ventricle,0.0,1
3,train,13,16,Brain-Stem,0.0,1
3,train,14,17,Left-Hippocampus,0.0,1
3,train,15,18,Left-Amygdala,0.0,1
3,train,16,24,CSF,0.2344095040871853,1
3,train,17,26,Left-Accumbens-area,0.0,1
3,train,18,28,Left-VentralDC,0.0,1
3,train,19,41,Right-Cerebral-White-Matter,0.43182149870860287,1
3,train,20,42,Right-Cerebral-Cortex,0.08084412000510764,1
3,train,21,43,Right-Lateral-Ventricle,0.0,1
3,train,22,44,Right-Inf-Lat-Vent,0.0,1
3,train,23,46,Right-Cerebellum-White-Matter,0.0,1
3,train,24,47,Right-Cerebellum-Cortex,0.0,1
3,train,25,49,Right-Thalamus,0.0,1
3,train,26,50,Right-Caudate,0.0,1
3,train,27,51,Right-Putamen,0.0,1
3,train,28,52,Right-Pallidum,0.0,1
3,train,29,53,Right-Hippocampus,0.0,1
3,train,30,54,Right-Amygdala,0.0,1
3,train,31,58,Right-Accumbens-area,0.0,1
3,train,32,60,Right-VentralDC,0.0,1
3,train,33,100,Non-Brain-1,0.39177011521108657,1
3,train,34,101,Non-Brain-2,0.4314803170202243,1
3,train,35,102,Non-Brain-3,0.43409797393830235,1
3,train,36,103,Non-Brain-4,0.34924315735329775,1
3,train,37,104,Non-Brain-5,0.0022453605652745794,1
3,train,38,105,Non-Brain-6,0.0,1
3,eval,0,0,Unknown,0.9670633335153176,0
3,eval,1,2,Left-Cerebral-White-Matter,0.2711277427774152,1
3,eval,2,3,Left-Cerebral-Cortex,0.08860334733276956,1
3,eval,3,4,Left-Lateral-Ventricle,0.0,1
3,eval,4,5,Left-Inf-Lat-Vent,0.0,1
3,eval,5,7,Left-Cerebellum-White-Matter,0.0,1
3,eval,6,8,Left-Cerebellum-Cortex,0.0,1
3,eval,7,10,Left-Thalamus,0.0,1
3,eval,8,11,Left-Caudate,0.0,1
3,eval,9,12,Left-Putamen,0.0,1
3,eval,10,13,Left-Pallidum,0.0,1
3,eval,11,14,3rd-Ventricle,0.0,1
3,eval,12,15,4th-Ventricle,0.0,1
3,eval,13,16,Brain-Stem,0.0,1
3,eval,14,17,Left-Hippocampus,0.0,1
3,eval,15,18,Left-Amygdala,0.0,1
3,eval,16,24,CSF,0.3911144677770835,1
3,eval,17,26,Left-Accumbens-area,0.0,1
3,eval,18,28,Left-VentralDC,0.0,1
3,eval,19,41,Right-Cerebral-White-Matter,0.42399479811066265,1
3,eval,20,42,Right-Cerebral-Cortex,0.06542329172162115,1
