epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9920625056280226,0
1,train,1,1,Necrotic-Core,0.18250630930792103,1
1,train,2,2,Edema,0.5802713477726431,1
1,train,3,4,Enhancing-Tumor,0.3351950781915262,1
1,eval,0,0,Background,0.996094462173523,0
1,eval,1,1,Necrotic-Core,0.23646916684006358,1
1,eval,2,2,Edema,0.6598145015384461,1
1,eval,3,4,Enhancing-Tumor,0.4752512870960134,1
2,train,0,0,Background,0.9965431213237509,0
2,train,1,1,Necrotic-Core,0.4127121577488993,1
2,train,2,2,Edema,0.7099289074248477,1
2,train,3,4,Enhancing-Tumor,0.5342834377794393,1
2,eval,0,0,Background,0.9969475325773505,0
2,eval,1,1,Necrotic-Core,0.2577182006906766,1
2,eval,2,2,Edema,0.6966504480069672,1
2,eval,3,4,Enhancing-Tumor,0.505337998706767,1
3,train,0,0,Background,0.9968913600946234,0
3,train,1,1,Necrotic-Core,0.5362172197882754,1
3,train,2,2,Edema,0.7474166909876919,1
3,train,3,4,Enhancing-Tumor,0.5885256019969047,1
3,eval,0,0,Background,0.9965893185125785,0
3,eval,1,1,Necrotic-Core,0.38584851669247566,1
3,eval,2,2,Edema,0.6837619967738809,1
3,eval,3,4,Enhancing-Tumor,0.4890193824641448,1
4,train,0,0,Background,0.9971235819966738,0
4,train,1,1,Necrotic-Core,0.6151537095472499,1
4,train,2,2,Edema,0.7715259943008697,1
4,train,3,4,Enhancing-Tumor,0.6302989183624063,1
4,eval,0,0,Background,0.9968960360291523,0
4,eval,1,1,Necrotic-Core,0.28614625899060403,1
4,eval,2,2,Edema,0.6968044869525821,1
4,eval,3,4,Enhancing-Tumor,0.5115008242667773,1
5,train,0,0,Background,0.9972894270047832,0
5,train,1,1,Necrotic-Core,0.6757406953487235,1
5,train,2,2,Edema,0.7890170966312986,1
5,train,3,4,Enhancing-Tumor,0.6703049699859461,1
5,eval,0,0,Background,0.9970306598141873,0
5,eval,1,1,Necrotic-Core,0.4154946574156973,1
5,eval,2,2,Edema,0.726008241465648,1
5,eval,3,4,Enhancing-Tumor,0.5239651277518518,1
6,train,0,0,Background,0.9975030368539616,0
6,train,1,1,Necrotic-Core,0.7258999587718395,1
6,train,2,2,Edema,0.8084392093947159,1
6,train,3,4,Enhancing-Tumor,0.7145217864546165,1
6,eval,0,0,Background,0.9973469456880438,0
6,eval,1,1,Necrotic-Core,0.3922987009009251,1
6,eval,2,2,Edema,0.7284162030822238,1
6,eval,3,4,Enhancing-Tumor,0.5365160022714556,1
7,train,0,0,Background,0.9976612157803241,0
7,train,1,1,Necrotic-Core,0.7550584433873941,1
7,train,2,2,Edema,0.8228741673141743,1
7,train,3,4,Enhancing-Tumor,0.7421928710347165,1
7,eval,0,0,Background,0.997252096006934,0
7,eval,1,1,Necrotic-Core,0.2896727263754458,1
7,eval,2,2,Edema,0.7285286242391121,1
7,eval,3,4,Enhancing-Tumor,0.5513028530951753,1
8,train,0,0,Background,0.9977787131251319,0
8,train,1,1,Necrotic-Core,0.7740572387790962,1
8,train,2,2,Edema,0.8330267014778238,1
8,train,3,4,Enhancing-Tumor,0.7600150738584511,1
8,eval,0,0,Background,0.997212499527296,0
8,eval,1,1,Necrotic-Core,0.3821727801383238,1
8,eval,2,2,Edema,0.7264366102841239,1
8,eval,3,4,Enhancing-Tumor,0.5389403803970753,1
9,train,0,0,Background,0.9978727482533263,0
9,train,1,1,Necrotic-Core,0.7880853099088533,1
9,train,2,2,Edema,0.8409560732403896,1
9,train,3,4,Enhancing-Tumor,0.7733785860540618,1
9,eval,0,0,Background,0.9973993505738615,0
9,eval,1,1,Necrotic-Core,0.4070721356846644,1
9,eval,2,2,Edema,0.7322641245800731,1
9,eval,3,4,Enhancing-Tumor,0.5436978537240799,1
10,train,0,0,Background,0.9979548657367336,0
10,train,1,1,Necrotic-Core,0.7993518617896747,1
10,train,2,2,Edema,0.8476219971976665,1
10,train,3,4,Enhancing-Tumor,0.7849924710191398,1
10,eval,0,0,Background,0.9973770630265454,0
10,eval,1,1,Necrotic-Core,0.41265728762600146,1
10,eval,2,2,Edema,0.7412957887270832,1
10,eval,3,4,Enhancing-Tumor,0.5494651607037208,1
11,train,0,0,Background,0.9980318070436168,0
11,train,1,1,Necrotic-Core,0.8087548296170586,1
11,train,2,2,Edema,0.8535683273076999,1
11,train,3,4,Enhancing-Tumor,0.7941982507906197,1
11,eval,0,0,Background,0.9973139203807819,0
11,eval,1,1,Necrotic-Core,0.39174561906006566,1
11,eval,2,2,Edema,0.7391942336370291,1
11,eval,3,4,Enhancing-Tumor,0.5506565967303455,1
12,train,0,0,Background,0.9980987885785031,0
12,train,1,1,Necrotic-Core,0.8168008125060551,1
12,train,2,2,Edema,0.8588849232680242,1
12,train,3,4,Enhancing-Tumor,0.8026862671340029,1
12,eval,0,0,Background,0.9973967641595555,0
12,eval,1,1,Necrotic-Core,0.3964467428474653,1
12,eval,2,2,Edema,0.7396661737337714,1
12,eval,3,4,Enhancing-Tumor,0.5480759654252669,1
13,train,0,0,Background,0.9981540905808312,0
13,train,1,1,Necrotic-Core,0.8234289366499258,1
13,train,2,2,Edema,0.8632178116272267,1
13,train,3,4,Enhancing-Tumor,0.8095159712225517,1
13,eval,0,0,Background,0.997426650325898,0
13,eval,1,1,Necrotic-Core,0.40315957613420617,1
13,eval,2,2,Edema,0.7429952266254541,1
13,eval,3,4,Enhancing-Tumor,0.5503664067897497,1
14,train,0,0,Background,0.9982083867128504,0
14,train,1,1,Necrotic-Core,0.8299455925038444,1
14,train,2,2,Edema,0.8673105197102505,1
14,train,3,4,Enhancing-Tumor,0.8161752713524087,1
14,eval,0,0,Background,0.9975508797676931,0
14,eval,1,1,Necrotic-Core,0.41936185118005365,1
14,eval,2,2,Edema,0.7403080456292922,1
14,eval,3,4,Enhancing-Tumor,0.5472972184855894,1
15,train,0,0,Background,0.998259737631464,0
15,train,1,1,Necrotic-Core,0.8353457725737076,1
15,train,2,2,Edema,0.8711923690306882,1
15,train,3,4,Enhancing-Tumor,0.8220057840243882,1
15,eval,0,0,Background,0.9974425732452654,0
15,eval,1,1,Necrotic-Core,0.40035397933820266,1
15,eval,2,2,Edema,0.7413757394434576,1
15,eval,3,4,Enhancing-Tumor,0.5495890540495196,1
16,train,0,0,Background,0.9982992928454302,0
16,train,1,1,Necrotic-Core,0.839978842881309,1
16,train,2,2,Edema,0.8743403019775862,1
16,train,3,4,Enhancing-Tumor,0.8273631606657897,1
16,eval,0,0,Background,0.997538921791267,0
16,eval,1,1,Necrotic-Core,0.3824179885618211,1
16,eval,2,2,Edema,0.7466738720634026,1
16,eval,3,4,Enhancing-Tumor,0.5493174800355185,1
17,train,0,0,Background,0.9983360038439945,0
17,train,1,1,Necrotic-Core,0.8442950405131471,1
17,train,2,2,Edema,0.8771071859047944,1
17,train,3,4,Enhancing-Tumor,0.831597265397279,1
17,eval,0,0,Background,0.9974790420275808,0
17,eval,1,1,Necrotic-Core,0.3896665430340913,1
17,eval,2,2,Edema,0.7452738230803944,1
17,eval,3,4,Enhancing-Tumor,0.5524365120872166,1
18,train,0,0,Background,0.9983740080140456,0
18,train,1,1,Necrotic-Core,0.8490114190622498,1
18,train,2,2,Edema,0.8800758284421272,1
18,train,3,4,Enhancing-Tumor,0.8366546472591206,1
18,eval,0,0,Background,0.9974937431650577,0
18,eval,1,1,Necrotic-Core,0.39860011091963027,1
18,eval,2,2,Edema,0.7433963166572013,1
18,eval,3,4,Enhancing-Tumor,0.5520743575779262,1
19,train,0,0,Background,0.9984060540063003,0
19,train,1,1,Necrotic-Core,0.8529924883209155,1
19,train,2,2,Edema,0.8826557441230332,1
19,train,3,4,Enhancing-Tumor,0.8409998747606593,1
19,eval,0,0,Background,0.9973635847034162,0
19,eval,1,1,Necrotic-Core,0.4315306184856976,1
19,eval,2,2,Edema,0.7391370010099606,1
19,eval,3,4,Enhancing-Tumor,0.5496249819806297,1
20,train,0,0,Background,0.9984356767105179,0
20,train,1,1,Necrotic-Core,0.8564475969643696,1
20,train,2,2,Edema,0.8848615855255698,1
20,train,3,4,Enhancing-Tumor,0.844493880646268,1
20,eval,0,0,Background,0.9975303706472827,0
20,eval,1,1,Necrotic-Core,0.3892227404106788,1
20,eval,2,2,Edema,0.7481000584317464,1
20,eval,3,4,Enhancing-Tumor,0.5495338746115817,1
21,train,0,0,Background,0.99846519003737,0
21,train,1,1,Necrotic-Core,0.860266537141303,1
21,train,2,2,Edema,0.8871903484370772,1
21,train,3,4,Enhancing-Tumor,0.8485179365800526,1
21,eval,0,0,Background,0.9974417763832106,0
21,eval,1,1,Necrotic-Core,0.4218256473936655,1
21,eval,2,2,Edema,0.743975329946477,1
21,eval,3,4,Enhancing-Tumor,0.5475191806350954,1
22,train,0,0,Background,0.9984912041945827,0
22,train,1,1,Necrotic-Core,0.8635549437067491,1
22,train,2,2,Edema,0.889197808126087,1
22,train,3,4,Enhancing-Tumor,0.8521241190042117,1
22,eval,0,0,Background,0.9975452622156268,0
22,eval,1,1,Necrotic-Core,0.3780626260022609,1
22,eval,2,2,Edema,0.7483629131453317,1
22,eval,3,4,Enhancing-Tumor,0.5518234693335248,1
23,train,0,0,Background,0.9985157855216269,0
23,train,1,1,Necrotic-Core,0.8665649697804798,1
23,train,2,2,Edema,0.8911559641331364,1
23,train,3,4,Enhancing-Tumor,0.855544184778492,1
23,eval,0,0,Background,0.9975286644664586,0
23,eval,1,1,Necrotic-Core,0.4195187741626496,1
23,eval,2,2,Edema,0.7470102077276943,1
23,eval,3,4,Enhancing-Tumor,0.5497250443035117,1
24,train,0,0,Background,0.9985372584035387,0
24,train,1,1,Necrotic-Core,0.8694464145192369,1
24,train,2,2,Edema,0.8928230638243724,1
24,train,3,4,Enhancing-Tumor,0.8585178448056422,1
24,eval,0,0,Background,0.9975486498587489,0
24,eval,1,1,Necrotic-Core,0.4305933515217532,1
24,eval,2,2,Edema,0.7463918034904065,1
24,eval,3,4,Enhancing-Tumor,0.5476572224108877,1
25,train,0,0,Background,0.998558489596618,0
25,train,1,1,Necrotic-Core,0.8724093780511293,1
25,train,2,2,Edema,0.8946129513791932,1
25,train,3,4,Enhancing-Tumor,0.8616719237514919,1
25,eval,0,0,Background,0.9975250314008173,0
25,eval,1,1,Necrotic-Core,0.4150772421493384,1
25,eval,2,2,Edema,0.7492084488997993,1
25,eval,3,4,Enhancing-Tumor,0.5452687262113245,1
26,train,0,0,Background,0.9985802574103066,0
26,train,1,1,Necrotic-Core,0.8750948571784888,1
26,train,2,2,Edema,0.8961863411945539,1
26,train,3,4,Enhancing-Tumor,0.8644610474849013,1
26,eval,0,0,Background,0.9975859337299815,0
26,eval,1,1,Necrotic-Core,0.38608980773406026,1
26,eval,2,2,Edema,0.7500636972790464,1
26,eval,3,4,Enhancing-Tumor,0.5493820272042226,1
27,train,0,0,Background,0.9986007131532507,0
27,train,1,1,Necrotic-Core,0.8776360996776512,1
27,train,2,2,Edema,0.8978622226430011,1
27,train,3,4,Enhancing-Tumor,0.8674664260290924,1
27,eval,0,0,Background,0.9975749570078664,0
27,eval,1,1,Necrotic-Core,0.410049746458558,1
27,eval,2,2,Edema,0.7518778154800291,1
27,eval,3,4,Enhancing-Tumor,0.5432847340513286,1
28,train,0,0,Background,0.9986191262373237,0
28,train,1,1,Necrotic-Core,0.8803789899986731,1
28,train,2,2,Edema,0.8992779257248994,1
28,train,3,4,Enhancing-Tumor,0.8701368404045032,1
28,eval,0,0,Background,0.9975866808345942,0
28,eval,1,1,Necrotic-Core,0.41625647351732936,1
28,eval,2,2,Edema,0.7456887442481315,1
28,eval,3,4,Enhancing-Tumor,0.5469749121962642,1
29,train,0,0,Background,0.9986366946319069,0
29,train,1,1,Necrotic-Core,0.8824764858835956,1
29,train,2,2,Edema,0.9007101291869328,1
29,train,3,4,Enhancing-Tumor,0.8726548906689654,1
29,eval,0,0,Background,0.9975096230875388,0
29,eval,1,1,Necrotic-Core,0.44568972793027756,1
29,eval,2,2,Edema,0.7465798261585026,1
29,eval,3,4,Enhancing-Tumor,0.5455771197391507,1
30,train,0,0,Background,0.9986555066986835,0
30,train,1,1,Necrotic-Core,0.8848301733418946,1
30,train,2,2,Edema,0.9021431686287946,1
30,train,3,4,Enhancing-Tumor,0.875139324792423,1
30,eval,0,0,Background,0.9975805110837679,0
30,eval,1,1,Necrotic-Core,0.42339610239756964,1
30,eval,2,2,Edema,0.7493069691231498,1
30,eval,3,4,Enhancing-Tumor,0.5454237878178916,1
31,train,0,0,Background,0.9986719433281545,0
31,train,1,1,Necrotic-Core,0.8869478762764411,1
31,train,2,2,Edema,0.9034346946976076,1
31,train,3,4,Enhancing-Tumor,0.8775907892657477,1
31,eval,0,0,Background,0.9976303634453811,0
