epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0|100|101|102|103|104|105,background(unknown+non_brain),0.9116153472541708,0
1,train,2,2,Left-Cerebral-White-Matter,0.029781651276563202,1
1,train,3,3,Left-Cerebral-Cortex,0.01527236531257334,1
1,train,4,4,Left-Lateral-Ventricle,0.0,1
1,train,5,5,Left-Inf-Lat-Vent,0.0,1
1,train,7,7,Left-Cerebellum-White-Matter,0.0,1
1,train,8,8,Left-Cerebellum-Cortex,0.0,1
1,train,10,10,Left-Thalamus,0.0,1
1,train,11,11,Left-Caudate,0.0,1
1,train,12,12,Left-Putamen,0.0,1
1,train,13,13,Left-Pallidum,0.0,1
1,train,14,14,3rd-Ventricle,0.0,1
1,train,15,15,4th-Ventricle,0.0,1
1,train,16,16,Brain-Stem,4.733503739462353e-06,1
1,train,17,17,Left-Hippocampus,0.0,1
1,train,18,18,Left-Amygdala,0.0,1
1,train,24,24,CSF,0.02455376678082006,1
1,train,26,26,Left-Accumbens-area,0.0,1
1,train,28,28,Left-VentralDC,0.0,1
1,train,41,41,Right-Cerebral-White-Matter,0.28000925526666515,1
1,train,42,42,Right-Cerebral-Cortex,0.0397048278412207,1
1,train,43,43,Right-Lateral-Ventricle,0.0,1
1,train,44,44,Right-Inf-Lat-Vent,0.0,1
1,train,46,46,Right-Cerebellum-White-Matter,0.0,1
1,train,47,47,Right-Cerebellum-Cortex,0.005430200899780656,1
1,train,49,49,Right-Thalamus,0.0,1
1,train,50,50,Right-Caudate,0.0,1
1,train,51,51,Right-Putamen,0.0,1
1,train,52,52,Right-Pallidum,0.0,1
1,train,53,53,Right-Hippocampus,0.0,1
1,train,54,54,Right-Amygdala,0.0,1
1,train,58,58,Right-Accumbens-area,0.0,1
1,train,60,60,Right-VentralDC,0.0,1
1,eval,0,0|100|101|102|103|104|105,background(unknown+non_brain),0.969646209310479,0
1,eval,2,2,Left-Cerebral-White-Matter,0.30814197325288034,1
1,eval,3,3,Left-Cerebral-Cortex,0.07234554360402719,1
1,eval,4,4,Left-Lateral-Ventricle,0.0,1
1,eval,5,5,Left-Inf-Lat-Vent,0.0,1
1,eval,7,7,Left-Cerebellum-White-Matter,0.0,1
1,eval,8,8,Left-Cerebellum-Cortex,0.0,1
1,eval,10,10,Left-Thalamus,0.0,1
1,eval,11,11,Left-Caudate,0.0,1
1,eval,12,12,Left-Putamen,0.0,1
1,eval,13,13,Left-Pallidum,0.0,1
1,eval,14,14,3rd-Ventricle,0.0,1
1,eval,15,15,4th-Ventricle,0.0,1
1,eval,16,16,Brain-Stem,0.0,1
1,eval,17,17,Left-Hippocampus,0.0,1
1,eval,18,18,Left-Amygdala,0.0,1
1,eval,24,24,CSF,0.1814616250714983,1
1,eval,26,26,Left-Accumbens-area,0.0,1
1,eval,28,28,Left-VentralDC,0.0,1
1,eval,41,41,Right-Cerebral-White-Matter,0.6070787837215501,1
1,eval,42,42,Right-Cerebral-Cortex,0.12599842804222117,1
1,eval,43,43,Right-Lateral-Ventricle,0.0,1
1,eval,44,44,Right-Inf-Lat-Vent,0.0,1
1,eval,46,46,Right-Cerebellum-White-Matter,0.0,1
1,eval,47,47,Right-Cerebellum-Cortex,0.00010412870307429247,1
1,eval,49,49,Right-Thalamus,0.0,1
1,eval,50,50,Right-Caudate,0.0,1
1,eval,51,51,Right-Putamen,0.0,1
1,eval,52,52,Right-Pallidum,0.0,1
1,eval,53,53,Right-Hippocampus,0.0,1
1,eval,54,54,Right-Amygdala,0.0,1
1,eval,58,58,Right-Accumbens-area,0.0,1
1,eval,60,60,Right-VentralDC,0.0,1
2,train,0,0|100|101|102|103|104|105,background(unknown+non_brain),0.9804146684576176,0
2,train,2,2,Left-Cerebral-White-Matter,0.587040664472471,1
2,train,3,3,Left-Cerebral-Cortex,0.33507810613573596,1
2,train,4,4,Left-Lateral-Ventricle,0.0,1
2,train,5,5,Left-Inf-Lat-Vent,0.0,1
2,train,7,7,Left-Cerebellum-White-Matter,0.00022918367639228416,1
2,train,8,8,Left-Cerebellum-Cortex,0.3270512321242479,1
2,train,10,10,Left-Thalamus,0.0,1
2,train,11,11,Left-Caudate,0.0,1
2,train,12,12,Left-Putamen,0.0,1
2,train,13,13,Left-Pallidum,0.0,1
2,train,14,14,3rd-Ventricle,0.0,1
2,train,15,15,4th-Ventricle,0.0,1
2,train,16,16,Brain-Stem,0.0,1
2,train,17,17,Left-Hippocampus,0.0,1
2,train,18,18,Left-Amygdala,0.0,1
2,train,24,24,CSF,0.2791849343786658,1
2,train,26,26,Left-Accumbens-area,0.0,1
2,train,28,28,Left-VentralDC,0.0,1
2,train,41,41,Right-Cerebral-White-Matter,0.6559974029702532,1
2,train,42,42,Right-Cerebral-Cortex,0.41199177876976617,1
2,train,43,43,Right-Lateral-Ventricle,0.0,1
2,train,44,44,Right-Inf-Lat-Vent,0.0,1
2,train,46,46,Right-Cerebellum-White-Matter,0.0,1
2,train,47,47,Right-Cerebellum-Cortex,0.3305067966984786,1
2,train,49,49,Right-Thalamus,0.0,1
2,train,50,50,Right-Caudate,0.0,1
2,train,51,51,Right-Putamen,0.0,1
2,train,52,52,Right-Pallidum,0.0,1
2,train,53,53,Right-Hippocampus,0.0,1
2,train,54,54,Right-Amygdala,0.0,1
2,train,58,58,Right-Accumbens-area,0.0,1
2,train,60,60,Right-VentralDC,0.0,1
2,eval,0,0|100|101|102|103|104|105,background(unknown+non_brain),0.9840447959547705,0
