epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.7479320120681288,0.011220582948036748,0.0,0.011220582948036748,0.18273996221647684,38,1.0374687536557516,0.025913736154981902,0.0,0.025913736154981902,0.32769365309683257,38,0.00011999999999999999,68,68,1,1,0.025913736154981902,474.858211504,7.283150223999996,483.819172936,0.011220582948036748,0.025913736154981902,38,38,pc_macro_dice,0.011220582948036748,0.025913736154981902
2,0.8844157185863918,0.08726227217042579,0.0,0.08726227217042579,0.5889105747532185,38,0.7728316100438436,0.09966864689390048,0.0,0.09966864689390048,0.6624602224614602,38,0.00017999999999999998,68,68,1,1,0.09966864689390048,471.8499316110001,6.6992873240001245,480.97537137100016,0.08726227217042579,0.09966864689390048,38,38,pc_macro_dice,0.08726227217042579,0.09966864689390048
3,0.7066494928393631,0.1389859273999998,0.0,0.1389859273999998,0.6775061302894579,38,0.6438188260793686,0.15489375408121434,0.0,0.15489375408121434,0.7151126386611938,38,0.00023999999999999998,68,68,1,1,0.15489375408121434,471.8061847649999,6.833230285999889,481.12446212199984,0.1389859273999998,0.15489375408121434,38,38,pc_macro_dice,0.1389859273999998,0.15489375408121434
4,0.5749841413293652,0.23464949769033577,0.0,0.23464949769033577,0.7472412820242894,38,0.583215186993281,0.26947685761109097,0.0,0.26947685761109097,0.7929857946102284,38,0.0003,68,68,1,1,0.26947685761109097,468.867348944,6.8817492900002435,478.3063172719999,0.23464949769033577,0.26947685761109097,38,38,pc_macro_dice,0.23464949769033577,0.26947685761109097
5,0.5239888980878296,0.2928554032500253,0.0,0.2928554032500253,0.7878627994508244,38,0.523927301367124,0.28903679034617247,0.0,0.28903679034617247,0.8068002515424096,38,0.0003,68,68,1,1,0.28903679034617247,548.4865275980001,7.79513327199993,558.5958874520002,0.2928554032500253,0.28903679034617247,38,38,pc_macro_dice,0.2928554032500253,0.28903679034617247
6,0.4831110836327051,0.3235574282575539,0.0,0.3235574282575539,0.8077859013998635,38,0.5022319682439168,0.3293791087147652,0.0,0.3293791087147652,0.8263061375403059,38,0.0002997561810369572,68,68,1,1,0.3293791087147652,549.6940470480004,7.782016361999922,560.0921124440001,0.3235574282575539,0.3293791087147652,38,38,pc_macro_dice,0.3235574282575539,0.3293791087147652
7,0.44665782638003676,0.36352163069162813,0.0,0.36352163069162813,0.8278858627702855,38,0.4996160662174225,0.36199978620783047,0.0,0.36199978620783047,0.8450040664651379,38,0.0002990255194346082,68,68,1,1,0.36199978620783047,550.2934156029996,7.683822234999752,560.6861109149995,0.36352163069162813,0.36199978620783047,38,38,pc_macro_dice,0.36352163069162813,0.36199978620783047
8,0.41902861699418126,0.41663638109711304,0.0,0.41663638109711304,0.8425752961177168,38,0.49522845168908436,0.4036701715707189,0.0,0.4036701715707189,0.8492998477460153,38,0.00029781039845923004,68,68,1,1,0.4036701715707189,547.6814370290003,7.681264114999976,557.6819004610006,0.41663638109711304,0.4036701715707189,38,38,pc_macro_dice,0.41663638109711304,0.4036701715707189
9,0.38963523619142915,0.4562918879408445,0.0,0.4562918879408445,0.8553175675443563,38,0.48337210675080616,0.42519822700177284,0.0,0.42519822700177284,0.8508978791747143,38,0.00029611478158287887,68,68,1,1,0.42519822700177284,551.438212645,7.8481300530002045,561.8574773050004,0.4562918879408445,0.42519822700177284,38,38,pc_macro_dice,0.4562918879408445,0.42519822700177284
10,0.3779183454382875,0.47689488326754775,0.0,0.47689488326754775,0.861668101309105,38,0.46666714588801067,0.43429130000770666,0.0,0.43429130000770666,0.8605754710211628,38,0.0002939441995553673,68,68,1,1,0.43429130000770666,551.7522639409999,7.633417862999522,561.9079418990004,0.47689488326754775,0.43429130000770666,38,38,pc_macro_dice,0.47689488326754775,0.43429130000770666
11,0.36682566713756093,0.49405873178470583,0.0,0.49405873178470583,0.8675745695321584,38,0.48373998562494913,0.44354290393003604,0.0,0.44354290393003604,0.8667105311919,38,0.0002913057323641089,68,68,1,1,0.44354290393003604,545.3865731819997,7.905762981999942,556.0425402350002,0.49405873178470583,0.44354290393003604,38,38,pc_macro_dice,0.49405873178470583,0.44354290393003604
12,0.35855424845984685,0.5073531137224652,0.0,0.5073531137224652,0.8714835587886991,38,0.48919321099917096,0.46169663513698883,0.0,0.46169663513698883,0.8687112952553802,38,0.00028820798614067006,68,68,1,1,0.46169663513698883,544.6338179969998,7.8966308330000174,555.0731863599995,0.5073531137224652,0.46169663513698883,38,38,pc_macro_dice,0.5073531137224652,0.46169663513698883
13,0.35059957658103014,0.5193950792583927,0.0,0.5193950792583927,0.8754855608008544,38,0.4815958247582118,0.4694994343937267,0.0,0.4694994343937267,0.871510818247961,38,0.000284661065089358,68,68,1,1,0.4694994343937267,545.4214645980001,7.706145223000021,555.835989014,0.5193950792583927,0.4694994343937267,38,38,pc_macro_dice,0.5193950792583927,0.4694994343937267
14,0.33894219985157437,0.5337718747113667,0.0,0.5337718747113667,0.879872870192228,38,0.4722236023346583,0.4850900432633037,0.0,0.4850900432633037,0.872409991906448,38,0.00028067653852940666,68,68,1,1,0.4850900432633037,545.3614466059998,7.799287603000266,555.997742306,0.5337718747113667,0.4850900432633037,38,38,pc_macro_dice,0.5337718747113667,0.4850900432633037
15,0.33420505475116746,0.5399874962783952,0.0,0.5399874962783952,0.8824059165037971,38,0.49029398063818613,0.48705642343349437,0.0,0.48705642343349437,0.8760308275476094,38,0.00027626740315826157,68,68,1,1,0.48705642343349437,552.2851656870007,7.849366688998998,562.8683237010009,0.5399874962783952,0.48705642343349437,38,38,pc_macro_dice,0.5399874962783952,0.48705642343349437
16,0.32484494607171205,0.5498030996011525,0.0,0.5498030996011525,0.886102197103246,38,0.48287742912769316,0.48989254235356916,0.0,0.48989254235356916,0.8764148865874785,38,0.0002714480406590546,68,68,1,1,0.48989254235356916,554.7607197610014,7.803573713999867,565.2474389160016,0.5498030996011525,0.48989254235356916,38,38,pc_macro_dice,0.5498030996011525,0.48989254235356916
17,0.320678792590356,0.5546250305739717,0.0,0.5546250305739717,0.8877459458409895,38,0.48732712745666507,0.49322599932037664,0.0,0.49322599932037664,0.8759314101615249,38,0.00026623417079054285,68,68,1,1,0.49322599932037664,551.2495913169987,7.744372844999816,561.3217946530003,0.5546250305739717,0.49322599932037664,38,38,pc_macro_dice,0.5546250305739717,0.49322599932037664
18,0.3167375283161666,0.5596681750781579,0.0,0.5596681750781579,0.8895737682655273,38,0.4879580857356389,0.4968410051939827,0.0,0.4968410051939827,0.8789519395950289,38,0.0002606428001125225,68,68,1,1,0.4968410051939827,553.659361602,8.133931341999414,564.2932754859994,0.5596681750781579,0.4968410051939827,38,38,pc_macro_dice,0.5596681750781579,0.4968410051939827
19,0.3128066370150263,0.5640076956527399,0.0,0.5640076956527399,0.8914775491555554,38,0.49679000516732535,0.4986726837342976,0.0,0.4986726837342976,0.8786261269142371,38,0.00025469216651396635,68,68,1,1,0.4986726837342976,558.3273165129995,8.13045651200082,568.948490924,0.5640076956527399,0.4986726837342976,38,38,pc_macro_dice,0.5640076956527399,0.4986726837342976
20,0.30957230867357227,0.5677525952290206,0.0,0.5677525952290206,0.8928642061430089,38,0.49756644944349926,0.4994262309769341,0.0,0.4994262309769341,0.8766879734497587,38,0.0002484016797248201,68,68,1,1,0.4994262309769341,555.6437151720002,7.869941241999186,566.0403266799985,0.5677525952290206,0.4994262309769341,38,38,pc_macro_dice,0.5677525952290206,0.4994262309769341
21,0.30638758805007404,0.5712214263546107,0.0,0.5712214263546107,0.8942274682545588,38,0.49080371061960854,0.5066116644536349,0.0,0.5066116644536349,0.8800697582229409,38,0.000241791858005498,68,68,1,1,0.5066116644536349,551.567763858,7.914366490998873,561.5787871480006,0.5712214263546107,0.5066116644536349,38,38,pc_macro_dice,0.5712214263546107,0.5066116644536349
22,0.30188560906401807,0.5760690190841309,0.0,0.5760690190841309,0.8957626170170343,38,0.5083349064985911,0.5074666424444774,0.0,0.5074666424444774,0.8790393026957606,38,0.00023488426122058199,68,68,1,1,0.5074666424444774,548.1843297930009,8.052205596999556,558.3723068990003,0.5760690190841309,0.5074666424444774,38,38,pc_macro_dice,0.5760690190841309,0.5074666424444774
23,0.3019416085415055,0.5770565505423592,0.0,0.5770565505423592,0.8956616939827089,38,0.49325461546579996,0.4973920711139413,0.0,0.4973920711139413,0.8801591983437077,38,0.0002277014205150248,68,68,1,0,0.5074666424444774,550.5857685940009,8.013258443001178,559.6574364599983,0.5770565505423592,0.4973920711139413,38,38,pc_macro_dice,0.5770565505423592,0.4973920711139413
24,0.29769822338056984,0.5814127538127559,8.68609746666195e-06,0.5814127538127559,0.8975823345713196,38,0.5021187355120976,0.5043098596003828,0.0,0.5043098596003828,0.8782826842470175,38,0.0002202667648222382,68,68,1,0,0.5074666424444774,549.6340127500007,7.750531278999915,558.4398556550004,0.5814127538127559,0.5043098596003828,38,38,pc_macro_dice,0.5814127538127559,0.5043098596003828
25,0.2938728398232338,0.585278950428732,0.0,0.585278950428732,0.8989901113563445,38,0.5003816568851471,0.5094728389438414,0.0,0.5094728389438414,0.8762875158273451,38,0.00021260454444378202,68,68,1,1,0.5094728389438414,549.6837818870008,7.908943252001336,559.7102868490001,0.585278950428732,0.5094728389438414,38,38,pc_macro_dice,0.585278950428732,0.5094728389438414
26,0.2951478252124005,0.5850697413615501,1.7367669215296715e-05,0.5850697413615501,0.8985919157906839,38,0.5017686500151952,0.5082100372603224,0.0,0.5082100372603224,0.8812142885510689,38,0.0002047397519499208,68,68,1,0,0.5094728389438414,553.7873029820003,7.956313828999555,562.8180945549993,0.5850697413615501,0.5082100372603224,38,38,pc_macro_dice,0.5850697413615501,0.5082100372603224
27,0.290513613177968,0.5896705098480135,0.00010422909555157069,0.5896705098480135,0.9006066915938741,38,0.5159578899542491,0.5086585992216022,0.0,0.5086585992216022,0.8815392583046163,38,0.00019669804065905463,68,68,1,0,0.5094728389438414,554.2112532039991,8.07935287699911,563.3802312440002,0.5896705098480135,0.5086585992216022,38,38,pc_macro_dice,0.5896705098480135,0.5086585992216022
28,0.2906560134119168,0.5901014710203347,0.00015138963065071726,0.5901014710203347,0.900646852141823,38,0.50301817715168,0.5078679139111375,0.0,0.5078679139111375,0.8815823737497672,38,0.0001885056409619263,68,68,1,0,0.5094728389438414,555.197795035001,7.869039825000073,564.1394784780005,0.5901014710203347,0.5078679139111375,38,38,pc_macro_dice,0.5901014710203347,0.5078679139111375
29,0.2861260302687132,0.5944422936289065,0.00024382553862220145,0.5944422936289065,0.9025355075689614,38,0.5106676729520162,0.510741760611353,0.0,0.510741760611353,0.8814988319975716,38,0.0001801892747635389,68,68,1,1,0.510741760611353,552.8625051920008,7.716453349003132,562.6792568140008,0.5944422936289065,0.510741760611353,38,38,pc_macro_dice,0.5944422936289065,0.510741760611353
30,0.2843379912157111,0.5963357617816725,0.00022704434512326808,0.5963357617816725,0.9032524096293821,38,0.5189868867397308,0.512221127826844,0.0,0.512221127826844,0.8805119433743601,38,0.0001717760683218561,68,68,1,1,0.512221127826844,555.1869781829992,8.185592215002544,565.4988189449978,0.5963357617816725,0.512221127826844,38,38,pc_macro_dice,0.5963357617816725,0.512221127826844
31,0.28309715179674066,0.5979983992098162,0.000235396980192036,0.5979983992098162,0.9036470015163997,38,0.5187739511330922,0.5118598224916131,0.0,0.5118598224916131,0.8812763945678648,38,0.00016329346376758652,68,68,1,0,0.512221127826844,554.1963926380013,7.911945255997125,563.2391859730014,0.5979983992098162,0.5118598224916131,38,38,pc_macro_dice,0.5979983992098162,0.5118598224916131
