epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Unknown,0.7743234348386825,0
1,train,2,2,Left-Cerebral-White-Matter,1.1368308566208709e-05,1
1,train,3,3,Left-Cerebral-Cortex,0.0,1
1,train,4,4,Left-Lateral-Ventricle,3.038160818962015e-06,1
1,train,5,5,Left-Inf-Lat-Vent,0.0,1
1,train,7,7,Left-Cerebellum-White-Matter,0.0,1
1,train,8,8,Left-Cerebellum-Cortex,0.0,1
1,train,10,10,Left-Thalamus,0.0,1
1,train,11,11,Left-Caudate,0.0,1
1,train,12,12,Left-Putamen,0.0,1
1,train,13,13,Left-Pallidum,0.0,1
1,train,14,14,3rd-Ventricle,0.0,1
1,train,15,15,4th-Ventricle,0.0006681976174313675,1
1,train,16,16,Brain-Stem,0.0,1
1,train,17,17,Left-Hippocampus,0.0,1
1,train,18,18,Left-Amygdala,0.0,1
1,train,24,24,CSF,0.05091487756685844,1
1,train,26,26,Left-Accumbens-area,0.0,1
1,train,28,28,Left-VentralDC,0.0008190481847284729,1
1,train,41,41,Right-Cerebral-White-Matter,0.0018891626462906113,1
1,train,42,42,Right-Cerebral-Cortex,0.0,1
1,train,43,43,Right-Lateral-Ventricle,0.0,1
1,train,44,44,Right-Inf-Lat-Vent,0.0,1
1,train,46,46,Right-Cerebellum-White-Matter,0.0,1
1,train,47,47,Right-Cerebellum-Cortex,0.0,1
1,train,49,49,Right-Thalamus,7.982463142487021e-05,1
1,train,50,50,Right-Caudate,0.0,1
1,train,51,51,Right-Putamen,0.0,1
1,train,52,52,Right-Pallidum,0.0,1
1,train,53,53,Right-Hippocampus,0.0,1
1,train,54,54,Right-Amygdala,0.0,1
1,train,58,58,Right-Accumbens-area,0.00039171838870596807,1
1,train,60,60,Right-VentralDC,0.0,1
1,train,100,100,Non-Brain-1,0.00028234943419026083,1
1,train,101,101,Non-Brain-2,0.09867478911673136,1
1,train,102,102,Non-Brain-3,0.18273996221647684,1
1,train,103,103,Non-Brain-4,0.08990781575317307,1
1,train,104,104,Non-Brain-5,0.0,1
1,train,105,105,Non-Brain-6,0.0,1
1,eval,0,0,Unknown,0.9640835738714143,0
1,eval,2,2,Left-Cerebral-White-Matter,2.5598771258897657e-05,1
