epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.6974808556449759,0.03658942024437932,0.0,0.03658942024437932,0.3629365584090398,38,0.9449161438147227,0.0648377915826883,0.0,0.0648377915826883,0.6223221206333223,38,0.00011999999999999999,68,68,1,1,0.0648377915826883,464.05342843699987,7.260151351999866,473.00487589600016,0.03658942024437932,0.0648377915826883,38,38,pc_macro_dice,0.03658942024437932,0.0648377915826883
2,0.8713028561738497,0.09277879597867497,0.0,0.09277879597867497,0.6399383937617216,38,0.788470003604889,0.10349903793756066,0.0,0.10349903793756066,0.6893060588109177,38,0.00017999999999999998,68,68,1,1,0.10349903793756066,464.09443143299995,6.786337437999919,473.312552762,0.09277879597867497,0.10349903793756066,38,38,pc_macro_dice,0.09277879597867497,0.10349903793756066
3,0.7179695503118908,0.1413777893919252,0.0,0.1413777893919252,0.7058653315787397,38,0.706004064877828,0.13858928266450218,0.0,0.13858928266450218,0.7202138693990909,38,0.00023999999999999998,68,68,1,1,0.13858928266450218,456.69180797599984,6.569663057000071,465.74892305900016,0.1413777893919252,0.13858928266450218,38,38,pc_macro_dice,0.1413777893919252,0.13858928266450218
4,0.6156785872141787,0.20366784391277426,0.0,0.20366784391277426,0.7431223960905369,38,0.5981579240163167,0.22831742084574322,0.0,0.22831742084574322,0.7897773273610634,38,0.0003,68,68,1,1,0.22831742084574322,457.0569493359999,6.819910904000153,466.2101462579999,0.20366784391277426,0.22831742084574322,38,38,pc_macro_dice,0.20366784391277426,0.22831742084574322
5,0.5210830174489764,0.2877267774267615,0.0,0.2877267774267615,0.792559667536872,38,0.5435086403290431,0.29746751565845647,0.0,0.29746751565845647,0.8155097215617557,38,0.0003,68,68,1,1,0.29746751565845647,476.59305321600004,6.856456381000044,485.78926679899996,0.2877267774267615,0.29746751565845647,38,38,pc_macro_dice,0.2877267774267615,0.29746751565845647
6,0.4817061503486241,0.3293688368163452,0.0,0.3293688368163452,0.8155953265420011,38,0.539236910144488,0.3357324163733238,0.0,0.3357324163733238,0.8342428041000945,38,0.0002997561810369572,68,68,1,1,0.3357324163733238,474.16181620399993,7.145534955999665,483.83565637100037,0.3293688368163452,0.3357324163733238,38,38,pc_macro_dice,0.3293688368163452,0.3357324163733238
7,0.44802048637155023,0.3722484581779917,0.0,0.3722484581779917,0.8326180207704914,38,0.5147276417414347,0.3653953194646606,0.0,0.3653953194646606,0.8463276991968693,38,0.0002990255194346082,68,68,1,1,0.3653953194646606,481.2525373699996,6.938987212000029,490.42644080100035,0.3722484581779917,0.3653953194646606,38,38,pc_macro_dice,0.3722484581779917,0.3653953194646606
8,0.42263574095295037,0.41021720312608473,0.0,0.41021720312608473,0.8424601732819837,38,0.504595332145691,0.40120233304156755,0.0,0.40120233304156755,0.8549504375391194,38,0.00029781039845923004,68,68,1,1,0.40120233304156755,475.82153090699967,6.838708942000267,485.20696944600013,0.41021720312608473,0.40120233304156755,38,38,pc_macro_dice,0.41021720312608473,0.40120233304156755
9,0.39832057030648554,0.4397600292917764,0.0,0.4397600292917764,0.8552724653598701,38,0.48406963725884755,0.40901877102042583,0.0,0.40901877102042583,0.8543809046053626,38,0.00029611478158287887,68,68,1,1,0.40901877102042583,489.881241821,7.300427510999725,499.5622694599997,0.4397600292917764,0.40901877102042583,38,38,pc_macro_dice,0.4397600292917764,0.40901877102042583
10,0.38355808321140933,0.4588268687692538,0.0,0.4588268687692538,0.861973505087163,38,0.4843030724922816,0.4313249123898424,0.0,0.4313249123898424,0.864017818939322,38,0.0002939441995553673,68,68,1,1,0.4313249123898424,485.1590988559992,7.032424274000732,494.6775830710003,0.4588268687692538,0.4313249123898424,38,38,pc_macro_dice,0.4588268687692538,0.4313249123898424
11,0.3668623165278713,0.4770724414943656,0.0,0.4770724414943656,0.8684907554977622,38,0.4917401154836019,0.43426577591222737,0.0,0.43426577591222737,0.8654623945610803,38,0.0002913057323641089,68,68,1,1,0.43426577591222737,480.9927796969996,6.772447913000178,490.34172171499995,0.4770724414943656,0.43426577591222737,38,38,pc_macro_dice,0.4770724414943656,0.43426577591222737
12,0.35899245291510234,0.4902296279617151,0.0,0.4902296279617151,0.8724024887995638,38,0.49614040871461235,0.44578555967422107,0.0,0.44578555967422107,0.8686997192467232,38,0.00028820798614067006,68,68,1,1,0.44578555967422107,476.2497535749999,7.090991582999777,485.92325240099944,0.4902296279617151,0.44578555967422107,38,38,pc_macro_dice,0.4902296279617151,0.44578555967422107
13,0.37862421403858454,0.4863326065221237,0.0,0.4863326065221237,0.8681788384208085,38,0.4912876276175181,0.4542645364328311,0.0,0.4542645364328311,0.8693162718943547,38,0.000284661065089358,68,68,1,1,0.4542645364328311,482.4577614160007,6.900951696999982,491.9041183729996,0.4863326065221237,0.4542645364328311,38,38,pc_macro_dice,0.4863326065221237,0.4542645364328311
14,0.3622003731070222,0.5057657533888084,0.0,0.5057657533888084,0.873394349476709,38,0.46551405668258666,0.4722857176126979,0.0,0.4722857176126979,0.8710919103551094,38,0.00028067653852940666,68,68,1,1,0.4722857176126979,486.06012948199987,7.1832394309994925,495.7993308599998,0.5057657533888084,0.4722857176126979,38,38,pc_macro_dice,0.5057657533888084,0.4722857176126979
15,0.3375465322109092,0.5320486593357617,0.0,0.5320486593357617,0.881619119354291,38,0.4916901824871699,0.4838316419868076,0.0,0.4838316419868076,0.8740137000882515,38,0.00027626740315826157,68,68,1,1,0.4838316419868076,482.8332451240003,7.180171087999952,492.39553116000025,0.5320486593357617,0.4838316419868076,38,38,pc_macro_dice,0.5320486593357617,0.4838316419868076
16,0.32601823812958475,0.5446443842690969,0.0,0.5446443842690969,0.8860432051617408,38,0.48473906954129536,0.4915249234954334,0.0,0.4915249234954334,0.8760655071649438,38,0.0002714480406590546,68,68,1,1,0.4915249234954334,497.8614969779992,7.159785951000231,507.5814347790001,0.5446443842690969,0.4915249234954334,38,38,pc_macro_dice,0.5446443842690969,0.4915249234954334
17,0.3227484669005956,0.5498126077923015,0.0,0.5498126077923015,0.8872090165570748,38,0.4758424711227417,0.49545492893315646,0.0,0.49545492893315646,0.877534442836917,38,0.00026623417079054285,68,68,1,1,0.49545492893315646,494.5701704940002,7.146119128999999,504.21254658399994,0.5498126077923015,0.49545492893315646,38,38,pc_macro_dice,0.5498126077923015,0.49545492893315646
18,0.321621797875615,0.5522188938104281,0.0,0.5522188938104281,0.8877755011198428,38,0.48060950815677644,0.4938148960015861,0.0,0.4938148960015861,0.874321624134967,38,0.0002606428001125225,68,68,1,0,0.49545492893315646,483.3807620150001,7.0993693839991465,491.46535471099924,0.5522188938104281,0.4938148960015861,38,38,pc_macro_dice,0.5522188938104281,0.4938148960015861
19,0.31543540009577103,0.558318169758119,9.113278045974769e-05,0.558318169758119,0.8901940140841461,38,0.4839518211285273,0.49703542178036475,0.0,0.49703542178036475,0.8772849704849793,38,0.00025469216651396635,68,68,1,1,0.49703542178036475,486.40656658899934,7.008271857999716,495.8111107859986,0.558318169758119,0.49703542178036475,38,38,pc_macro_dice,0.558318169758119,0.49703542178036475
20,0.30869885424213817,0.5640953867657688,0.00023538015997345507,0.5640953867657688,0.8928529697761038,38,0.4908176056543986,0.5055707463079411,0.0,0.5055707463079411,0.8792574649315578,38,0.0002484016797248201,68,68,1,1,0.5055707463079411,488.48685040799865,6.931045123999866,497.7612061769996,0.5640953867657688,0.5055707463079411,38,38,pc_macro_dice,0.5640953867657688,0.5055707463079411
21,0.30536618844419405,0.5675329489732344,0.00039492645544937616,0.5675329489732344,0.8942271599233338,38,0.5005870892604192,0.5034496914903466,0.0,0.5034496914903466,0.8785006428565428,38,0.000241791858005498,68,68,1,0,0.5055707463079411,491.1758055530008,7.234193310001501,499.4263383050002,0.5675329489732344,0.5034496914903466,38,38,pc_macro_dice,0.5675329489732344,0.5034496914903466
22,0.30243231334239684,0.5706003451860144,0.0005794156299441183,0.5706003451860144,0.8954632068263787,38,0.49593416213989255,0.5041706101745257,0.0007031524668108341,0.5041706101745257,0.8803447269575969,38,0.00023488426122058199,68,68,1,0,0.5055707463079411,491.5939376740007,7.075550753001153,499.664037954999,0.5706003451860144,0.5041706101745257,38,38,pc_macro_dice,0.5706003451860144,0.5041706101745257
23,0.3012708098835326,0.572350303293109,0.0006969138471714243,0.572350303293109,0.8960107040780846,38,0.4886074225107829,0.5036738172384482,0.0,0.5036738172384482,0.880434988836129,38,0.0002277014205150248,68,68,1,0,0.5055707463079411,489.95455700399907,7.1618066179999005,498.14278726200064,0.572350303293109,0.5036738172384482,38,38,pc_macro_dice,0.572350303293109,0.5036738172384482
24,0.3016731818900895,0.572794571136631,0.0008902027310710558,0.572794571136631,0.8958506422521593,38,0.5015712783734003,0.5085531447794795,0.0009376465071568628,0.5085531447794795,0.8793486139144678,38,0.0002202667648222382,68,68,1,1,0.5085531447794795,490.7490065790007,7.100683074999324,499.8533519210014,0.572794571136631,0.5085531447794795,38,38,pc_macro_dice,0.572794571136631,0.5085531447794795
