epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Unknown,0.8256774922205324,0
1,train,2,2,Left-Cerebral-White-Matter,0.3629365584090398,1
1,train,3,3,Left-Cerebral-Cortex,0.010244423562514076,1
1,train,4,4,Left-Lateral-Ventricle,0.0,1
1,train,5,5,Left-Inf-Lat-Vent,0.0,1
1,train,7,7,Left-Cerebellum-White-Matter,3.490573072761804e-05,1
1,train,8,8,Left-Cerebellum-Cortex,0.00023235467075900204,1
1,train,10,10,Left-Thalamus,0.0003521455421761064,1
1,train,11,11,Left-Caudate,7.348969490726155e-06,1
1,train,12,12,Left-Putamen,0.0,1
1,train,13,13,Left-Pallidum,0.0,1
1,train,14,14,3rd-Ventricle,0.0,1
1,train,15,15,4th-Ventricle,0.0,1
1,train,16,16,Brain-Stem,0.0,1
1,train,17,17,Left-Hippocampus,0.0,1
1,train,18,18,Left-Amygdala,0.0,1
1,train,24,24,CSF,0.05364847909376882,1
1,train,26,26,Left-Accumbens-area,0.0,1
1,train,28,28,Left-VentralDC,0.0,1
1,train,41,41,Right-Cerebral-White-Matter,0.34091764470932895,1
1,train,42,42,Right-Cerebral-Cortex,0.020236631100281705,1
1,train,43,43,Right-Lateral-Ventricle,0.0,1
1,train,44,44,Right-Inf-Lat-Vent,0.0,1
1,train,46,46,Right-Cerebellum-White-Matter,0.0027504004539349335,1
1,train,47,47,Right-Cerebellum-Cortex,0.004248385794083553,1
1,train,49,49,Right-Thalamus,0.0,1
1,train,50,50,Right-Caudate,0.0,1
1,train,51,51,Right-Putamen,0.0,1
1,train,52,52,Right-Pallidum,0.0,1
1,train,53,53,Right-Hippocampus,0.0,1
1,train,54,54,Right-Amygdala,0.0,1
1,train,58,58,Right-Accumbens-area,0.0,1
1,train,60,60,Right-VentralDC,0.0,1
1,train,100,100,Non-Brain-1,0.007999615296916923,1
1,train,101,101,Non-Brain-2,0.21255306701724985,1
1,train,102,102,Non-Brain-3,0.21141950476383892,1
1,train,103,103,Non-Brain-4,0.16281472909126773,1
1,train,104,104,Non-Brain-5,1.7750810352226251e-06,1
1,train,105,105,Non-Brain-6,0.0,1
1,eval,0,0,Unknown,0.9610584776785931,0
1,eval,2,2,Left-Cerebral-White-Matter,0.5986331662798033,1
1,eval,3,3,Left-Cerebral-Cortex,0.04982916170023906,1
1,eval,4,4,Left-Lateral-Ventricle,0.0,1
1,eval,5,5,Left-Inf-Lat-Vent,0.0,1
1,eval,7,7,Left-Cerebellum-White-Matter,0.0,1
1,eval,8,8,Left-Cerebellum-Cortex,0.0,1
1,eval,10,10,Left-Thalamus,0.0,1
1,eval,11,11,Left-Caudate,0.0,1
1,eval,12,12,Left-Putamen,0.0,1
1,eval,13,13,Left-Pallidum,0.0,1
1,eval,14,14,3rd-Ventricle,0.0,1
1,eval,15,15,4th-Ventricle,0.0,1
1,eval,16,16,Brain-Stem,0.0,1
1,eval,17,17,Left-Hippocampus,0.0,1
1,eval,18,18,Left-Amygdala,0.0,1
1,eval,24,24,CSF,0.21927623443323002,1
1,eval,26,26,Left-Accumbens-area,0.0,1
1,eval,28,28,Left-VentralDC,0.0,1
1,eval,41,41,Right-Cerebral-White-Matter,0.6223221206333223,1
1,eval,42,42,Right-Cerebral-Cortex,0.06360403864580673,1
1,eval,43,43,Right-Lateral-Ventricle,0.0,1
1,eval,44,44,Right-Inf-Lat-Vent,0.0,1
1,eval,46,46,Right-Cerebellum-White-Matter,0.0,1
1,eval,47,47,Right-Cerebellum-Cortex,0.0,1
1,eval,49,49,Right-Thalamus,0.0,1
1,eval,50,50,Right-Caudate,0.0,1
1,eval,51,51,Right-Putamen,0.0,1
1,eval,52,52,Right-Pallidum,0.0,1
1,eval,53,53,Right-Hippocampus,0.0,1
1,eval,54,54,Right-Amygdala,0.0,1
1,eval,58,58,Right-Accumbens-area,0.0,1
1,eval,60,60,Right-VentralDC,0.0,1
1,eval,100,100,Non-Brain-1,0.024493131530656582,1
1,eval,101,101,Non-Brain-2,0.3225097789369567,1
1,eval,102,102,Non-Brain-3,0.27296665868193926,1
1,eval,103,103,Non-Brain-4,0.29020178930020185,1
1,eval,104,104,Non-Brain-5,0.0,1
1,eval,105,105,Non-Brain-6,0.0,1
2,train,0,0,Unknown,0.9508265463040432,0
