epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.6640250772450562,0.03223096943199159,0.0,0.03223096943199159,0.32333849794522884,38,0.9807531340916952,0.06219087209523154,0.0,0.06219087209523154,0.6055297972478731,38,0.00011999999999999999,68,68,1,1,0.06219087209523154,470.6086139150001,7.152279302999887,479.125139278,0.03223096943199159,0.06219087209523154,38,38,pc_macro_dice,0.03223096943199159,0.06219087209523154
2,0.8653741090651171,0.08586018219173545,0.0,0.08586018219173545,0.5709267894301706,38,0.7947685289382934,0.0838573368957746,0.0,0.0838573368957746,0.6106738684512979,38,0.00017999999999999998,68,68,1,1,0.0838573368957746,462.87805486800016,6.75453490599989,471.994312497,0.08586018219173545,0.0838573368957746,38,38,pc_macro_dice,0.08586018219173545,0.0838573368957746
3,0.7190806644897109,0.12258359064116282,0.0,0.12258359064116282,0.6508860716833115,38,0.6437039132912954,0.13804105097326283,0.0,0.13804105097326283,0.7278408671448291,38,0.00023999999999999998,68,68,1,1,0.13804105097326283,468.51091587200017,6.832954740000105,477.86644626299994,0.12258359064116282,0.13804105097326283,38,38,pc_macro_dice,0.12258359064116282,0.13804105097326283
4,0.5567009308567472,0.2217649288146829,0.0,0.2217649288146829,0.7534359106848024,38,0.5511457169055939,0.2614984803236063,0.0,0.2614984803236063,0.8010470283892914,38,0.0003,68,68,1,1,0.2614984803236063,468.2301888489999,6.853291531000195,477.6628187969998,0.2217649288146829,0.2614984803236063,38,38,pc_macro_dice,0.2217649288146829,0.2614984803236063
5,0.5099790889968495,0.3050660406105713,0.0,0.3050660406105713,0.7968954328304777,38,0.5345191419124603,0.31148618950563095,0.0,0.31148618950563095,0.8197044276763152,38,0.0003,68,68,1,1,0.31148618950563095,488.4866951680001,6.976497959999961,497.8406056419999,0.3050660406105713,0.31148618950563095,38,38,pc_macro_dice,0.3050660406105713,0.31148618950563095
6,0.46512735741121436,0.34909025265442545,0.0,0.34909025265442545,0.8202100180133894,38,0.5192188749710719,0.3398129093068471,0.0,0.3398129093068471,0.8373459517662264,38,0.0002997561810369572,68,68,1,1,0.3398129093068471,475.659114693,7.005891113999951,485.2650808669996,0.34909025265442545,0.3398129093068471,38,38,pc_macro_dice,0.34909025265442545,0.3398129093068471
7,0.43526165086599217,0.3807527238474757,0.0,0.3807527238474757,0.8376095898579017,38,0.47412342806657154,0.36634996095132005,0.0,0.36634996095132005,0.8385074988679435,38,0.0002990255194346082,68,68,1,1,0.36634996095132005,476.27930026800004,6.895521093999832,485.49595846999955,0.3807527238474757,0.36634996095132005,38,38,pc_macro_dice,0.3807527238474757,0.36634996095132005
8,0.4189220645294025,0.40432251337302433,0.0,0.40432251337302433,0.8469134098399048,38,0.4761848197380702,0.39543902661557495,0.0,0.39543902661557495,0.8551236527125463,38,0.00029781039845923004,68,68,1,1,0.39543902661557495,477.05556380700045,7.104122527000072,486.6600900190001,0.40432251337302433,0.39543902661557495,38,38,pc_macro_dice,0.40432251337302433,0.39543902661557495
9,0.38943741687427597,0.4428648873072376,0.0,0.4428648873072376,0.8596169891929981,38,0.4990142210324605,0.41029499212670817,0.0,0.41029499212670817,0.8615874641854417,38,0.00029611478158287887,68,68,1,1,0.41029499212670817,477.6617569310001,6.891116171000249,486.7403589940004,0.4428648873072376,0.41029499212670817,38,38,pc_macro_dice,0.4428648873072376,0.41029499212670817
10,0.3786610115142692,0.4688147602294148,0.0,0.4688147602294148,0.865125436244043,38,0.4769823847214381,0.4368457641620232,0.0,0.4368457641620232,0.8649659642012617,38,0.0002939441995553673,68,68,1,1,0.4368457641620232,474.9958666430002,6.84590532600032,484.2494526930004,0.4688147602294148,0.4368457641620232,38,38,pc_macro_dice,0.4688147602294148,0.4368457641620232
11,0.36777189044154324,0.4870640268859984,0.0,0.4870640268859984,0.8701735004565208,38,0.4897002271811167,0.44673308261836664,0.0,0.44673308261836664,0.869976261145168,38,0.0002913057323641089,68,68,1,1,0.44673308261836664,479.99167795800076,6.830763115999616,489.186716919,0.4870640268859984,0.44673308261836664,38,38,pc_macro_dice,0.4870640268859984,0.44673308261836664
12,0.35594325123690396,0.5021398058920143,0.0,0.5021398058920143,0.87512061799193,38,0.4628762646516164,0.46634565100269576,0.0,0.46634565100269576,0.8718690035347099,38,0.00028820798614067006,68,68,1,1,0.46634565100269576,474.88113477000024,7.069163792999461,484.40868781300014,0.5021398058920143,0.46634565100269576,38,38,pc_macro_dice,0.5021398058920143,0.46634565100269576
13,0.3507699042133101,0.5104402837975798,0.0,0.5104402837975798,0.8770637054715159,38,0.4760481051603953,0.46428333105856495,0.0,0.46428333105856495,0.8635610776349686,38,0.000284661065089358,68,68,1,0,0.46634565100269576,475.1540888549998,6.908076584999435,483.1868871349998,0.5104402837975798,0.46428333105856495,38,38,pc_macro_dice,0.5104402837975798,0.46428333105856495
14,0.3369724093328149,0.5249002812850224,0.0,0.5249002812850224,0.8820043067675075,38,0.48384691854317985,0.4816004678063531,0.0,0.4816004678063531,0.8757168948881344,38,0.00028067653852940666,68,68,1,1,0.4816004678063531,478.689176287,6.936070024999935,488.2200881939998,0.5249002812850224,0.4816004678063531,38,38,pc_macro_dice,0.5249002812850224,0.4816004678063531
15,0.3289277070913431,0.5351737744377523,0.0,0.5351737744377523,0.8850195829396166,38,0.4848482060432434,0.4824227347722288,0.0,0.4824227347722288,0.8737723459468111,38,0.00027626740315826157,68,68,1,1,0.4824227347722288,480.47807584400016,7.243419561000337,490.2646623390001,0.5351737744377523,0.4824227347722288,38,38,pc_macro_dice,0.5351737744377523,0.4824227347722288
16,0.32452033044584955,0.5412787406939191,0.0,0.5412787406939191,0.8870279994053997,38,0.4808981410662333,0.48440423275045147,0.0,0.48440423275045147,0.8782820585056895,38,0.0002714480406590546,68,68,1,1,0.48440423275045147,485.4119362850006,7.088574270999743,495.109410559,0.5412787406939191,0.48440423275045147,38,38,pc_macro_dice,0.5412787406939191,0.48440423275045147
