epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.6423441378422416,0.02366890576149694,0.0,0.02366890576149694,0.22122796396026084,38,0.9959675621986389,0.06036721217106497,0.0,0.06036721217106497,0.5799849236959581,38,0.00011999999999999999,68,68,1,1,0.06036721217106497,479.6187087170001,7.3925898500001495,488.3784799329999,0.02366890576149694,0.06036721217106497,38,38,pc_macro_dice,0.02366890576149694,0.06036721217106497
2,0.8560443132777816,0.09201684192415809,0.0,0.09201684192415809,0.6203099060613605,38,0.757638913790385,0.10347497867062237,0.0,0.10347497867062237,0.6577569532440641,38,0.00017999999999999998,68,68,1,1,0.10347497867062237,467.3278262020003,6.868975417999991,476.3508181420002,0.09201684192415809,0.10347497867062237,38,38,pc_macro_dice,0.09201684192415809,0.10347497867062237
3,0.7052996192645345,0.14704595589940114,0.0,0.14704595589940114,0.680500262166395,38,0.6726277482509613,0.15329823069487705,0.0,0.15329823069487705,0.7372659093434731,38,0.00023999999999999998,68,68,1,1,0.15329823069487705,467.55298503899985,6.872858636000274,476.57397630100013,0.14704595589940114,0.15329823069487705,38,38,pc_macro_dice,0.14704595589940114,0.15329823069487705
4,0.5931192613333927,0.22176909764277666,0.0,0.22176909764277666,0.7506182162819822,38,0.5779597977797191,0.26178948493408233,0.0,0.26178948493408233,0.783627262409912,38,0.0003,68,68,1,1,0.26178948493408233,463.9915086660003,6.834260967999853,473.36380470899985,0.22176909764277666,0.26178948493408233,38,38,pc_macro_dice,0.22176909764277666,0.26178948493408233
5,0.5512467035847719,0.28940400397245153,0.0,0.28940400397245153,0.7770230090219179,38,0.6131155798832576,0.2987305346471709,0.0,0.2987305346471709,0.8084837864695704,38,0.0003,68,68,1,1,0.2987305346471709,468.78726915100015,6.754153354000209,477.93042680300005,0.28940400397245153,0.2987305346471709,38,38,pc_macro_dice,0.28940400397245153,0.2987305346471709
6,0.46959548280525487,0.36606894850033156,0.0,0.36606894850033156,0.8179802633189165,38,0.4858375424146652,0.3765541085298144,0.0,0.3765541085298144,0.8404450638162224,38,0.0002997561810369572,68,68,1,1,0.3765541085298144,470.5889246980005,6.840176953999617,479.78338204500005,0.36606894850033156,0.3765541085298144,38,38,pc_macro_dice,0.36606894850033156,0.3765541085298144
7,0.4244222163916235,0.42185528641744713,0.0,0.42185528641744713,0.8389706774312374,38,0.49350603799025217,0.41283398492590534,0.0,0.41283398492590534,0.8489990817250551,38,0.0002990255194346082,68,68,1,1,0.41283398492590534,468.3094399239999,7.006175450999763,477.8579112240004,0.42185528641744713,0.41283398492590534,38,38,pc_macro_dice,0.42185528641744713,0.41283398492590534
8,0.4054371074611827,0.4491670109505422,0.0,0.4491670109505422,0.849044155908977,38,0.5223655319213867,0.4208171787072224,0.0,0.4208171787072224,0.8517653284252726,38,0.00029781039845923004,68,68,1,1,0.4208171787072224,468.636896256,7.015251394000188,478.2283003849998,0.4491670109505422,0.4208171787072224,38,38,pc_macro_dice,0.4491670109505422,0.4208171787072224
9,0.39036345293495844,0.4674692472186806,0.0,0.4674692472186806,0.856332985426678,38,0.5057243094841639,0.4316891676287685,0.0,0.4316891676287685,0.8553297169126052,38,0.00029611478158287887,68,68,1,1,0.4316891676287685,472.49874099499993,6.925665824999669,481.9861927359998,0.4674692472186806,0.4316891676287685,38,38,pc_macro_dice,0.4674692472186806,0.4316891676287685
10,0.37820561120661306,0.4830032657969236,0.0,0.4830032657969236,0.862683968657561,38,0.4915748073657354,0.4469176449538726,0.0,0.4469176449538726,0.8571023338018401,38,0.0002939441995553673,68,68,1,1,0.4469176449538726,465.5555159429996,6.65613851299986,474.75370884399945,0.4830032657969236,0.4469176449538726,38,38,pc_macro_dice,0.4830032657969236,0.4469176449538726
