epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.9429346205981926,0.05644859871356176,0.0,0.05644859871356176,0.3728606642636736,38,0.7993485414981842,0.09817159186768021,0.0,0.09817159186768021,0.5647436527103632,38,0.00011999999999999999,68,68,1,1,0.09817159186768021,202.19663479899998,2.8999341930000355,205.179675955,0.05644859871356176,0.09817159186768021,38,38,pc_macro_dice,0.05644859871356176,0.09817159186768021
2,0.6790384499278703,0.14309922817447002,0.0,0.14309922817447002,0.636513461429369,38,0.6332598578929901,0.15420066220971554,0.0,0.15420066220971554,0.6140870580969884,38,0.00017999999999999998,68,68,1,1,0.15420066220971554,198.31127140399997,2.7374906580000697,201.13021882400005,0.14309922817447002,0.15420066220971554,38,38,pc_macro_dice,0.14309922817447002,0.15420066220971554
3,0.561944787477756,0.18921117237487955,0.0,0.18921117237487955,0.6746040675052973,38,0.5389712742964426,0.19938055475796412,0.0,0.19938055475796412,0.6954062457429674,38,0.00023999999999999998,68,68,1,1,0.19938055475796412,198.24764435099996,2.5918470280000747,200.922547086,0.18921117237487955,0.19938055475796412,38,38,pc_macro_dice,0.18921117237487955,0.19938055475796412
4,0.514937121381984,0.22974291582967574,0.0,0.22974291582967574,0.693628401268171,38,0.5344215615590413,0.2331224749376119,0.0,0.2331224749376119,0.7007987399827703,38,0.0003,68,68,1,1,0.2331224749376119,197.939107036,2.7112793159999455,200.7242374,0.22974291582967574,0.2331224749376119,38,38,pc_macro_dice,0.22974291582967574,0.2331224749376119
5,0.481205022157315,0.28010022176929483,0.0,0.28010022176929483,0.7068392648516281,38,0.498168603181839,0.29903050036365536,0.0,0.29903050036365536,0.7087576948893258,38,0.0003,68,68,1,1,0.29903050036365536,198.02011070599997,2.6746204300000045,200.7753670139998,0.28010022176929483,0.29903050036365536,38,38,pc_macro_dice,0.28010022176929483,0.29903050036365536
6,0.4283964040148213,0.37296346394174507,0.0,0.37296346394174507,0.8468641873137831,38,0.554774345556895,0.2675749467577146,0.0,0.2675749467577146,0.6780593180332125,38,0.0002997561810369572,68,68,1,0,0.29903050036365536,197.76633367399995,2.613757498000041,200.41910377099998,0.37296346394174507,0.2675749467577146,38,38,pc_macro_dice,0.37296346394174507,0.2675749467577146
7,0.4053398832922871,0.4233453922543679,0.0,0.4233453922543679,0.8648809900390088,38,0.47720762689908347,0.3806378627807177,0.0,0.3806378627807177,0.7636035674906395,38,0.0002990255194346082,68,68,1,1,0.3806378627807177,198.1544825599999,2.6558187230000385,200.88816925300011,0.4233453922543679,0.3806378627807177,38,38,pc_macro_dice,0.4233453922543679,0.3806378627807177
8,0.3739770114083893,0.45711166911027445,0.0,0.45711166911027445,0.8789336806778852,38,0.5779929081598918,0.2809809950648058,0.0,0.2809809950648058,0.710575837396538,38,0.00029781039845923004,68,68,1,0,0.3806378627807177,197.6941514890002,2.6242675660000714,200.35782704199983,0.45711166911027445,0.2809809950648058,38,38,pc_macro_dice,0.45711166911027445,0.2809809950648058
9,0.3551766892808268,0.48180869903158025,0.0,0.48180869903158025,0.8856650293757514,38,0.6672208891312281,0.336666205680715,0.0,0.336666205680715,0.7211110648941513,38,0.00029611478158287887,68,68,1,0,0.3806378627807177,198.16508093600032,2.6230193620003774,200.82837650500005,0.48180869903158025,0.336666205680715,38,38,pc_macro_dice,0.48180869903158025,0.336666205680715
10,0.34461184620782137,0.501031238111874,0.0,0.501031238111874,0.888781380543939,38,0.5364860248565674,0.36764998419907824,0.0,0.36764998419907824,0.7158469945211378,38,0.0002939441995553673,68,68,1,0,0.3806378627807177,197.95887927500007,2.5940152650000528,200.59189116200014,0.501031238111874,0.36764998419907824,38,38,pc_macro_dice,0.501031238111874,0.36764998419907824
11,0.33259883732016676,0.519887495995097,0.0,0.519887495995097,0.8920546953553615,38,0.5766346438725789,0.40249657261710875,0.0,0.40249657261710875,0.7629445252048465,38,0.0002913057323641089,68,68,1,1,0.40249657261710875,199.3548136270001,2.743012708999686,202.1717420949999,0.519887495995097,0.40249657261710875,38,38,pc_macro_dice,0.519887495995097,0.40249657261710875
12,0.3314080781755904,0.5301360133125228,0.0,0.5301360133125228,0.8923518665257346,38,0.4705080958207448,0.4242964156481457,0.0,0.4242964156481457,0.7459243383136116,38,0.00028820798614067006,68,68,1,1,0.4242964156481457,198.60618893699984,2.6337776549999035,201.31768845700026,0.5301360133125228,0.4242964156481457,38,38,pc_macro_dice,0.5301360133125228,0.4242964156481457
13,0.3138187865107463,0.5480994099370264,0.0,0.5480994099370264,0.8978133596437339,38,0.4933148916562398,0.431045839305114,0.0,0.431045839305114,0.7565649961111358,38,0.000284661065089358,68,68,1,1,0.431045839305114,197.77057228900003,2.5611783929998637,200.40714949199992,0.5480994099370264,0.431045839305114,38,38,pc_macro_dice,0.5480994099370264,0.431045839305114
14,0.32450298348528556,0.5456386091360678,0.0,0.5456386091360678,0.8943264044364246,38,0.5140738654136657,0.3985824879722424,0.0,0.3985824879722424,0.7343770859871134,38,0.00028067653852940666,68,68,1,0,0.431045839305114,197.89061754800014,2.6032915840000896,200.53396225000006,0.5456386091360678,0.3985824879722424,38,38,pc_macro_dice,0.5456386091360678,0.3985824879722424
15,0.3046950987285548,0.5634110146546938,0.0,0.5634110146546938,0.9005347613927933,38,0.492488570412,0.4398527736540403,0.0,0.4398527736540403,0.7369646437854842,38,0.00027626740315826157,68,68,1,1,0.4398527736540403,197.7615201030003,2.637821969000015,200.47636874,0.5634110146546938,0.4398527736540403,38,38,pc_macro_dice,0.5634110146546938,0.4398527736540403
16,0.309014705832342,0.5621971416108553,0.0,0.5621971416108553,0.8990707989933918,38,0.6683616536855698,0.3794338846889115,0.0,0.3794338846889115,0.7250124118612846,38,0.0002714480406590546,68,68,1,0,0.4398527736540403,197.65157808999993,2.6175405049998517,200.31047730399996,0.5621971416108553,0.3794338846889115,38,38,pc_macro_dice,0.5621971416108553,0.3794338846889115
17,0.30341362622744494,0.5696763789947107,0.0,0.5696763789947107,0.9008290207067636,38,0.500623013973236,0.4303028731437921,0.0,0.4303028731437921,0.7456297990514013,38,0.00026623417079054285,68,68,1,0,0.4398527736540403,198.1191227039999,2.5843421560002753,200.7434809209999,0.5696763789947107,0.4303028731437921,38,38,pc_macro_dice,0.5696763789947107,0.4303028731437921
18,0.3021220483170593,0.572600913949979,0.0,0.572600913949979,0.9017562619374473,38,0.5611518601576487,0.4062074062460203,0.0,0.4062074062460203,0.7325147263694722,38,0.0002606428001125225,68,68,1,0,0.4398527736540403,197.63330203000032,2.5708226689994262,200.24430025199945,0.572600913949979,0.4062074062460203,38,38,pc_macro_dice,0.572600913949979,0.4062074062460203
19,0.2888340383129729,0.5818960259863867,0.0,0.5818960259863867,0.9044767511316206,38,0.5424007292588552,0.4195121198959578,0.0,0.4195121198959578,0.736077114461383,38,0.00025469216651396635,68,68,1,0,0.4398527736540403,198.47872372700022,2.7822768080004607,201.30150447600045,0.5818960259863867,0.4195121198959578,38,38,pc_macro_dice,0.5818960259863867,0.4195121198959578
20,0.2835455390396663,0.5860100596359094,0.0,0.5860100596359094,0.9054845393528165,38,0.4931487488746643,0.44317665447727067,0.0,0.44317665447727067,0.7418313771441944,38,0.0002484016797248201,68,68,1,1,0.44317665447727067,197.999809981,2.5928192900000795,200.67115691300023,0.5860100596359094,0.44317665447727067,38,38,pc_macro_dice,0.5860100596359094,0.44317665447727067
21,0.28183068825086094,0.5878644211124132,0.0,0.5878644211124132,0.9058331017338161,38,0.5292370500167211,0.43195881695253174,0.0,0.43195881695253174,0.7352707573725583,38,0.000241791858005498,68,68,1,0,0.44317665447727067,198.4942304290007,2.6219305419999728,201.15667239099912,0.5878644211124132,0.43195881695253174,38,38,pc_macro_dice,0.5878644211124132,0.43195881695253174
22,0.2786196065751358,0.591054948210957,0.0,0.591054948210957,0.9066411236323568,38,0.5483436554670333,0.4158387209454269,0.0,0.4158387209454269,0.7426928554901003,38,0.00023488426122058199,68,68,1,0,0.44317665447727067,197.96451698199962,2.7066887239998323,200.713318094,0.591054948210957,0.4158387209454269,38,38,pc_macro_dice,0.591054948210957,0.4158387209454269
23,0.290416816567884,0.5841573445084108,0.0,0.5841573445084108,0.9031267863881027,38,0.47777807354927065,0.43455709014035426,0.0,0.43455709014035426,0.7571209783055414,38,0.0002277014205150248,68,68,1,0,0.44317665447727067,198.3163530259999,2.5798467180002262,200.93770498599952,0.5841573445084108,0.43455709014035426,38,38,pc_macro_dice,0.5841573445084108,0.43455709014035426
24,0.28170425955836687,0.5915743260413021,0.0,0.5915743260413021,0.9060842357563758,38,0.5999189599355061,0.3645608260388211,0.0,0.3645608260388211,0.7351867819428815,38,0.0002202667648222382,68,68,1,0,0.44317665447727067,198.62890148400038,2.7186254210000698,201.38803647500026,0.5915743260413021,0.3645608260388211,38,38,pc_macro_dice,0.5915743260413021,0.3645608260388211
25,0.27209612516571324,0.5977565683144725,0.0,0.5977565683144725,0.9082475282084791,38,0.5817414301633835,0.3616459203742804,0.0,0.3616459203742804,0.7391339251242931,38,0.00021260454444378202,68,68,1,0,0.44317665447727067,197.81103896399964,2.624156460999984,200.47437938700023,0.5977565683144725,0.3616459203742804,38,38,pc_macro_dice,0.5977565683144725,0.3616459203742804
26,0.27404923615636867,0.5977615674390305,8.409969177427601e-06,0.5977615674390305,0.9077584173640817,38,0.523423040509224,0.4407358368519749,0.0,0.4407358368519749,0.7392838031492929,38,0.0002047397519499208,68,68,1,0,0.44317665447727067,198.04677543700018,2.54702774100042,200.6332487360005,0.5977615674390305,0.4407358368519749,38,38,pc_macro_dice,0.5977615674390305,0.4407358368519749
27,0.2712615609093906,0.6006197257314634,2.5234151901076935e-05,0.6006197257314634,0.9082211020100205,38,0.522622428536415,0.4395180412158177,0.0,0.4395180412158177,0.7405917432401138,38,0.00019669804065905463,68,68,1,0,0.44317665447727067,198.0483653349993,2.555583432000276,200.64408415199978,0.6006197257314634,0.4395180412158177,38,38,pc_macro_dice,0.6006197257314634,0.4395180412158177
28,0.2662205814795803,0.6047746567565255,1.68189482270019e-05,0.6047746567565255,0.9095125234515741,38,0.5138564942280451,0.42847054390101014,0.0,0.42847054390101014,0.7447555200774073,38,0.0001885056409619263,68,68,1,0,0.44317665447727067,198.0438729460002,2.5324254990000554,200.61869210300028,0.6047746567565255,0.42847054390101014,38,38,pc_macro_dice,0.6047746567565255,0.42847054390101014
29,0.26159270428174286,0.6082653402246733,2.523256009544118e-05,0.6082653402246733,0.9102553958995724,38,0.5200922022263209,0.42652401274537266,0.0,0.42652401274537266,0.7391321044535933,38,0.0001801892747635389,68,68,1,0,0.44317665447727067,198.3350611850001,2.5414373599996907,200.9168803090006,0.6082653402246733,0.42652401274537266,38,38,pc_macro_dice,0.6082653402246733,0.42652401274537266
30,0.261191675980043,0.608902978489745,5.886557625169715e-05,0.608902978489745,0.9101447835284939,38,0.5488155609369278,0.4286819926501305,0.0,0.4286819926501305,0.7400239570214342,38,0.0001717760683218561,68,68,1,0,0.44317665447727067,198.2663231409997,2.744490520999534,201.0498593050006,0.608902978489745,0.4286819926501305,38,38,pc_macro_dice,0.608902978489745,0.4286819926501305
31,0.26012958500789324,0.6102141690505296,5.887820202768588e-05,0.6102141690505296,0.9105251361490313,38,0.5241705872615179,0.4385849515124434,0.0,0.4385849515124434,0.7449364752377693,38,0.00016329346376758652,68,68,1,0,0.44317665447727067,197.97391256799983,2.6248034489999554,200.63878091100014,0.6102141690505296,0.4385849515124434,38,38,pc_macro_dice,0.6102141690505296,0.4385849515124434
32,0.2581513567488517,0.6123416677606537,4.2046486595403284e-05,0.6123416677606537,0.9109237281127659,38,0.5476261935631435,0.4194341085722971,0.0,0.4194341085722971,0.7369202695558356,38,0.0001547691295936576,68,68,1,0,0.44317665447727067,198.18742135999946,2.664594560000296,200.89145886200004,0.6123416677606537,0.4194341085722971,38,38,pc_macro_dice,0.6123416677606537,0.4194341085722971
33,0.2576863944705721,0.6128620244960183,0.00016815766462564675,0.6128620244960183,0.9108602391345225,38,0.5189437194665273,0.44806717064502194,0.0,0.44806717064502194,0.743021251479896,38,0.00014623087040634242,68,68,1,1,0.44806717064502194,198.7580359120002,2.614106019999781,201.45126828499997,0.6128620244960183,0.44806717064502194,38,38,pc_macro_dice,0.6128620244960183,0.44806717064502194
34,0.25700294815632835,0.6141583164288481,8.411313216240515e-05,0.6141583164288481,0.9111573856188739,38,0.5725564517577489,0.4176617248410649,0.0,0.4176617248410649,0.7427131603712146,38,0.00013770653623241348,68,68,1,0,0.44806717064502194,199.86349948600036,2.681317208999644,202.58533737499965,0.6141583164288481,0.4176617248410649,38,38,pc_macro_dice,0.6141583164288481,0.4176617248410649
35,0.2556799418758014,0.6151209705340116,0.0001933748108281765,0.6151209705340116,0.9114334856629328,38,0.5397863854964574,0.4354607782545482,0.0,0.4354607782545482,0.7412075051075739,38,0.00012922393167814387,68,68,1,0,0.44806717064502194,199.9136210280003,2.6341875870002696,202.58761594099997,0.6151209705340116,0.4354607782545482,38,38,pc_macro_dice,0.6151209705340116,0.4354607782545482
36,0.2538944945139877,0.6169420879569663,0.00022698994518517758,0.6169420879569663,0.9117608251234146,38,0.5092523314555486,0.45730539795114544,0.0,0.45730539795114544,0.7541455819374102,38,0.00012081072523646106,68,68,1,1,0.45730539795114544,199.0364233850005,2.6108043170006567,201.7263426290001,0.6169420879569663,0.45730539795114544,38,38,pc_macro_dice,0.6169420879569663,0.45730539795114544
37,0.2557782854529701,0.6162132996672169,0.0002606147987160071,0.6162132996672169,0.911416388905125,38,0.5520400927464167,0.44478149463925754,0.0,0.44478149463925754,0.7432825025244889,38,0.00011249435903807374,68,68,1,0,0.45730539795114544,198.13657110299937,2.596369395999318,200.77166424500047,0.6162132996672169,0.44478149463925754,38,38,pc_macro_dice,0.6162132996672169,0.44478149463925754
38,0.25225701201542844,0.6189753883200163,0.00030263417832591754,0.6189753883200163,0.9121763745806434,38,0.5387611397107442,0.4408240543828551,0.0,0.4408240543828551,0.743756484277864,38,0.00010430195934094536,68,68,1,0,0.45730539795114544,198.5922998879987,2.5711761149996164,201.2039930029996,0.6189753883200163,0.4408240543828551,38,38,pc_macro_dice,0.6189753883200163,0.4408240543828551
39,0.25200924774532507,0.6192840458371845,0.00036151922147104054,0.6192840458371845,0.9122160035258229,38,0.5077232635021209,0.4498663886454535,0.0,0.4498663886454535,0.7442004104465723,38,9.626024805007916e-05,68,68,1,0,0.45730539795114544,198.6008685809993,2.6419230159990548,201.28201495199937,0.6192840458371845,0.4498663886454535,38,38,pc_macro_dice,0.6192840458371845,0.4498663886454535
40,0.25023113654246604,0.6206058730782362,0.0003866390976163421,0.6206058730782362,0.9126566877966814,38,0.5208432430028915,0.4567402234192277,0.0,0.4567402234192277,0.7378533256449077,38,8.8395455556218e-05,68,68,1,0,0.45730539795114544,199.13509559799968,2.7046020359994145,201.88086879299954,0.6206058730782362,0.4567402234192277,38,38,pc_macro_dice,0.6206058730782362,0.4567402234192277
41,0.25084423561373564,0.6206505979565455,0.0005546358311530767,0.6206505979565455,0.9124431987245969,38,0.5245474926630656,0.4716332161304302,0.00023468669323695296,0.4716332161304302,0.7469010492836631,38,8.073323517776177e-05,68,68,1,1,0.4716332161304302,199.21027789899927,2.6057426520001172,201.89539907699873,0.6206505979565455,0.4716332161304302,38,38,pc_macro_dice,0.6206505979565455,0.4716332161304302
