epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Unknown,0.896752919731704,0
1,train,2,2,Left-Cerebral-White-Matter,0.23305568114018102,1
1,train,3,3,Left-Cerebral-Cortex,1.5964059580528907e-06,1
1,train,4,4,Left-Lateral-Ventricle,0.00017008655018199248,1
1,train,5,5,Left-Inf-Lat-Vent,0.0,1
1,train,7,7,Left-Cerebellum-White-Matter,0.009729499075049199,1
1,train,8,8,Left-Cerebellum-Cortex,0.0,1
1,train,10,10,Left-Thalamus,0.0,1
1,train,11,11,Left-Caudate,0.0005846921081619403,1
1,train,12,12,Left-Putamen,6.500492412279103e-06,1
1,train,13,13,Left-Pallidum,0.0,1
1,train,14,14,3rd-Ventricle,0.00036731114467758203,1
1,train,15,15,4th-Ventricle,0.0,1
1,train,16,16,Brain-Stem,0.0,1
1,train,17,17,Left-Hippocampus,6.0529227209701726e-05,1
1,train,18,18,Left-Amygdala,0.0,1
1,train,24,24,CSF,0.26226748957222656,1
1,train,26,26,Left-Accumbens-area,8.316319529594386e-05,1
1,train,28,28,Left-VentralDC,0.0018307911557586482,1
1,train,41,41,Right-Cerebral-White-Matter,0.15508994836345616,1
1,train,42,42,Right-Cerebral-Cortex,4.896439618213812e-05,1
1,train,43,43,Right-Lateral-Ventricle,0.00017396255060694356,1
1,train,44,44,Right-Inf-Lat-Vent,0.0,1
1,train,46,46,Right-Cerebellum-White-Matter,0.0,1
1,train,47,47,Right-Cerebellum-Cortex,0.0,1
1,train,49,49,Right-Thalamus,0.0,1
1,train,50,50,Right-Caudate,0.0008546101230012071,1
1,train,51,51,Right-Putamen,0.0,1
1,train,52,52,Right-Pallidum,0.002534970859823379,1
1,train,53,53,Right-Hippocampus,0.0005473072514184801,1
1,train,54,54,Right-Amygdala,0.00019744046831795883,1
1,train,58,58,Right-Accumbens-area,0.0,1
1,train,60,60,Right-VentralDC,0.0,1
1,train,100,100,Non-Brain-1,0.1891199722177914,1
1,train,101,101,Non-Brain-2,0.3728606642636736,1
1,train,102,102,Non-Brain-3,0.3652900764656349,1
1,train,103,103,Non-Brain-4,0.3723316021518471,1
1,train,104,104,Non-Brain-5,0.06850254019837605,1
1,train,105,105,Non-Brain-6,0.10933735173810474,1
1,eval,0,0,Unknown,0.9685185751756903,0
1,eval,2,2,Left-Cerebral-White-Matter,0.24729595003832952,1
1,eval,3,3,Left-Cerebral-Cortex,0.0,1
1,eval,4,4,Left-Lateral-Ventricle,0.0,1
1,eval,5,5,Left-Inf-Lat-Vent,0.0,1
1,eval,7,7,Left-Cerebellum-White-Matter,0.0,1
1,eval,8,8,Left-Cerebellum-Cortex,0.0,1
1,eval,10,10,Left-Thalamus,0.0,1
1,eval,11,11,Left-Caudate,0.0,1
1,eval,12,12,Left-Putamen,0.0,1
1,eval,13,13,Left-Pallidum,0.0,1
1,eval,14,14,3rd-Ventricle,0.0,1
1,eval,15,15,4th-Ventricle,0.0,1
1,eval,16,16,Brain-Stem,0.0,1
1,eval,17,17,Left-Hippocampus,0.0,1
1,eval,18,18,Left-Amygdala,0.0,1
1,eval,24,24,CSF,0.5647436527103632,1
1,eval,26,26,Left-Accumbens-area,0.0,1
1,eval,28,28,Left-VentralDC,0.0,1
1,eval,41,41,Right-Cerebral-White-Matter,0.5007776738556982,1
1,eval,42,42,Right-Cerebral-Cortex,0.0009194200442542133,1
1,eval,43,43,Right-Lateral-Ventricle,0.0,1
1,eval,44,44,Right-Inf-Lat-Vent,0.0,1
1,eval,46,46,Right-Cerebellum-White-Matter,0.0,1
1,eval,47,47,Right-Cerebellum-Cortex,0.0,1
1,eval,49,49,Right-Thalamus,0.0,1
1,eval,50,50,Right-Caudate,0.0,1
1,eval,51,51,Right-Putamen,0.0,1
1,eval,52,52,Right-Pallidum,0.0,1
1,eval,53,53,Right-Hippocampus,0.0,1
1,eval,54,54,Right-Amygdala,0.0,1
1,eval,58,58,Right-Accumbens-area,0.0,1
1,eval,60,60,Right-VentralDC,0.0,1
1,eval,100,100,Non-Brain-1,0.367006322208215,1
1,eval,101,101,Non-Brain-2,0.46246395351918096,1
1,eval,102,102,Non-Brain-3,0.5133223292098121,1
1,eval,103,103,Non-Brain-4,0.540967204930685,1
1,eval,104,104,Non-Brain-5,0.1812268679682252,1
1,eval,105,105,Non-Brain-6,0.35179711648708517,1
2,train,0,0,Unknown,0.9563423708510307,0
2,train,2,2,Left-Cerebral-White-Matter,0.4199072253700407,1
2,train,3,3,Left-Cerebral-Cortex,0.22634723407759272,1
