epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9840070277757395,0,1
1,train,1,Necrotic-Core,0.0007521182104701291,1,0
1,train,2,Edema,0.31763479608847084,1,0
1,train,3,Enhancing-Tumor,0.08726012013207367,1,0
1,eval,0,Background,0.9950409930534956,0,1
1,eval,1,Necrotic-Core,0.0,1,0
1,eval,2,Edema,0.46643924796543773,1,0
1,eval,3,Enhancing-Tumor,0.21497761705144108,1,0
2,train,0,Background,0.9956807579704635,0,1
2,train,1,Necrotic-Core,0.0,1,0
2,train,2,Edema,0.4975494153911645,1,0
2,train,3,Enhancing-Tumor,0.28391256691661343,1,0
2,eval,0,Background,0.9965328393775842,0,1
2,eval,1,Necrotic-Core,0.0,1,0
2,eval,2,Edema,0.5291892058288781,1,0
2,eval,3,Enhancing-Tumor,0.337039869615878,1,0
3,train,0,Background,0.996630280263068,0,1
3,train,1,Necrotic-Core,0.01651467588478105,1,0
3,train,2,Edema,0.5781321887830154,1,0
3,train,3,Enhancing-Tumor,0.34804225633520797,1,0
3,eval,0,Background,0.9963227598531553,0,1
3,eval,1,Necrotic-Core,0.008706617872150612,1,0
3,eval,2,Edema,0.6023873840229514,1,0
3,eval,3,Enhancing-Tumor,0.34293261940226427,1,0
4,train,0,Background,0.9969333188889804,0,1
4,train,1,Necrotic-Core,0.09528167658005925,1,0
4,train,2,Edema,0.6159980914670143,1,0
4,train,3,Enhancing-Tumor,0.37207067782974906,1,0
4,eval,0,Background,0.9968755702600369,0,1
4,eval,1,Necrotic-Core,0.06882179172120687,1,0
4,eval,2,Edema,0.6462114488673699,1,0
4,eval,3,Enhancing-Tumor,0.3498324012522654,1,0
5,train,0,Background,0.9972778648461373,0,1
5,train,1,Necrotic-Core,0.16093327697746476,1,0
5,train,2,Edema,0.6438128251355378,1,0
5,train,3,Enhancing-Tumor,0.4031193413806199,1,0
5,eval,0,Background,0.9964810762152052,0,1
5,eval,1,Necrotic-Core,0.1875426680936557,1,0
5,eval,2,Edema,0.6184345677859232,1,0
5,eval,3,Enhancing-Tumor,0.34965697820313685,1,0
6,train,0,Background,0.9975406142587392,0,1
6,train,1,Necrotic-Core,0.25081400120052094,1,0
6,train,2,Edema,0.6757824777416075,1,0
6,train,3,Enhancing-Tumor,0.4345522663913353,1,0
6,eval,0,Background,0.9966675022822943,0,1
6,eval,1,Necrotic-Core,0.1608904710893605,1,0
6,eval,2,Edema,0.6344599083687305,1,0
6,eval,3,Enhancing-Tumor,0.35051222870091087,1,0
7,train,0,Background,0.9976917901212424,0,1
7,train,1,Necrotic-Core,0.3684411279037092,1,0
7,train,2,Edema,0.7080479533011893,1,0
7,train,3,Enhancing-Tumor,0.4764361808161499,1,0
7,eval,0,Background,0.9970316067212053,0,1
7,eval,1,Necrotic-Core,0.1741405289771296,1,0
7,eval,2,Edema,0.648840146040806,1,0
7,eval,3,Enhancing-Tumor,0.38071650997047674,1,0
8,train,0,Background,0.9978353238411838,0,1
8,train,1,Necrotic-Core,0.48432471604579413,1,0
8,train,2,Edema,0.7403962414703807,1,0
8,train,3,Enhancing-Tumor,0.5252950779598217,1,0
8,eval,0,Background,0.9973460386252083,0,1
8,eval,1,Necrotic-Core,0.19012988322468496,1,0
8,eval,2,Edema,0.6700186492574468,1,0
8,eval,3,Enhancing-Tumor,0.3850496408802737,1,0
9,train,0,Background,0.9979413413677001,0,1
9,train,1,Necrotic-Core,0.5677928751189963,1,0
9,train,2,Edema,0.7672210279214584,1,0
9,train,3,Enhancing-Tumor,0.5759441366992994,1,0
9,eval,0,Background,0.9972413141485027,0,1
9,eval,1,Necrotic-Core,0.2524417015227455,1,0
9,eval,2,Edema,0.6408474882122129,1,0
9,eval,3,Enhancing-Tumor,0.35794044436143047,1,0
10,train,0,Background,0.9980584471407357,0,1
10,train,1,Necrotic-Core,0.6241892190182927,1,0
10,train,2,Edema,0.789798743500185,1,0
10,train,3,Enhancing-Tumor,0.6194042449975578,1,0
10,eval,0,Background,0.9971689670660732,0,1
10,eval,1,Necrotic-Core,0.23176407106436822,1,0
10,eval,2,Edema,0.6771686950458824,1,0
10,eval,3,Enhancing-Tumor,0.3691090854391454,1,0
11,train,0,Background,0.9981544416877702,0,1
11,train,1,Necrotic-Core,0.667430065323342,1,0
11,train,2,Edema,0.8072676398956437,1,0
11,train,3,Enhancing-Tumor,0.6551331753534674,1,0
11,eval,0,Background,0.9971950687356668,0,1
11,eval,1,Necrotic-Core,0.19565509393979966,1,0
11,eval,2,Edema,0.6749991819589323,1,0
11,eval,3,Enhancing-Tumor,0.3629250730364465,1,0
12,train,0,Background,0.9982446560998134,0,1
12,train,1,Necrotic-Core,0.6956182309767812,1,0
12,train,2,Edema,0.8214780581446159,1,0
12,train,3,Enhancing-Tumor,0.6818318190968637,1,0
