epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.25120404719114303,0.17722538535501375,0.030297413412797927,0.17722538535501375,0.4476496188819479,3,0.13570408907179146,0.23454785036813489,0.0003810432851963919,0.23454785036813489,0.4860415049741856,3,0.00011999999999999999,1,1,1,1,0.23454785036813489,229.5069246370001,49.92310401000009,280.82512815899986,0.17722538535501375,0.23454785036813489,3,3,pc_macro_dice,0.17722538535501375,0.23454785036813489
2,0.12221644712686539,0.2632523418828095,0.00011618555241410044,0.2632523418828095,0.5017688448713914,3,0.11623588586107465,0.27614215330758907,0.00460943877911727,0.27614215330758907,0.4900710503141864,3,0.00017999999999999998,1,1,1,1,0.27614215330758907,235.67830155399997,47.15059985499988,285.3583929870001,0.2632523418828095,0.27614215330758907,3,3,pc_macro_dice,0.2632523418828095,0.27614215330758907
3,0.10675052500963211,0.31090113085625687,0.02083549897705494,0.31090113085625687,0.5658391701097443,3,0.12356032020483569,0.31606770013071506,0.014185031966190335,0.31606770013071506,0.621286161994234,3,0.00023999999999999998,1,1,1,1,0.31606770013071506,242.66363901399973,45.02334513100004,289.80541402100016,0.31090113085625687,0.31606770013071506,3,3,pc_macro_dice,0.31090113085625687,0.31606770013071506
4,0.09937306030988693,0.3615702790800842,0.10852766689475135,0.3615702790800842,0.608187619978288,3,0.11904895552738042,0.360663874421031,0.12416440997102103,0.360663874421031,0.6602093534819876,3,0.0003,1,1,1,1,0.360663874421031,241.90816928200002,45.42202874399982,289.5631074109997,0.3615702790800842,0.360663874421031,3,3,pc_macro_dice,0.3615702790800842,0.360663874421031
5,0.0954339713871479,0.3787227340136319,0.12979988023823466,0.3787227340136319,0.6240327783105037,3,0.10607154659554659,0.35297663742899604,0.11768439228121608,0.35297663742899604,0.6002316440594456,3,0.0003,1,1,1,0,0.360663874421031,239.82833864299982,46.3519727820003,287.2378701819998,0.3787227340136319,0.35297663742899604,3,3,pc_macro_dice,0.3787227340136319,0.35297663742899604
6,0.08772357034087182,0.43201165834550875,0.2329592016715756,0.43201165834550875,0.6524543479477382,3,0.10525949026167297,0.3392791160470884,0.08840210675607733,0.3392791160470884,0.5688275095162468,3,0.0002997561810369572,1,1,1,0,0.360663874421031,241.77879808299986,46.80842088300005,289.75035272900004,0.43201165834550875,0.3392791160470884,3,3,pc_macro_dice,0.43201165834550875,0.3392791160470884
7,0.08042055639624596,0.4972850873780418,0.36880815446408655,0.4972850873780418,0.6784882456346145,3,0.1115009636547013,0.3844453842388226,0.2270579081643226,0.3844453842388226,0.5878498874207697,3,0.0002990255194346082,1,1,1,1,0.3844453842388226,239.8533481229997,46.84636957600014,288.8727244410002,0.4972850873780418,0.3844453842388226,3,3,pc_macro_dice,0.4972850873780418,0.3844453842388226
8,0.07302759728431701,0.5555861567809911,0.4715077811593399,0.5555861567809911,0.7097223599007987,3,0.1129735773785194,0.38990035025971104,0.15052023084175672,0.38990035025971104,0.6681183701258845,3,0.00029781039845923004,1,1,1,1,0.38990035025971104,232.30593881200002,41.90109604500003,276.40250942500006,0.5555861567809911,0.38990035025971104,3,3,pc_macro_dice,0.5555861567809911,0.38990035025971104
9,0.0647294254899025,0.6065701985328669,0.5362565942670813,0.6065701985328669,0.7400915502856888,3,0.12158873440641435,0.39326099137788184,0.17206387753539945,0.39326099137788184,0.6648768058671584,3,0.00029611478158287887,1,1,1,1,0.39326099137788184,228.61336695499995,42.99752955999975,273.77416070300023,0.6065701985328669,0.39326099137788184,3,3,pc_macro_dice,0.6065701985328669,0.39326099137788184
10,0.058729495015740395,0.6450684311113175,0.5756633523058232,0.6450684311113175,0.7619886315292478,3,0.13413213803670163,0.38318497216485536,0.1391687509942674,0.38318497216485536,0.656948608486313,3,0.0002939441995553673,1,1,1,0,0.39326099137788184,228.36508323199996,42.86643138199997,272.3126507140005,0.6450684311113175,0.38318497216485536,3,3,pc_macro_dice,0.6450684311113175,0.38318497216485536
