epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9928849987392758,0
1,train,1,1,Necrotic-Core,0.030297413412797927,1
1,train,2,2,Edema,0.4476496188819479,1
1,train,3,4,Enhancing-Tumor,0.0537291237702955,1
1,eval,0,0,Background,0.9942134949483131,0
1,eval,1,1,Necrotic-Core,0.0003810432851963919,1
1,eval,2,2,Edema,0.4860415049741856,1
1,eval,3,4,Enhancing-Tumor,0.21722100284502271,1
2,train,0,0,Background,0.9953489089462545,0
2,train,1,1,Necrotic-Core,0.00011618555241410044,1
2,train,2,2,Edema,0.5017688448713914,1
2,train,3,4,Enhancing-Tumor,0.2878719952246231,1
2,eval,0,0,Background,0.9953154441636489,0
2,eval,1,1,Necrotic-Core,0.00460943877911727,1
2,eval,2,2,Edema,0.4900710503141864,1
2,eval,3,4,Enhancing-Tumor,0.3337459708294635,1
3,train,0,0,Background,0.9962985547534576,0
3,train,1,1,Necrotic-Core,0.02083549897705494,1
3,train,2,2,Edema,0.5658391701097443,1
3,train,3,4,Enhancing-Tumor,0.34602872348197145,1
3,eval,0,0,Background,0.99660524339688,0
3,eval,1,1,Necrotic-Core,0.014185031966190335,1
3,eval,2,2,Edema,0.621286161994234,1
3,eval,3,4,Enhancing-Tumor,0.31273190643172083,1
4,train,0,0,Background,0.9966814748171164,0
4,train,1,1,Necrotic-Core,0.10852766689475135,1
4,train,2,2,Edema,0.608187619978288,1
4,train,3,4,Enhancing-Tumor,0.3679955503672135,1
4,eval,0,0,Background,0.9970796720581748,0
4,eval,1,1,Necrotic-Core,0.12416440997102103,1
4,eval,2,2,Edema,0.6602093534819876,1
4,eval,3,4,Enhancing-Tumor,0.29761785981008443,1
5,train,0,0,Background,0.9969014689179763,0
5,train,1,1,Necrotic-Core,0.12979988023823466,1
5,train,2,2,Edema,0.6240327783105037,1
5,train,3,4,Enhancing-Tumor,0.3823355434921572,1
5,eval,0,0,Background,0.9967881047516662,0
5,eval,1,1,Necrotic-Core,0.11768439228121608,1
5,eval,2,2,Edema,0.6002316440594456,1
5,eval,3,4,Enhancing-Tumor,0.34101387594632643,1
6,train,0,0,Background,0.9972006695123321,0
6,train,1,1,Necrotic-Core,0.2329592016715756,1
6,train,2,2,Edema,0.6524543479477382,1
