epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9349307703960923,0
1,train,1,1,Necrotic-Core,0.0023407831338623573,1
1,train,2,2,Edema,0.36107059599947905,1
1,train,3,4,Enhancing-Tumor,0.03362819214729258,1
1,eval,0,0,Background,0.9967590641524717,0
1,eval,1,1,Necrotic-Core,0.0,1
1,eval,2,2,Edema,0.5871341250166138,1
1,eval,3,4,Enhancing-Tumor,0.30935397134474835,1
2,train,0,0,Background,0.997261238926968,0
2,train,1,1,Necrotic-Core,0.07143289952193455,1
2,train,2,2,Edema,0.6724386640148636,1
2,train,3,4,Enhancing-Tumor,0.40575770033125547,1
2,eval,0,0,Background,0.9974849046278746,0
2,eval,1,1,Necrotic-Core,0.28303665888171864,1
2,eval,2,2,Edema,0.7151434651751052,1
2,eval,3,4,Enhancing-Tumor,0.3969266401934021,1
3,train,0,0,Background,0.9976522145158787,0
3,train,1,1,Necrotic-Core,0.26786349512859364,1
3,train,2,2,Edema,0.7289568222607077,1
3,train,3,4,Enhancing-Tumor,0.48139201219194455,1
3,eval,0,0,Background,0.9977488077415507,0
3,eval,1,1,Necrotic-Core,0.13854414760800426,1
3,eval,2,2,Edema,0.7387100159720379,1
3,eval,3,4,Enhancing-Tumor,0.48586666013525337,1
4,train,0,0,Background,0.9978865280488367,0
4,train,1,1,Necrotic-Core,0.3782915781034436,1
4,train,2,2,Edema,0.7556370327201543,1
4,train,3,4,Enhancing-Tumor,0.5211177183492026,1
4,eval,0,0,Background,0.9982301859328214,0
4,eval,1,1,Necrotic-Core,0.18622289157645291,1
4,eval,2,2,Edema,0.7762902795613122,1
4,eval,3,4,Enhancing-Tumor,0.5169774470057609,1
5,train,0,0,Background,0.9980359592838755,0
5,train,1,1,Necrotic-Core,0.45411274491129067,1
5,train,2,2,Edema,0.7756167978841877,1
5,train,3,4,Enhancing-Tumor,0.5514275672149995,1
5,eval,0,0,Background,0.9975727656945135,0
5,eval,1,1,Necrotic-Core,0.39995346574981117,1
5,eval,2,2,Edema,0.7589790611771431,1
5,eval,3,4,Enhancing-Tumor,0.495283866645526,1
6,train,0,0,Background,0.998201504733223,0
6,train,1,1,Necrotic-Core,0.5326529310067463,1
6,train,2,2,Edema,0.7995073130567009,1
6,train,3,4,Enhancing-Tumor,0.5874700429571857,1
6,eval,0,0,Background,0.9971262161057879,0
6,eval,1,1,Necrotic-Core,0.3240163999664072,1
6,eval,2,2,Edema,0.7470417499743705,1
6,eval,3,4,Enhancing-Tumor,0.4706936068513635,1
7,train,0,0,Background,0.9982527105613339,0
7,train,1,1,Necrotic-Core,0.5950048517904031,1
7,train,2,2,Edema,0.81573446157676,1
7,train,3,4,Enhancing-Tumor,0.6195437015593005,1
7,eval,0,0,Background,0.9982041600080983,0
7,eval,1,1,Necrotic-Core,0.4099459631678898,1
7,eval,2,2,Edema,0.7904013161701782,1
