epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9797136364878168,0
1,train,1,1,Necrotic-Core,0.016678224524991417,1
1,train,2,2,Edema,0.548666544034678,1
1,train,3,4,Enhancing-Tumor,0.08989789012150491,1
1,eval,0,0,Background,0.9972534062296177,0
1,eval,1,1,Necrotic-Core,0.0,1
1,eval,2,2,Edema,0.6983984308741018,1
1,eval,3,4,Enhancing-Tumor,0.36663051065249525,1
2,train,0,0,Background,0.9974377661994627,0
2,train,1,1,Necrotic-Core,0.04669624174760086,1
2,train,2,2,Edema,0.6815523258770352,1
2,train,3,4,Enhancing-Tumor,0.4211101568625511,1
2,eval,0,0,Background,0.9980168646938082,0
2,eval,1,1,Necrotic-Core,0.2713002754986729,1
2,eval,2,2,Edema,0.7456309120029362,1
2,eval,3,4,Enhancing-Tumor,0.451547066072905,1
3,train,0,0,Background,0.9977560862708293,0
3,train,1,1,Necrotic-Core,0.26670752088613964,1
3,train,2,2,Edema,0.731186205274398,1
3,train,3,4,Enhancing-Tumor,0.48435373977334023,1
3,eval,0,0,Background,0.9976948653207788,0
3,eval,1,1,Necrotic-Core,0.08613340487192675,1
3,eval,2,2,Edema,0.7475092391649233,1
3,eval,3,4,Enhancing-Tumor,0.49410639857068767,1
4,train,0,0,Background,0.9979425397534356,0
4,train,1,1,Necrotic-Core,0.36703810690585076,1
4,train,2,2,Edema,0.7587866886751286,1
4,train,3,4,Enhancing-Tumor,0.5237543164065099,1
4,eval,0,0,Background,0.9978880185849254,0
4,eval,1,1,Necrotic-Core,0.13320049468408648,1
4,eval,2,2,Edema,0.7541899778291796,1
4,eval,3,4,Enhancing-Tumor,0.5012540171305241,1
5,train,0,0,Background,0.9980506398546494,0
5,train,1,1,Necrotic-Core,0.4429835819372428,1
5,train,2,2,Edema,0.7756393315538167,1
5,train,3,4,Enhancing-Tumor,0.5548363615533884,1
5,eval,0,0,Background,0.9975412829453557,0
5,eval,1,1,Necrotic-Core,0.40640071947716344,1
5,eval,2,2,Edema,0.742928867278269,1
5,eval,3,4,Enhancing-Tumor,0.4862504974778141,1
6,train,0,0,Background,0.998189031935225,0
6,train,1,1,Necrotic-Core,0.5125065661252625,1
6,train,2,2,Edema,0.7976757989834562,1
6,train,3,4,Enhancing-Tumor,0.5858185254698919,1
6,eval,0,0,Background,0.9976646568452946,0
