epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.5787779273697362,0.2159689445564163,0.008846652955222406,0.2159689445564163,0.5651497906903653,3,0.12317652980185997,0.23671141093227924,0.0,0.23671141093227924,0.5884463583180658,3,0.00011999999999999999,1,1,1,1,0.23671141093227924,189.56928822800023,28.60117832800006,218.32528952600023,0.2159689445564163,0.23671141093227924,3,3,pc_macro_dice,0.2159689445564163,0.23671141093227924
2,0.09712186145087401,0.35785065353036116,0.011494668690966419,0.35785065353036116,0.653783499281984,3,0.09373157022959867,0.4081009850915598,0.040880863447755295,0.4081009850915598,0.7279497343459285,3,0.00017999999999999998,1,1,1,1,0.4081009850915598,164.43081563400028,25.261546844999884,189.8137722170004,0.35785065353036116,0.4081009850915598,3,3,pc_macro_dice,0.35785065353036116,0.4081009850915598
3,0.08177321160825106,0.47477445865057244,0.2212657125029384,0.47477445865057244,0.7224208817171265,3,0.08885624660416298,0.4622603362558813,0.152507707266532,0.4622603362558813,0.7563115860603239,3,0.00023999999999999998,1,1,1,1,0.4622603362558813,166.1418369449998,25.415910428999723,191.7067059029996,0.47477445865057244,0.4622603362558813,3,3,pc_macro_dice,0.47477445865057244,0.4622603362558813
4,0.07039121334878401,0.5543618379015471,0.3898274214775449,0.5543618379015471,0.7526819786499179,3,0.08471712521069748,0.4872756032474864,0.2234181288812187,0.4872756032474864,0.7299232121573078,3,0.0003,1,1,1,1,0.4872756032474864,164.81722450899997,26.39132785999982,191.33176319300037,0.5543618379015471,0.4872756032474864,3,3,pc_macro_dice,0.5543618379015471,0.4872756032474864
5,0.06544261593847706,0.5972555629126118,0.4683063718062529,0.5972555629126118,0.7723230466082057,3,0.08307043647550783,0.5516742011966806,0.3525753043267,0.5516742011966806,0.7909508722987173,3,0.0003,1,1,1,1,0.5516742011966806,194.5353160259997,27.360264556999937,222.07059420400037,0.5972555629126118,0.5516742011966806,3,3,pc_macro_dice,0.5972555629126118,0.5516742011966806
6,0.05989381700111464,0.6343887821239369,0.529118304386698,0.6343887821239369,0.794152261671683,3,0.07791763667912951,0.5219362471352835,0.29981223821626335,0.5219362471352835,0.7613603196149183,3,0.0002997561810369572,1,1,1,0,0.5516742011966806,193.3477624369998,28.171733914000015,221.60486315599974,0.6343887821239369,0.5219362471352835,3,3,pc_macro_dice,0.6343887821239369,0.5219362471352835
7,0.055722441211842694,0.6670655364968454,0.581083452426235,0.6670655364968454,0.8107228132899853,3,0.07653777937369219,0.5690677172121501,0.3964289243552072,0.5690677172121501,0.775559989835625,3,0.0002990255194346082,1,1,1,1,0.5690677172121501,194.06735057900005,28.149757517000126,222.3913881919998,0.6670655364968454,0.5690677172121501,3,3,pc_macro_dice,0.6670655364968454,0.5690677172121501
8,0.05027940469725539,0.6974160912241861,0.6246359634578115,0.6974160912241861,0.8244871070502677,3,0.08182988576531695,0.5686226705745632,0.40189695749510607,0.5686226705745632,0.7635584928855869,3,0.00029781039845923004,1,1,1,0,0.5690677172121501,195.12839547699969,28.308807828000226,223.52564670699985,0.6974160912241861,0.5686226705745632,3,3,pc_macro_dice,0.6974160912241861,0.5686226705745632
9,0.046796062040312315,0.7212817563160927,0.6622528413511591,0.7212817563160927,0.8345313061568115,3,0.08253677072341607,0.5727221123936526,0.4594626631820953,0.5727221123936526,0.7569109305118126,3,0.00029611478158287887,1,1,1,1,0.5727221123936526,194.99809364700013,29.00356690200033,224.18562733199997,0.7212817563160927,0.5727221123936526,3,3,pc_macro_dice,0.7212817563160927,0.5727221123936526
10,0.043585020501297506,0.7442896852325998,0.6924599459947675,0.7442896852325998,0.8437034381536048,3,0.08509079486229545,0.5534314248729777,0.3841279584587536,0.5534314248729777,0.7496049890282627,3,0.0002939441995553673,1,1,1,0,0.5727221123936526,195.48077440699944,29.16513798899996,224.73924742899953,0.7442896852325998,0.5534314248729777,3,3,pc_macro_dice,0.7442896852325998,0.5534314248729777
11,0.04087982967216224,0.7590639150403758,0.7105977075067775,0.7590639150403758,0.8515590319355811,3,0.08967792608435592,0.5855721481872458,0.40001682132073474,0.5855721481872458,0.7974891659995198,3,0.0002913057323641089,1,1,1,1,0.5855721481872458,197.26840943499974,29.993224619999637,227.42636050700003,0.7590639150403758,0.5855721481872458,3,3,pc_macro_dice,0.7590639150403758,0.5855721481872458
