epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9943275033042626,0,1
1,train,1,Necrotic-Core,0.008846652955222406,1,0
1,train,2,Edema,0.5651497906903653,1,0
1,train,3,Enhancing-Tumor,0.07391039002366127,1,0
1,eval,0,Background,0.9949143589491078,0,1
1,eval,1,Necrotic-Core,0.0,1,0
1,eval,2,Edema,0.5884463583180658,1,0
1,eval,3,Enhancing-Tumor,0.1216878744787719,1,0
2,train,0,Background,0.9972343531731707,0,1
2,train,1,Necrotic-Core,0.011494668690966419,1,0
2,train,2,Edema,0.653783499281984,1,0
2,train,3,Enhancing-Tumor,0.408273792618133,1,0
2,eval,0,Background,0.9973222782488322,0,1
2,eval,1,Necrotic-Core,0.040880863447755295,1,0
2,eval,2,Edema,0.7279497343459285,1,0
2,eval,3,Enhancing-Tumor,0.4554723574809956,1,0
3,train,0,Background,0.9976348409100901,0,1
3,train,1,Necrotic-Core,0.2212657125029384,1,0
3,train,2,Edema,0.7224208817171265,1,0
3,train,3,Enhancing-Tumor,0.4806367817316525,1,0
3,eval,0,Background,0.9978479319471735,0,1
3,eval,1,Necrotic-Core,0.152507707266532,1,0
3,eval,2,Edema,0.7563115860603239,1,0
3,eval,3,Enhancing-Tumor,0.4779617154407881,1,0
4,train,0,Background,0.9978418155693769,0,1
4,train,1,Necrotic-Core,0.3898274214775449,1,0
4,train,2,Edema,0.7526819786499179,1,0
4,train,3,Enhancing-Tumor,0.5205761135771787,1,0
4,eval,0,Background,0.9971658133626065,0,1
4,eval,1,Necrotic-Core,0.2234181288812187,1,0
4,eval,2,Edema,0.7299232121573078,1,0
4,eval,3,Enhancing-Tumor,0.5084854687039329,1,0
5,train,0,Background,0.997997139790103,0,1
5,train,1,Necrotic-Core,0.4683063718062529,1,0
5,train,2,Edema,0.7723230466082057,1,0
5,train,3,Enhancing-Tumor,0.551137270323377,1,0
5,eval,0,Background,0.9982634736702004,0,1
5,eval,1,Necrotic-Core,0.3525753043267,1,0
5,eval,2,Edema,0.7909508722987173,1,0
5,eval,3,Enhancing-Tumor,0.5114964269646247,1,0
6,train,0,Background,0.9981376154286651,0,1
6,train,1,Necrotic-Core,0.529118304386698,1,0
6,train,2,Edema,0.794152261671683,1,0
6,train,3,Enhancing-Tumor,0.5798957803134298,1,0
6,eval,0,Background,0.9977133353949524,0,1
6,eval,1,Necrotic-Core,0.29981223821626335,1,0
6,eval,2,Edema,0.7613603196149183,1,0
6,eval,3,Enhancing-Tumor,0.5046361835746689,1,0
7,train,0,Background,0.9981974074059181,0,1
7,train,1,Necrotic-Core,0.581083452426235,1,0
7,train,2,Edema,0.8107228132899853,1,0
7,train,3,Enhancing-Tumor,0.6093903437743161,1,0
7,eval,0,Background,0.9981745885310984,0,1
7,eval,1,Necrotic-Core,0.3964289243552072,1,0
7,eval,2,Edema,0.775559989835625,1,0
7,eval,3,Enhancing-Tumor,0.5352142374456182,1,0
8,train,0,Background,0.9983508137493043,0,1
8,train,1,Necrotic-Core,0.6246359634578115,1,0
8,train,2,Edema,0.8244871070502677,1,0
8,train,3,Enhancing-Tumor,0.6431252031644792,1,0
8,eval,0,Background,0.9976133620159283,0,1
8,eval,1,Necrotic-Core,0.40189695749510607,1,0
8,eval,2,Edema,0.7635584928855869,1,0
8,eval,3,Enhancing-Tumor,0.5404125613429966,1,0
9,train,0,Background,0.9984331952782322,0,1
9,train,1,Necrotic-Core,0.6622528413511591,1,0
9,train,2,Edema,0.8345313061568115,1,0
9,train,3,Enhancing-Tumor,0.6670611214403074,1,0
9,eval,0,Background,0.9974074399977328,0,1
9,eval,1,Necrotic-Core,0.4594626631820953,1,0
9,eval,2,Edema,0.7569109305118126,1,0
9,eval,3,Enhancing-Tumor,0.5017927434870498,1,0
10,train,0,Background,0.9984727306987751,0,1
10,train,1,Necrotic-Core,0.6967056715494269,1,0
10,train,2,Edema,0.8437034381536048,1,0
10,train,3,Enhancing-Tumor,0.6924599459947675,1,0
10,eval,0,Background,0.9977062844306008,0,1
10,eval,1,Necrotic-Core,0.3841279584587536,1,0
10,eval,2,Edema,0.7496049890282627,1,0
10,eval,3,Enhancing-Tumor,0.526561327131917,1,0
11,train,0,Background,0.9985416913307427,0,1
11,train,1,Necrotic-Core,0.7150350056787689,1,0
11,train,2,Edema,0.8515590319355811,1,0
11,train,3,Enhancing-Tumor,0.7105977075067775,1,0
11,eval,0,Background,0.9984053002406713,0,1
11,eval,1,Necrotic-Core,0.40001682132073474,1,0
11,eval,2,Edema,0.7974891659995198,1,0
11,eval,3,Enhancing-Tumor,0.559210457241483,1,0
12,train,0,Background,0.9985773032153135,0,1
12,train,1,Necrotic-Core,0.728723096553284,1,0
12,train,2,Edema,0.8579450260902264,1,0
12,train,3,Enhancing-Tumor,0.718154359018184,1,0
12,eval,0,Background,0.9984304258963382,0,1
12,eval,1,Necrotic-Core,0.3764696685657771,1,0
12,eval,2,Edema,0.8043586119452489,1,0
12,eval,3,Enhancing-Tumor,0.5656542318276205,1,0
13,train,0,Background,0.9986497178708029,0,1
13,train,1,Necrotic-Core,0.7478813633817031,1,0
13,train,2,Edema,0.8629692670132828,1,0
13,train,3,Enhancing-Tumor,0.735155897198114,1,0
13,eval,0,Background,0.9982877794867403,0,1
13,eval,1,Necrotic-Core,0.3879675948464769,1,0
13,eval,2,Edema,0.7965695528950301,1,0
13,eval,3,Enhancing-Tumor,0.5684701194956049,1,0
14,train,0,Background,0.9986498713003792,0,1
14,train,1,Necrotic-Core,0.7628191914641532,1,0
14,train,2,Edema,0.8672190395769954,1,0
14,train,3,Enhancing-Tumor,0.7478329157671354,1,0
14,eval,0,Background,0.9982989023532475,0,1
14,eval,1,Necrotic-Core,0.39928653074799203,1,0
14,eval,2,Edema,0.798329747425374,1,0
14,eval,3,Enhancing-Tumor,0.5570286675253493,1,0
15,train,0,Background,0.9987088601789367,0,1
15,train,1,Necrotic-Core,0.7672055710844009,1,0
15,train,2,Edema,0.8715586853370578,1,0
15,train,3,Enhancing-Tumor,0.7520035932544309,1,0
15,eval,0,Background,0.9978787445285711,0,1
15,eval,1,Necrotic-Core,0.41549442932001035,1,0
15,eval,2,Edema,0.7811594426238273,1,0
15,eval,3,Enhancing-Tumor,0.5523707342573603,1,0
16,train,0,Background,0.9987327492240612,0,1
16,train,1,Necrotic-Core,0.7811236401885837,1,0
16,train,2,Edema,0.875515872239079,1,0
16,train,3,Enhancing-Tumor,0.7636234587902773,1,0
16,eval,0,Background,0.9982056443854337,0,1
16,eval,1,Necrotic-Core,0.47135577597793177,1,0
16,eval,2,Edema,0.7939460263534527,1,0
16,eval,3,Enhancing-Tumor,0.5594248901635313,1,0
17,train,0,Background,0.9987743325852261,0,1
17,train,1,Necrotic-Core,0.7885405181096993,1,0
17,train,2,Edema,0.8795813256816463,1,0
17,train,3,Enhancing-Tumor,0.7703050405070591,1,0
17,eval,0,Background,0.9984502081385423,0,1
17,eval,1,Necrotic-Core,0.3606034206056206,1,0
17,eval,2,Edema,0.8039062757138233,1,0
17,eval,3,Enhancing-Tumor,0.5571576749279716,1,0
18,train,0,Background,0.9987865644435204,0,1
18,train,1,Necrotic-Core,0.7922701311184648,1,0
18,train,2,Edema,0.8812021285648552,1,0
18,train,3,Enhancing-Tumor,0.777501614506629,1,0
18,eval,0,Background,0.9981425765599649,0,1
18,eval,1,Necrotic-Core,0.48108615254205606,1,0
18,eval,2,Edema,0.7880165141054091,1,0
18,eval,3,Enhancing-Tumor,0.5512405246120573,1,0
19,train,0,Background,0.9988055460881639,0,1
19,train,1,Necrotic-Core,0.8020499032001316,1,0
19,train,2,Edema,0.8838902151780867,1,0
19,train,3,Enhancing-Tumor,0.7830495239926274,1,0
19,eval,0,Background,0.998105820306125,0,1
19,eval,1,Necrotic-Core,0.40787430806207486,1,0
19,eval,2,Edema,0.7887434497312059,1,0
19,eval,3,Enhancing-Tumor,0.5626369687126663,1,0
20,train,0,Background,0.9988376856435751,0,1
20,train,1,Necrotic-Core,0.8078675084085769,1,0
20,train,2,Edema,0.8888454004999952,1,0
20,train,3,Enhancing-Tumor,0.7889177905840711,1,0
20,eval,0,Background,0.9982288000428325,0,1
20,eval,1,Necrotic-Core,0.42298915300467665,1,0
20,eval,2,Edema,0.798694983289239,1,0
20,eval,3,Enhancing-Tumor,0.5626052911573697,1,0
21,train,0,Background,0.9988602839127981,0,1
21,train,1,Necrotic-Core,0.8130027583902891,1,0
21,train,2,Edema,0.8897541499569718,1,0
21,train,3,Enhancing-Tumor,0.7940934823614014,1,0
21,eval,0,Background,0.998366349291716,0,1
21,eval,1,Necrotic-Core,0.3960425384559913,1,0
21,eval,2,Edema,0.800234130762635,1,0
21,eval,3,Enhancing-Tumor,0.5593158110414029,1,0
22,train,0,Background,0.9989008191932882,0,1
22,train,1,Necrotic-Core,0.819191253930959,1,0
22,train,2,Edema,0.8921717768258131,1,0
22,train,3,Enhancing-Tumor,0.7982302433705716,1,0
22,eval,0,Background,0.9980646232832066,0,1
22,eval,1,Necrotic-Core,0.4854381977752757,1,0
22,eval,2,Edema,0.7868569708232371,1,0
22,eval,3,Enhancing-Tumor,0.551157082966554,1,0
23,train,0,Background,0.9988879832762421,0,1
23,train,1,Necrotic-Core,0.8202932968093919,1,0
23,train,2,Edema,0.894145979416875,1,0
23,train,3,Enhancing-Tumor,0.8027533648008569,1,0
23,eval,0,Background,0.9981325617196978,0,1
23,eval,1,Necrotic-Core,0.44749781320059395,1,0
23,eval,2,Edema,0.7910709710161445,1,0
23,eval,3,Enhancing-Tumor,0.557693992337949,1,0
24,train,0,Background,0.9989212958700284,0,1
24,train,1,Necrotic-Core,0.8200078436851089,1,0
24,train,2,Edema,0.8967372333216437,1,0
24,train,3,Enhancing-Tumor,0.8090842621464461,1,0
24,eval,0,Background,0.998283778550865,0,1
24,eval,1,Necrotic-Core,0.43960286817369054,1,0
24,eval,2,Edema,0.8013214341316919,1,0
24,eval,3,Enhancing-Tumor,0.5600637484911615,1,0
25,train,0,Background,0.9989372844676958,0,1
25,train,1,Necrotic-Core,0.8296550137764375,1,0
25,train,2,Edema,0.8984349491856596,1,0
25,train,3,Enhancing-Tumor,0.810619278024418,1,0
25,eval,0,Background,0.9983128235466372,0,1
25,eval,1,Necrotic-Core,0.4142653303447294,1,0
25,eval,2,Edema,0.7986439989332945,1,0
25,eval,3,Enhancing-Tumor,0.5573948211672373,1,0
26,train,0,Background,0.9989425480586774,0,1
26,train,1,Necrotic-Core,0.8335653808822581,1,0
26,train,2,Edema,0.9004830416505364,1,0
26,train,3,Enhancing-Tumor,0.8165525635375873,1,0
26,eval,0,Background,0.9983107846221699,0,1
26,eval,1,Necrotic-Core,0.4559194296823809,1,0
26,eval,2,Edema,0.7997420848525091,1,0
26,eval,3,Enhancing-Tumor,0.5607954410619255,1,0
27,train,0,Background,0.9989724223881042,0,1
27,train,1,Necrotic-Core,0.8390001614242488,1,0
27,train,2,Edema,0.9026822927700601,1,0
27,train,3,Enhancing-Tumor,0.8178145571550147,1,0
27,eval,0,Background,0.9984802634831901,0,1
27,eval,1,Necrotic-Core,0.43756390637558945,1,0
27,eval,2,Edema,0.806382114025867,1,0
27,eval,3,Enhancing-Tumor,0.5645309719890529,1,0
28,train,0,Background,0.9989736731773222,0,1
28,train,1,Necrotic-Core,0.8382296453927904,1,0
28,train,2,Edema,0.9046354888168863,1,0
28,train,3,Enhancing-Tumor,0.8244160126461803,1,0
28,eval,0,Background,0.9983720095626942,0,1
28,eval,1,Necrotic-Core,0.4421879946587904,1,0
28,eval,2,Edema,0.8055808462244433,1,0
28,eval,3,Enhancing-Tumor,0.5596836261137084,1,0
