epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9757506809396228,0,1
1,train,1,Necrotic-Core,9.199557023856431e-05,1,0
1,train,2,Edema,0.28446261120660565,1,0
1,train,3,Enhancing-Tumor,0.17739358851471154,1,0
1,eval,0,Background,0.9973437068569254,0,1
1,eval,1,Necrotic-Core,0.0,1,0
1,eval,2,Edema,0.7097775487592582,1,0
1,eval,3,Enhancing-Tumor,0.45206606160443,1,0
2,train,0,Background,0.9973312144846671,0,1
2,train,1,Necrotic-Core,0.17529163893518854,1,0
2,train,2,Edema,0.7021196878993,1,0
2,train,3,Enhancing-Tumor,0.4598149559239311,1,0
2,eval,0,Background,0.9980041942111575,0,1
2,eval,1,Necrotic-Core,0.16615163947364195,1,0
2,eval,2,Edema,0.7680906841107651,1,0
2,eval,3,Enhancing-Tumor,0.4797688180578233,1,0
3,train,0,Background,0.9976964355419903,0,1
3,train,1,Necrotic-Core,0.34116313382384633,1,0
3,train,2,Edema,0.7389486029230713,1,0
3,train,3,Enhancing-Tumor,0.4995067040896983,1,0
3,eval,0,Background,0.9980303434780421,0,1
3,eval,1,Necrotic-Core,0.3776182386140494,1,0
3,eval,2,Edema,0.7047194912044732,1,0
3,eval,3,Enhancing-Tumor,0.4357215846289785,1,0
4,train,0,Background,0.9979270765320911,0,1
4,train,1,Necrotic-Core,0.4232520143461145,1,0
4,train,2,Edema,0.7651702878969976,1,0
4,train,3,Enhancing-Tumor,0.5378312058995771,1,0
4,eval,0,Background,0.9976824145080778,0,1
4,eval,1,Necrotic-Core,0.22102950048326964,1,0
4,eval,2,Edema,0.7586098656173008,1,0
4,eval,3,Enhancing-Tumor,0.4827240593613673,1,0
5,train,0,Background,0.9980778912269763,0,1
5,train,1,Necrotic-Core,0.4862373657616499,1,0
5,train,2,Edema,0.7832760885264692,1,0
5,train,3,Enhancing-Tumor,0.5622326810519679,1,0
5,eval,0,Background,0.997707620004593,0,1
5,eval,1,Necrotic-Core,0.4771754406168907,1,0
5,eval,2,Edema,0.7734897604394135,1,0
5,eval,3,Enhancing-Tumor,0.47868619265502144,1,0
6,train,0,Background,0.9982024187304811,0,1
6,train,1,Necrotic-Core,0.5495493995506947,1,0
6,train,2,Edema,0.8007580202426834,1,0
6,train,3,Enhancing-Tumor,0.5902674963661306,1,0
6,eval,0,Background,0.9982459314246231,0,1
6,eval,1,Necrotic-Core,0.38283581331664607,1,0
6,eval,2,Edema,0.7669187678248542,1,0
6,eval,3,Enhancing-Tumor,0.5106790975274113,1,0
7,train,0,Background,0.998272933423532,0,1
7,train,1,Necrotic-Core,0.6089629254323511,1,0
7,train,2,Edema,0.8181905704636744,1,0
7,train,3,Enhancing-Tumor,0.6251812381880302,1,0
7,eval,0,Background,0.9982423446783605,0,1
7,eval,1,Necrotic-Core,0.4515597572362477,1,0
