epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.6378100401596924,0.2145761269272572,0.006735305783222074,0.2145761269272572,0.5957879268725456,3,0.06281597871454611,0.253396486132366,0.0,0.253396486132366,0.6955137119317066,3,0.00011999999999999999,1,1,1,1,0.253396486132366,213.02277741199998,29.786329239999986,242.95604195800013,0.2145761269272572,0.253396486132366,3,3,pc_macro_dice,0.2145761269272572,0.253396486132366
2,0.05354303011213974,0.36688263256466536,0.017576184802474953,0.36688263256466536,0.7220571040299277,3,0.047746331754554144,0.4278032597586492,0.09500210253496254,0.4278032597586492,0.7579678792421879,3,0.00017999999999999998,1,1,1,1,0.4278032597586492,168.28036933199996,26.06227380600012,194.50279445599995,0.36688263256466536,0.4278032597586492,3,3,pc_macro_dice,0.36688263256466536,0.4278032597586492
3,0.04530652856547981,0.46753174325229946,0.1876651995166545,0.46753174325229946,0.7530098231398309,3,0.045403812366173996,0.4511050501095591,0.1211689932503099,0.4511050501095591,0.7626855047351383,3,0.00023999999999999998,1,1,1,1,0.4511050501095591,169.54002235999997,26.471202033000054,196.17689620200008,0.46753174325229946,0.4511050501095591,3,3,pc_macro_dice,0.46753174325229946,0.4511050501095591
4,0.03940827290515621,0.5356105510280023,0.32034177666074826,0.5356105510280023,0.7779078689322182,3,0.04435488451968696,0.5026913995841402,0.217661230231161,0.5026913995841402,0.7880476684088916,3,0.0003,1,1,1,1,0.5026913995841402,169.57592101199998,26.55862491700009,196.29124927299995,0.5356105510280023,0.5026913995841402,3,3,pc_macro_dice,0.5356105510280023,0.5026913995841402
5,0.036725998720557346,0.5758767011807312,0.39358232562956025,0.5758767011807312,0.794441075429333,3,0.04374553194556299,0.5519008704425344,0.3867616911228311,0.5519008704425344,0.7759680390651523,3,0.0003,1,1,1,1,0.5519008704425344,415.7132624669998,47.56554948899975,463.45645360499975,0.5758767011807312,0.5519008704425344,3,3,pc_macro_dice,0.5758767011807312,0.5519008704425344
6,0.03368616702418905,0.6179513033339096,0.46829778960420526,0.6179513033339096,0.8147486251049967,3,0.04358338913410722,0.5329332063482812,0.30382518774956707,0.5329332063482812,0.7719316357671356,3,0.0002997561810369572,1,1,1,0,0.5519008704425344,415.51242208500025,48.341168411000126,463.94115758299995,0.6179513033339096,0.5329332063482812,3,3,pc_macro_dice,0.6179513033339096,0.5329332063482812
7,0.0314070340212953,0.6561510685695029,0.5357423139141073,0.6561510685695029,0.8304756429107705,3,0.04562964252364181,0.5669121942878605,0.446461442104668,0.5669121942878605,0.7732616442492236,3,0.0002990255194346082,1,1,1,1,0.5669121942878605,416.7527205309998,48.10186749000013,465.032273237,0.6561510685695029,0.5669121942878605,3,3,pc_macro_dice,0.6561510685695029,0.5669121942878605
8,0.02901407725850162,0.6747793184001794,0.5583142399401344,0.6747793184001794,0.840992779946793,3,0.04375352840880847,0.5752149239747282,0.39293626362113077,0.5752149239747282,0.8009356236321429,3,0.00029781039845923004,1,1,1,1,0.5752149239747282,416.287105804,47.67115426500004,464.13174554499983,0.6747793184001794,0.5752149239747282,3,3,pc_macro_dice,0.6747793184001794,0.5752149239747282
9,0.027267504823409,0.697028789354091,0.5955122822100768,0.697028789354091,0.850561685201398,3,0.0472449134084776,0.5672818354670084,0.43214541107602467,0.5672818354670084,0.7670176330743482,3,0.00029611478158287887,1,1,1,0,0.5752149239747282,416.31840100100044,48.665594416000204,465.0648736449998,0.697028789354091,0.5672818354670084,3,3,pc_macro_dice,0.697028789354091,0.5672818354670084
10,0.025798253110459687,0.7202261917669042,0.63344264208959,0.7202261917669042,0.8593165509773978,3,0.046700367070862815,0.5660976009731065,0.4054874510417886,0.5660976009731065,0.7705369613162094,3,0.0002939441995553673,1,1,1,0,0.5752149239747282,416.5801116020002,47.69764745900011,464.36330336799983,0.7202261917669042,0.5660976009731065,3,3,pc_macro_dice,0.7202261917669042,0.5660976009731065
