epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9903730342474665,0,1
1,train,1,Necrotic-Core,0.006735305783222074,1,0
1,train,2,Edema,0.5957879268725456,1,0
1,train,3,Enhancing-Tumor,0.04120514812600401,1,0
1,eval,0,Background,0.9972227095439505,0,1
1,eval,1,Necrotic-Core,0.0,1,0
1,eval,2,Edema,0.6955137119317066,1,0
1,eval,3,Enhancing-Tumor,0.0646757464653913,1,0
2,train,0,Background,0.9975633695191061,0,1
2,train,1,Necrotic-Core,0.017576184802474953,1,0
2,train,2,Edema,0.7220571040299277,1,0
2,train,3,Enhancing-Tumor,0.36101460886159353,1,0
2,eval,0,Background,0.998090668591221,0,1
2,eval,1,Necrotic-Core,0.09500210253496254,1,0
2,eval,2,Edema,0.7579678792421879,1,0
2,eval,3,Enhancing-Tumor,0.4304397974987971,1,0
3,train,0,Background,0.9979668389663067,0,1
3,train,1,Necrotic-Core,0.1876651995166545,1,0
3,train,2,Edema,0.7530098231398309,1,0
3,train,3,Enhancing-Tumor,0.46192020710041304,1,0
3,eval,0,Background,0.9979330672110743,0,1
3,eval,1,Necrotic-Core,0.1211689932503099,1,0
3,eval,2,Edema,0.7626855047351383,1,0
3,eval,3,Enhancing-Tumor,0.46946065234322903,1,0
4,train,0,Background,0.9981836585129922,0,1
4,train,1,Necrotic-Core,0.32034177666074826,1,0
4,train,2,Edema,0.7779078689322182,1,0
4,train,3,Enhancing-Tumor,0.5085820074910404,1,0
4,eval,0,Background,0.9983131333688919,0,1
4,eval,1,Necrotic-Core,0.217661230231161,1,0
4,eval,2,Edema,0.7880476684088916,1,0
4,eval,3,Enhancing-Tumor,0.502365300112368,1,0
5,train,0,Background,0.9983353069825499,0,1
5,train,1,Necrotic-Core,0.39358232562956025,1,0
5,train,2,Edema,0.794441075429333,1,0
5,train,3,Enhancing-Tumor,0.5396067024833006,1,0
5,eval,0,Background,0.9978678211615275,0,1
5,eval,1,Necrotic-Core,0.3867616911228311,1,0
5,eval,2,Edema,0.7759680390651523,1,0
5,eval,3,Enhancing-Tumor,0.49297288113962,1,0
6,train,0,Background,0.9984542037008654,0,1
6,train,1,Necrotic-Core,0.46829778960420526,1,0
6,train,2,Edema,0.8147486251049967,1,0
6,train,3,Enhancing-Tumor,0.5708074952925268,1,0
6,eval,0,Background,0.9979062839830639,0,1
6,eval,1,Necrotic-Core,0.30382518774956707,1,0
6,eval,2,Edema,0.7719316357671356,1,0
6,eval,3,Enhancing-Tumor,0.5230427955281413,1,0
7,train,0,Background,0.9985154192185133,0,1
7,train,1,Necrotic-Core,0.5357423139141073,1,0
7,train,2,Edema,0.8304756429107705,1,0
7,train,3,Enhancing-Tumor,0.602235248883631,1,0
7,eval,0,Background,0.9979240209915542,0,1
7,eval,1,Necrotic-Core,0.446461442104668,1,0
7,eval,2,Edema,0.7732616442492236,1,0
7,eval,3,Enhancing-Tumor,0.4810134965096904,1,0
8,train,0,Background,0.9986177573010769,0,1
8,train,1,Necrotic-Core,0.5583142399401344,1,0
8,train,2,Edema,0.840992779946793,1,0
8,train,3,Enhancing-Tumor,0.6250309353136108,1,0
8,eval,0,Background,0.9983497510983875,0,1
8,eval,1,Necrotic-Core,0.39293626362113077,1,0
8,eval,2,Edema,0.8009356236321429,1,0
8,eval,3,Enhancing-Tumor,0.5317728846709109,1,0
9,train,0,Background,0.9986915146406,0,1
9,train,1,Necrotic-Core,0.5955122822100768,1,0
9,train,2,Edema,0.850561685201398,1,0
9,train,3,Enhancing-Tumor,0.6450124006507979,1,0
9,eval,0,Background,0.9979284746463128,0,1
9,eval,1,Necrotic-Core,0.43214541107602467,1,0
9,eval,2,Edema,0.7670176330743482,1,0
9,eval,3,Enhancing-Tumor,0.5026824622506523,1,0
10,train,0,Background,0.9987272501638395,0,1
10,train,1,Necrotic-Core,0.63344264208959,1,0
10,train,2,Edema,0.8593165509773978,1,0
10,train,3,Enhancing-Tumor,0.667919382233725,1,0
10,eval,0,Background,0.9977736355218623,0,1
10,eval,1,Necrotic-Core,0.4054874510417886,1,0
10,eval,2,Edema,0.7705369613162094,1,0
10,eval,3,Enhancing-Tumor,0.5222683905613213,1,0
11,train,0,Background,0.9987705003986254,0,1
11,train,1,Necrotic-Core,0.6680586385121499,1,0
11,train,2,Edema,0.8647706455934191,1,0
11,train,3,Enhancing-Tumor,0.6921308604599861,1,0
11,eval,0,Background,0.9981579919900274,0,1
11,eval,1,Necrotic-Core,0.40323203034072863,1,0
11,eval,2,Edema,0.7954885526420382,1,0
11,eval,3,Enhancing-Tumor,0.5359382230701467,1,0
12,train,0,Background,0.9988035425908874,0,1
12,train,1,Necrotic-Core,0.6895648239393707,1,0
12,train,2,Edema,0.872265527210379,1,0
12,train,3,Enhancing-Tumor,0.7057643717439722,1,0
12,eval,0,Background,0.9981775503135482,0,1
12,eval,1,Necrotic-Core,0.37590990268993685,1,0
12,eval,2,Edema,0.801373533832411,1,0
12,eval,3,Enhancing-Tumor,0.5483743952064978,1,0
13,train,0,Background,0.9988646412075509,0,1
13,train,1,Necrotic-Core,0.7170208520995879,1,0
13,train,2,Edema,0.8772042060393562,1,0
13,train,3,Enhancing-Tumor,0.7287235857253161,1,0
13,eval,0,Background,0.9980249469388838,0,1
13,eval,1,Necrotic-Core,0.477987406421823,1,0
13,eval,2,Edema,0.7863993879259698,1,0
13,eval,3,Enhancing-Tumor,0.5067170737278762,1,0
14,train,0,Background,0.9988798843998423,0,1
14,train,1,Necrotic-Core,0.7309584902006031,1,0
14,train,2,Edema,0.8809265975231759,1,0
14,train,3,Enhancing-Tumor,0.7414412714214579,1,0
14,eval,0,Background,0.9981275057063799,0,1
14,eval,1,Necrotic-Core,0.28519378889195907,1,0
14,eval,2,Edema,0.7989392640234173,1,0
14,eval,3,Enhancing-Tumor,0.5281138888214671,1,0
15,train,0,Background,0.9989166411730679,0,1
15,train,1,Necrotic-Core,0.7412908107544467,1,0
15,train,2,Edema,0.8844687540841716,1,0
15,train,3,Enhancing-Tumor,0.748358381950465,1,0
15,eval,0,Background,0.998028875669085,0,1
15,eval,1,Necrotic-Core,0.43227715026101377,1,0
15,eval,2,Edema,0.7907324971089391,1,0
15,eval,3,Enhancing-Tumor,0.5364091310124635,1,0
16,train,0,Background,0.9989347221678113,0,1
16,train,1,Necrotic-Core,0.7560993660925546,1,0
16,train,2,Edema,0.8880673820463958,1,0
16,train,3,Enhancing-Tumor,0.7617826177421074,1,0
16,eval,0,Background,0.9982378942842892,0,1
16,eval,1,Necrotic-Core,0.46559380080715623,1,0
16,eval,2,Edema,0.796764604808386,1,0
16,eval,3,Enhancing-Tumor,0.5176603819143771,1,0
17,train,0,Background,0.998986651658964,0,1
17,train,1,Necrotic-Core,0.764661762460849,1,0
17,train,2,Edema,0.8933463526668046,1,0
17,train,3,Enhancing-Tumor,0.7689356307745409,1,0
17,eval,0,Background,0.9983049319520355,0,1
17,eval,1,Necrotic-Core,0.38473104848558864,1,0
17,eval,2,Edema,0.8000499408976807,1,0
17,eval,3,Enhancing-Tumor,0.5340281015096567,1,0
18,train,0,Background,0.9989885810470501,0,1
18,train,1,Necrotic-Core,0.7737896193988831,1,0
18,train,2,Edema,0.8946122272539271,1,0
18,train,3,Enhancing-Tumor,0.778343215927549,1,0
18,eval,0,Background,0.9980819318524756,0,1
18,eval,1,Necrotic-Core,0.36342483902460543,1,0
18,eval,2,Edema,0.79262240319922,1,0
18,eval,3,Enhancing-Tumor,0.5434269788877234,1,0
19,train,0,Background,0.9990171606334671,0,1
19,train,1,Necrotic-Core,0.7854880719544279,1,0
19,train,2,Edema,0.8983049044609003,1,0
19,train,3,Enhancing-Tumor,0.7864361275319072,1,0
19,eval,0,Background,0.9981784831513707,0,1
19,eval,1,Necrotic-Core,0.4515619084643217,1,0
19,eval,2,Edema,0.7978186380462942,1,0
19,eval,3,Enhancing-Tumor,0.5389608772109532,1,0
20,train,0,Background,0.9990344823236954,0,1
20,train,1,Necrotic-Core,0.7894008304055732,1,0
20,train,2,Edema,0.9016363686760175,1,0
20,train,3,Enhancing-Tumor,0.7899230793864688,1,0
20,eval,0,Background,0.9982152478270013,0,1
20,eval,1,Necrotic-Core,0.4236936406466,1,0
20,eval,2,Edema,0.7940586535291262,1,0
20,eval,3,Enhancing-Tumor,0.5464768348079858,1,0
21,train,0,Background,0.9990670042185857,0,1
21,train,1,Necrotic-Core,0.7951678480358715,1,0
21,train,2,Edema,0.9034281636016928,1,0
21,train,3,Enhancing-Tumor,0.796467194568834,1,0
21,eval,0,Background,0.9981794833922403,0,1
21,eval,1,Necrotic-Core,0.411490153771623,1,0
21,eval,2,Edema,0.7924252127406606,1,0
21,eval,3,Enhancing-Tumor,0.5368366116771258,1,0
22,train,0,Background,0.9990896310283723,0,1
22,train,1,Necrotic-Core,0.802643273246426,1,0
22,train,2,Edema,0.90491350491078,1,0
22,train,3,Enhancing-Tumor,0.8003602851215672,1,0
22,eval,0,Background,0.9980372682122518,0,1
22,eval,1,Necrotic-Core,0.4426488739044448,1,0
22,eval,2,Edema,0.7965832463261471,1,0
22,eval,3,Enhancing-Tumor,0.5215482403915083,1,0
23,train,0,Background,0.9990924581758065,0,1
23,train,1,Necrotic-Core,0.8053471753346236,1,0
23,train,2,Edema,0.9081943342865478,1,0
23,train,3,Enhancing-Tumor,0.8077139721865003,1,0
23,eval,0,Background,0.9981591050479651,0,1
23,eval,1,Necrotic-Core,0.39115202467100546,1,0
23,eval,2,Edema,0.7934110345757588,1,0
23,eval,3,Enhancing-Tumor,0.5462252018798507,1,0
24,train,0,Background,0.9991229924212872,0,1
24,train,1,Necrotic-Core,0.8059172959504399,1,0
24,train,2,Edema,0.9105352127611951,1,0
24,train,3,Enhancing-Tumor,0.8135777631617884,1,0
24,eval,0,Background,0.9980888876075643,0,1
24,eval,1,Necrotic-Core,0.4241242308245661,1,0
24,eval,2,Edema,0.7963005864922055,1,0
24,eval,3,Enhancing-Tumor,0.5226588543369535,1,0
25,train,0,Background,0.9991247066283973,0,1
25,train,1,Necrotic-Core,0.8130525816821106,1,0
25,train,2,Edema,0.9113679837636779,1,0
25,train,3,Enhancing-Tumor,0.813895170134189,1,0
25,eval,0,Background,0.998132572236448,0,1
25,eval,1,Necrotic-Core,0.3897759953212133,1,0
25,eval,2,Edema,0.7920592280837355,1,0
25,eval,3,Enhancing-Tumor,0.5412688778199407,1,0
26,train,0,Background,0.9991377449297447,0,1
26,train,1,Necrotic-Core,0.820414500232707,1,0
26,train,2,Edema,0.9134049352169057,1,0
26,train,3,Enhancing-Tumor,0.8209668353005874,1,0
26,eval,0,Background,0.9980760409045708,0,1
26,eval,1,Necrotic-Core,0.4478461296842963,1,0
26,eval,2,Edema,0.7909999441986035,1,0
26,eval,3,Enhancing-Tumor,0.5382804985363316,1,0
27,train,0,Background,0.9991591078152113,0,1
27,train,1,Necrotic-Core,0.8253925088269004,1,0
27,train,2,Edema,0.9154702522715489,1,0
27,train,3,Enhancing-Tumor,0.8228832555068422,1,0
27,eval,0,Background,0.9983195789575472,0,1
27,eval,1,Necrotic-Core,0.4350421405995041,1,0
27,eval,2,Edema,0.79954099343818,1,0
27,eval,3,Enhancing-Tumor,0.5484791336272566,1,0
28,train,0,Background,0.9991591231518975,0,1
28,train,1,Necrotic-Core,0.8246397622737051,1,0
28,train,2,Edema,0.9170055248888326,1,0
28,train,3,Enhancing-Tumor,0.8289713877174908,1,0
28,eval,0,Background,0.9981706377116933,0,1
28,eval,1,Necrotic-Core,0.4396255246344106,1,0
28,eval,2,Edema,0.7996607374553084,1,0
28,eval,3,Enhancing-Tumor,0.5368175088735624,1,0
29,train,0,Background,0.9991892076345804,0,1
29,train,1,Necrotic-Core,0.83333550914218,1,0
29,train,2,Edema,0.9176121339334055,1,0
29,train,3,Enhancing-Tumor,0.832340341998426,1,0
29,eval,0,Background,0.9981821876357486,0,1
29,eval,1,Necrotic-Core,0.4293585813505361,1,0
29,eval,2,Edema,0.7947232267770015,1,0
29,eval,3,Enhancing-Tumor,0.5502991124296909,1,0
30,train,0,Background,0.9991981583919187,0,1
30,train,1,Necrotic-Core,0.8271442245456422,1,0
30,train,2,Edema,0.9200079470888081,1,0
30,train,3,Enhancing-Tumor,0.8367232838939539,1,0
30,eval,0,Background,0.9981201126299192,0,1
30,eval,1,Necrotic-Core,0.4264950137486454,1,0
30,eval,2,Edema,0.7966830906948814,1,0
30,eval,3,Enhancing-Tumor,0.5371288019009596,1,0
31,train,0,Background,0.9992126523900492,0,1
31,train,1,Necrotic-Core,0.8353306897943683,1,0
31,train,2,Edema,0.921382528783479,1,0
31,train,3,Enhancing-Tumor,0.8372645658192498,1,0
31,eval,0,Background,0.9981613793094356,0,1
31,eval,1,Necrotic-Core,0.41030384312942547,1,0
31,eval,2,Edema,0.796046251903481,1,0
31,eval,3,Enhancing-Tumor,0.538431037315716,1,0
32,train,0,Background,0.9992099429064285,0,1
32,train,1,Necrotic-Core,0.8377541364917203,1,0
32,train,2,Edema,0.9233332478461282,1,0
32,train,3,Enhancing-Tumor,0.8413002419955317,1,0
32,eval,0,Background,0.998265534304009,0,1
32,eval,1,Necrotic-Core,0.43168837056185483,1,0
32,eval,2,Edema,0.7994482502798493,1,0
32,eval,3,Enhancing-Tumor,0.5460570653194029,1,0
33,train,0,Background,0.9992202731244817,0,1
33,train,1,Necrotic-Core,0.8402181973245355,1,0
33,train,2,Edema,0.9236503763416414,1,0
33,train,3,Enhancing-Tumor,0.8432880283857683,1,0
33,eval,0,Background,0.9982376204614469,0,1
33,eval,1,Necrotic-Core,0.3947727749898355,1,0
33,eval,2,Edema,0.7994422168613273,1,0
33,eval,3,Enhancing-Tumor,0.5466226358447008,1,0
34,train,0,Background,0.9992408652757532,0,1
34,train,1,Necrotic-Core,0.844196120117473,1,0
34,train,2,Edema,0.9251771720967519,1,0
34,train,3,Enhancing-Tumor,0.8479603822882862,1,0
34,eval,0,Background,0.9982454564904546,0,1
34,eval,1,Necrotic-Core,0.4180344126881455,1,0
34,eval,2,Edema,0.8011228472820459,1,0
34,eval,3,Enhancing-Tumor,0.5403208623665444,1,0
35,train,0,Background,0.9992509576708042,0,1
35,train,1,Necrotic-Core,0.845477870821003,1,0
35,train,2,Edema,0.9268317674848492,1,0
35,train,3,Enhancing-Tumor,0.8494113058412056,1,0
35,eval,0,Background,0.998098472634523,0,1
35,eval,1,Necrotic-Core,0.4385690488217052,1,0
35,eval,2,Edema,0.7958574353306406,1,0
35,eval,3,Enhancing-Tumor,0.5275819571845477,1,0
36,train,0,Background,0.9992557980053852,0,1
36,train,1,Necrotic-Core,0.8482811177757784,1,0
36,train,2,Edema,0.9275976939655624,1,0
36,train,3,Enhancing-Tumor,0.8530022753918769,1,0
36,eval,0,Background,0.9980604436707314,0,1
36,eval,1,Necrotic-Core,0.42322112366004094,1,0
36,eval,2,Edema,0.7941621642977776,1,0
36,eval,3,Enhancing-Tumor,0.5403184960283209,1,0
37,train,0,Background,0.9992690461667326,0,1
37,train,1,Necrotic-Core,0.8508725475008415,1,0
