epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9564909770359858,0
1,train,1,1,Necrotic-Core,0.005495828775551086,1
1,train,2,2,Edema,0.43828620134417007,1
1,train,3,4,Enhancing-Tumor,0.046464787669704966,1
1,eval,0,0,Background,0.9971585572180232,0
1,eval,1,1,Necrotic-Core,0.000753224207524887,1
1,eval,2,2,Edema,0.6931990154775819,1
1,eval,3,4,Enhancing-Tumor,0.42706564666115104,1
2,train,0,0,Background,0.9973123886200557,0
2,train,1,1,Necrotic-Core,0.13226864762134619,1
2,train,2,2,Edema,0.7059635146911936,1
2,train,3,4,Enhancing-Tumor,0.44194623385173953,1
2,eval,0,0,Background,0.9961848974519508,0
2,eval,1,1,Necrotic-Core,0.1359701933147234,1
2,eval,2,2,Edema,0.7110272667843233,1
2,eval,3,4,Enhancing-Tumor,0.37559351409810116,1
3,train,0,0,Background,0.9976734799127129,0
3,train,1,1,Necrotic-Core,0.33357714694785545,1
3,train,2,2,Edema,0.7401434261092915,1
3,train,3,4,Enhancing-Tumor,0.49116999560409724,1
3,eval,0,0,Background,0.9968627760460204,0
3,eval,1,1,Necrotic-Core,0.07383362103505656,1
3,eval,2,2,Edema,0.7277231513588913,1
3,eval,3,4,Enhancing-Tumor,0.4474146177659608,1
4,train,0,0,Background,0.9978622050293401,0
4,train,1,1,Necrotic-Core,0.4341043172737981,1
4,train,2,2,Edema,0.7622203578630068,1
4,train,3,4,Enhancing-Tumor,0.5321075727721455,1
4,eval,0,0,Background,0.9973633043418558,0
4,eval,1,1,Necrotic-Core,0.38270546350542745,1
4,eval,2,2,Edema,0.7464828040729848,1
4,eval,3,4,Enhancing-Tumor,0.45678198207633486,1
5,train,0,0,Background,0.998021826615381,0
5,train,1,1,Necrotic-Core,0.4934364217190467,1
5,train,2,2,Edema,0.7805292063299007,1
5,train,3,4,Enhancing-Tumor,0.5656526128537767,1
5,eval,0,0,Background,0.9975871221905236,0
5,eval,1,1,Necrotic-Core,0.273138138570766,1
5,eval,2,2,Edema,0.7358482899108694,1
5,eval,3,4,Enhancing-Tumor,0.4715581542004936,1
6,train,0,0,Background,0.9981645046404276,0
