epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9472081785667847,0
1,train,1,1,Necrotic-Core,0.007980665465668453,1
1,train,2,2,Edema,0.5352799811343609,1
1,train,3,4,Enhancing-Tumor,0.018955161884954715,1
1,eval,0,0,Background,0.9968171917210569,0
1,eval,1,1,Necrotic-Core,0.009976637107289039,1
1,eval,2,2,Edema,0.6834060918577085,1
1,eval,3,4,Enhancing-Tumor,0.2655526523399507,1
2,train,0,0,Background,0.9975504215417922,0
2,train,1,1,Necrotic-Core,0.10177391050169048,1
2,train,2,2,Edema,0.7212444125068852,1
2,train,3,4,Enhancing-Tumor,0.4053629679394507,1
2,eval,0,0,Background,0.9978352437332894,0
2,eval,1,1,Necrotic-Core,0.05557183987547009,1
2,eval,2,2,Edema,0.765223697394788,1
2,eval,3,4,Enhancing-Tumor,0.47048335824605875,1
3,train,0,0,Background,0.9979088899055241,0
3,train,1,1,Necrotic-Core,0.28267696731714664,1
3,train,2,2,Edema,0.7553579973909701,1
3,train,3,4,Enhancing-Tumor,0.4801990468480948,1
3,eval,0,0,Background,0.9981358732592566,0
3,eval,1,1,Necrotic-Core,0.33736664274344513,1
3,eval,2,2,Edema,0.7763118635637714,1
3,eval,3,4,Enhancing-Tumor,0.4646730299244363,1
4,train,0,0,Background,0.9981089866708795,0
4,train,1,1,Necrotic-Core,0.3680516047528531,1
4,train,2,2,Edema,0.7780882163699513,1
4,train,3,4,Enhancing-Tumor,0.5191275245935791,1
4,eval,0,0,Background,0.9971994971163032,0
4,eval,1,1,Necrotic-Core,0.19198274222433107,1
4,eval,2,2,Edema,0.7299157546250666,1
4,eval,3,4,Enhancing-Tumor,0.42166655209747844,1
5,train,0,0,Background,0.9982221345028346,0
5,train,1,1,Necrotic-Core,0.4114012236600122,1
5,train,2,2,Edema,0.7913680857538865,1
5,train,3,4,Enhancing-Tumor,0.5368059301935386,1
5,eval,0,0,Background,0.9978279542134364,0
5,eval,1,1,Necrotic-Core,0.2952396734119971,1
5,eval,2,2,Edema,0.7673383726084143,1
5,eval,3,4,Enhancing-Tumor,0.5046067310348717,1
6,train,0,0,Background,0.9983830059729086,0
6,train,1,1,Necrotic-Core,0.48442634594431466,1
6,train,2,2,Edema,0.8116813323540204,1
6,train,3,4,Enhancing-Tumor,0.5732045094367803,1
6,eval,0,0,Background,0.9977005447052656,0
6,eval,1,1,Necrotic-Core,0.27325761748280153,1
6,eval,2,2,Edema,0.7668229240987556,1
6,eval,3,4,Enhancing-Tumor,0.5033437691530892,1
7,train,0,0,Background,0.998483177642672,0
7,train,1,1,Necrotic-Core,0.5221621859328913,1
7,train,2,2,Edema,0.8258931025668536,1
7,train,3,4,Enhancing-Tumor,0.5982433709045861,1
7,eval,0,0,Background,0.9983737418055534,0
7,eval,1,1,Necrotic-Core,0.43106594460558917,1
7,eval,2,2,Edema,0.7989507836130318,1
7,eval,3,4,Enhancing-Tumor,0.5244371015052941,1
8,train,0,0,Background,0.9985665081828056,0
8,train,1,1,Necrotic-Core,0.5624988129392594,1
8,train,2,2,Edema,0.838382562110867,1
8,train,3,4,Enhancing-Tumor,0.6214858583183497,1
8,eval,0,0,Background,0.9981147523364642,0
8,eval,1,1,Necrotic-Core,0.42658806012166584,1
8,eval,2,2,Edema,0.779297232700807,1
8,eval,3,4,Enhancing-Tumor,0.5172407178097512,1
9,train,0,0,Background,0.9986186686228468,0
9,train,1,1,Necrotic-Core,0.5901368930679318,1
9,train,2,2,Edema,0.8460644607023392,1
9,train,3,4,Enhancing-Tumor,0.6384864106508129,1
9,eval,0,0,Background,0.9965196456001616,0
9,eval,1,1,Necrotic-Core,0.30772727758100366,1
9,eval,2,2,Edema,0.7203430609791271,1
9,eval,3,4,Enhancing-Tumor,0.5150725627595827,1
10,train,0,0,Background,0.9986793614102194,0
10,train,1,1,Necrotic-Core,0.6232864645681697,1
10,train,2,2,Edema,0.8550817126906461,1
10,train,3,4,Enhancing-Tumor,0.6602354955128725,1
10,eval,0,0,Background,0.9983324446146411,0
10,eval,1,1,Necrotic-Core,0.3559472322781287,1
10,eval,2,2,Edema,0.803705960404371,1
10,eval,3,4,Enhancing-Tumor,0.5432940288112397,1
11,train,0,0,Background,0.9987503381999313,0
11,train,1,1,Necrotic-Core,0.6624170410665112,1
11,train,2,2,Edema,0.8638766657348997,1
11,train,3,4,Enhancing-Tumor,0.683645933305338,1
11,eval,0,0,Background,0.9980235353969618,0
11,eval,1,1,Necrotic-Core,0.37695410686021436,1
11,eval,2,2,Edema,0.7916592644786196,1
11,eval,3,4,Enhancing-Tumor,0.5424701508084083,1
12,train,0,0,Background,0.9987915402547086,0
12,train,1,1,Necrotic-Core,0.6885656223164112,1
12,train,2,2,Edema,0.8695006095023937,1
12,train,3,4,Enhancing-Tumor,0.7034958947425609,1
12,eval,0,0,Background,0.9978511798728147,0
12,eval,1,1,Necrotic-Core,0.4711952816751245,1
12,eval,2,2,Edema,0.7811261140357196,1
12,eval,3,4,Enhancing-Tumor,0.5479471416921858,1
13,train,0,0,Background,0.9988320641874449,0
13,train,1,1,Necrotic-Core,0.7174711058613926,1
13,train,2,2,Edema,0.8753340692177793,1
13,train,3,4,Enhancing-Tumor,0.7250874995199836,1
13,eval,0,0,Background,0.9983999693465168,0
13,eval,1,1,Necrotic-Core,0.44524563011240775,1
13,eval,2,2,Edema,0.8010460081464476,1
13,eval,3,4,Enhancing-Tumor,0.5423203893073488,1
14,train,0,0,Background,0.9988668859776011,0
14,train,1,1,Necrotic-Core,0.7314101214992949,1
14,train,2,2,Edema,0.8795615727404834,1
14,train,3,4,Enhancing-Tumor,0.7369482487175825,1
14,eval,0,0,Background,0.9980859870652821,0
14,eval,1,1,Necrotic-Core,0.2846652998679925,1
14,eval,2,2,Edema,0.8001246214991317,1
14,eval,3,4,Enhancing-Tumor,0.5381028266930271,1
15,train,0,0,Background,0.9988830583678004,0
15,train,1,1,Necrotic-Core,0.7428026652207627,1
15,train,2,2,Edema,0.8822355925246903,1
15,train,3,4,Enhancing-Tumor,0.7477606466576119,1
15,eval,0,0,Background,0.9976116319369296,0
15,eval,1,1,Necrotic-Core,0.4101367117707988,1
15,eval,2,2,Edema,0.7665847926105688,1
15,eval,3,4,Enhancing-Tumor,0.548392902518809,1
16,train,0,0,Background,0.998929698718929,0
