epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.8861967864524,0
1,train,1,1,Necrotic-Core,0.006080086609636927,1
1,train,2,2,Edema,0.49637436595632856,1
1,train,3,4,Enhancing-Tumor,0.32542868997562063,1
1,eval,0,0,Background,0.9971015814889339,0
1,eval,1,1,Necrotic-Core,0.2631880879328469,1
1,eval,2,2,Edema,0.65134566546457,1
1,eval,3,4,Enhancing-Tumor,0.5315428807127518,1
2,train,0,0,Background,0.997427749626204,0
2,train,1,1,Necrotic-Core,0.5199371070060752,1
2,train,2,2,Edema,0.7515150228043547,1
2,train,3,4,Enhancing-Tumor,0.7179259511156635,1
2,eval,0,0,Background,0.99788721923053,0
2,eval,1,1,Necrotic-Core,0.5801548846144593,1
2,eval,2,2,Edema,0.7981134394006884,1
2,eval,3,4,Enhancing-Tumor,0.7343011042581259,1
3,train,0,0,Background,0.9978317464534928,0
3,train,1,1,Necrotic-Core,0.6886600998773382,1
3,train,2,2,Edema,0.811631165003412,1
3,train,3,4,Enhancing-Tumor,0.7802784270050415,1
3,eval,0,0,Background,0.9977362461161834,0
3,eval,1,1,Necrotic-Core,0.600638145973829,1
3,eval,2,2,Edema,0.7988511484839804,1
3,eval,3,4,Enhancing-Tumor,0.8011686627749607,1
4,train,0,0,Background,0.9980199387669679,0
4,train,1,1,Necrotic-Core,0.7657335093055131,1
4,train,2,2,Edema,0.8285019168499181,1
4,train,3,4,Enhancing-Tumor,0.8154619893906472,1
4,eval,0,0,Background,0.99814641115714,0
4,eval,1,1,Necrotic-Core,0.6542988032413741,1
4,eval,2,2,Edema,0.8215095497480638,1
4,eval,3,4,Enhancing-Tumor,0.7894403191022904,1
5,train,0,0,Background,0.9981605617224608,0
5,train,1,1,Necrotic-Core,0.8101261700859116,1
5,train,2,2,Edema,0.8424153799684488,1
5,train,3,4,Enhancing-Tumor,0.8418382436581417,1
5,eval,0,0,Background,0.997756127385846,0
5,eval,1,1,Necrotic-Core,0.6709608324946054,1
5,eval,2,2,Edema,0.8081411071695539,1
5,eval,3,4,Enhancing-Tumor,0.8326233539910288,1
6,train,0,0,Background,0.9983208140227254,0
6,train,1,1,Necrotic-Core,0.8331240534083052,1
6,train,2,2,Edema,0.8576170856524639,1
6,train,3,4,Enhancing-Tumor,0.8543975392978135,1
6,eval,0,0,Background,0.9984330641803956,0
6,eval,1,1,Necrotic-Core,0.7152648555873273,1
6,eval,2,2,Edema,0.8445201769377934,1
6,eval,3,4,Enhancing-Tumor,0.843437666542256,1
7,train,0,0,Background,0.9984289969201983,0
7,train,1,1,Necrotic-Core,0.8552808430101849,1
7,train,2,2,Edema,0.8689336605277994,1
7,train,3,4,Enhancing-Tumor,0.8659412410070378,1
7,eval,0,0,Background,0.9984804910512018,0
7,eval,1,1,Necrotic-Core,0.7440755855228246,1
7,eval,2,2,Edema,0.8490336863418257,1
7,eval,3,4,Enhancing-Tumor,0.8391974881618094,1
8,train,0,0,Background,0.9985674441956438,0
8,train,1,1,Necrotic-Core,0.8667217468958524,1
8,train,2,2,Edema,0.8783308871701831,1
8,train,3,4,Enhancing-Tumor,0.8773609782796341,1
8,eval,0,0,Background,0.9985939821982539,0
8,eval,1,1,Necrotic-Core,0.710249806290042,1
8,eval,2,2,Edema,0.8516173550857663,1
8,eval,3,4,Enhancing-Tumor,0.8558281944356173,1
9,train,0,0,Background,0.9986362400236368,0
9,train,1,1,Necrotic-Core,0.8739803422309178,1
9,train,2,2,Edema,0.8839556747551189,1
9,train,3,4,Enhancing-Tumor,0.8807110156441799,1
