epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.5889778367620104,0.20839250760779807,0.00844440908300267,0.20839250760779807,0.321446553636429,3,0.043261165398146256,0.4873683666473245,0.00018056528710826543,0.4873683666473245,0.7510069452098443,3,0.00011999999999999999,1,1,1,1,0.4873683666473245,261.2457869150003,41.310052215999804,302.76081572799967,0.20839250760779807,0.4873683666473245,3,3,pc_macro_dice,0.20839250760779807,0.4873683666473245
2,0.033703940317998775,0.6912634433719429,0.5176452575975911,0.6912634433719429,0.7958232211497221,3,0.0317209773944667,0.7327801761298739,0.5967443369857992,0.7327801761298739,0.8166996844820225,3,0.00017999999999999998,1,1,1,1,0.7327801761298739,209.1590627559999,37.81773833300031,247.17816944600008,0.6912634433719429,0.7327801761298739,3,3,pc_macro_dice,0.6912634433719429,0.7327801761298739
3,0.027089012736163008,0.7871661370825939,0.7179936446356848,0.7871661370825939,0.8296613733058718,3,0.029046142949566867,0.7563780158464543,0.6016657969991853,0.7563780158464543,0.8344085883737656,3,0.00023999999999999998,1,1,1,1,0.7563780158464543,209.34729678299982,38.0072141579999,247.56873583699962,0.7871661370825939,0.7563780158464543,3,3,pc_macro_dice,0.7871661370825939,0.7563780158464543
4,0.022632660844308226,0.8189677098599701,0.7735652816586142,0.8189677098599701,0.8466847956336281,3,0.03323111876384813,0.7581737033475339,0.60570372388873,0.7581737033475339,0.8408788371579117,3,0.0003,1,1,1,1,0.7581737033475339,211.49946683100006,37.97127747000013,249.69430864700007,0.8189677098599701,0.7581737033475339,3,3,pc_macro_dice,0.8189677098599701,0.7581737033475339
5,0.020291243750302973,0.8401321762872739,0.8033830423191972,0.8401321762872739,0.8600610757285785,3,0.02741011385630166,0.7830052155879585,0.6616551043819424,0.7830052155879585,0.8516716660410795,3,0.0003,1,1,1,1,0.7830052155879585,552.073645427,63.57532487099979,616.011028466,0.8401321762872739,0.7830052155879585,3,3,pc_macro_dice,0.8401321762872739,0.7830052155879585
6,0.018125292989380728,0.8579641529160275,0.832538159470341,0.8579641529160275,0.8722192888751358,3,0.02681167458877534,0.7937299934320683,0.6772132613220478,0.7937299934320683,0.8581733669451727,3,0.0002997561810369572,1,1,1,1,0.7937299934320683,550.6318611489996,63.832625150999775,614.7832283739999,0.8579641529160275,0.7937299934320683,3,3,pc_macro_dice,0.8579641529160275,0.7937299934320683
7,0.01661892974367603,0.8708797168020422,0.8525644652215011,0.8708797168020422,0.8831155287973084,3,0.024755264552135857,0.814430321249983,0.7321693355748047,0.814430321249983,0.8559427296675118,3,0.0002990255194346082,1,1,1,1,0.814430321249983,551.5753083980007,63.76661816900014,615.6702232589996,0.8708797168020422,0.814430321249983,3,3,pc_macro_dice,0.8708797168020422,0.814430321249983
8,0.015063698919223675,0.8808454492447506,0.8641685935205291,0.8808454492447506,0.8919992899442858,3,0.02862512839151161,0.8072999003193347,0.7119461456739268,0.8072999003193347,0.8639048495978191,3,0.00029781039845923004,1,1,1,0,0.814430321249983,553.4865941469998,63.81980863899935,617.4674765069994,0.8808454492447506,0.8072999003193347,3,3,pc_macro_dice,0.8808454492447506,0.8072999003193347
9,0.014063222035497855,0.8870492545913475,0.8719746182790622,0.8870492545913475,0.8988538237992659,3,0.02464410371480256,0.8172682906193561,0.7327730426710197,0.8172682906193561,0.864959992727518,3,0.00029611478158287887,1,1,1,1,0.8172682906193561,553.9428547530006,62.70229014199958,616.9800499330004,0.8870492545913475,0.8172682906193561,3,3,pc_macro_dice,0.8870492545913475,0.8172682906193561
10,0.013782308833086314,0.8897236174919891,0.8757191748751858,0.8897236174919891,0.9007993101230614,3,0.024458339047520948,0.8188469684430558,0.7310492751035494,0.8188469684430558,0.8671107858116668,3,0.0002939441995553673,1,1,1,1,0.8188469684430558,553.2707562350006,62.5357383620003,616.1457951070006,0.8897236174919891,0.8188469684430558,3,3,pc_macro_dice,0.8897236174919891,0.8188469684430558
11,0.012831371556660651,0.8974543477375703,0.8875536932769139,0.8974543477375703,0.9067417478103035,3,0.02543609797345843,0.8182351028511594,0.7250087763909984,0.8182351028511594,0.8697176120083066,3,0.0002913057323641089,1,1,1,0,0.8188469684430558,554.0182923060001,66.25092266299998,620.4034376319996,0.8974543477375703,0.8182351028511594,3,3,pc_macro_dice,0.8974543477375703,0.8182351028511594
12,0.01236390020529451,0.9001697300809068,0.8896799751167177,0.9001697300809068,0.9108487736347747,3,0.028398977358635214,0.8065724368710625,0.6895993353754308,0.8065724368710625,0.8728544990594985,3,0.00028820798614067006,1,1,1,0,0.8188469684430558,552.7030408660003,66.30912579699907,619.1541792369999,0.9001697300809068,0.8065724368710625,3,3,pc_macro_dice,0.9001697300809068,0.8065724368710625
13,0.011746760797794735,0.9047320149518471,0.8957397258779652,0.9047320149518471,0.9143665202335923,3,0.023849971739572665,0.8351313735200949,0.7762706017706484,0.8351313735200949,0.8736605681756964,3,0.000284661065089358,1,1,1,1,0.8351313735200949,553.4132576420016,64.58220973700008,618.3180873970014,0.9047320149518471,0.8351313735200949,3,3,pc_macro_dice,0.9047320149518471,0.8351313735200949
14,0.011552211502715707,0.9062764063006435,0.8968131195093273,0.9062764063006435,0.9155777193654827,3,0.03085347172577204,0.8168987400479806,0.7176144571693359,0.8168987400479806,0.8764361647664682,3,0.00028067653852940666,1,1,1,0,0.8351313735200949,554.6280926260006,66.45258863599884,621.2474180650006,0.9062764063006435,0.8168987400479806,3,3,pc_macro_dice,0.9062764063006435,0.8168987400479806
15,0.011012723888106906,0.9103588518292304,0.9033329948788879,0.9103588518292304,0.9196507523284524,3,0.027944898606099847,0.8200864523602901,0.720250617396005,0.8200864523602901,0.8790289611486481,3,0.00027626740315826157,1,1,1,0,0.8351313735200949,555.3646005029987,63.812944428000264,619.3304515189993,0.9103588518292304,0.8200864523602901,3,3,pc_macro_dice,0.9103588518292304,0.8200864523602901
16,0.01064944190727783,0.913706197042927,0.9071984505230333,0.913706197042927,0.9219202432945232,3,0.034141679907812146,0.8015261578692336,0.6754013878102227,0.8015261578692336,0.8756190180090953,3,0.0002714480406590546,1,1,1,0,0.8351313735200949,555.383052625999,64.59507423700052,620.1466131859997,0.913706197042927,0.8015261578692336,3,3,pc_macro_dice,0.913706197042927,0.8015261578692336
17,0.01023622800652267,0.9151996759306089,0.908278199623843,0.9151996759306089,0.9248503292278465,3,0.02704961728717878,0.8353887146334602,0.7598065204582056,0.8353887146334602,0.8801738692980946,3,0.00026623417079054285,1,1,1,1,0.8353887146334602,556.6928434619986,64.15365666899925,621.1798530230008,0.9151996759306089,0.8353887146334602,3,3,pc_macro_dice,0.9151996759306089,0.8353887146334602
18,0.010091930915141841,0.9168760356380885,0.9108585396457518,0.9168760356380885,0.925086143959735,3,0.026914663140515518,0.8266428689923502,0.73733946950273,0.8266428689923502,0.8764504470223105,3,0.0002606428001125225,1,1,1,0,0.8353887146334602,555.8931090990009,64.146556220001,620.1955865830005,0.9168760356380885,0.8266428689923502,3,3,pc_macro_dice,0.9168760356380885,0.8266428689923502
19,0.009832160439235887,0.9196378997065914,0.91436306602949,0.9196378997065914,0.927223245291,3,0.02887878150721781,0.8208621227978311,0.7215711110542704,0.8208621227978311,0.8784629436529511,3,0.00025469216651396635,1,1,1,0,0.8353887146334602,556.0395076610002,64.72159787000055,620.9236767870007,0.9196378997065914,0.8208621227978311,3,3,pc_macro_dice,0.9196378997065914,0.8208621227978311
20,0.009599961376830432,0.9210855123703894,0.9150845033998213,0.9210855123703894,0.9299826986443522,3,0.028330699195900644,0.8228517031595615,0.7305349048901808,0.8228517031595615,0.87785412895362,3,0.0002484016797248201,1,1,1,0,0.8353887146334602,556.2394907749986,65.18625380400044,621.5726119610008,0.9210855123703894,0.8228517031595615,3,3,pc_macro_dice,0.9210855123703894,0.8228517031595615
21,0.009312676945659806,0.922914267422108,0.9182687136762719,0.922914267422108,0.9309775923630214,3,0.031049403615135304,0.8142669420428811,0.7034828220789866,0.8142669420428811,0.8763828671082873,3,0.000241791858005498,1,1,1,0,0.8353887146334602,557.0231013360008,65.14062726599877,622.3257847209989,0.922914267422108,0.8142669420428811,3,3,pc_macro_dice,0.922914267422108,0.8142669420428811
22,0.008919705267654905,0.9250274505691805,0.9198895068154622,0.9250274505691805,0.9328580253186598,3,0.029615877047108254,0.8246922476554568,0.7253143372089367,0.8246922476554568,0.881859780219778,3,0.00023488426122058199,1,1,1,0,0.8353887146334602,556.9790772209999,65.28568239499873,622.4080458230001,0.9250274505691805,0.8246922476554568,3,3,pc_macro_dice,0.9250274505691805,0.8246922476554568
23,0.008835147927178981,0.9261905953101772,0.9202897459993389,0.9261905953101772,0.9346567226897742,3,0.02913613079974788,0.8269286081427512,0.7339838368067572,0.8269286081427512,0.8811262186850599,3,0.0002277014205150248,1,1,1,0,0.8353887146334602,557.0557324369984,67.02148384000066,624.2398288999993,0.9261905953101772,0.8269286081427512,3,3,pc_macro_dice,0.9261905953101772,0.8269286081427512
24,0.008526501480027888,0.9283917879075495,0.9224500637095575,0.9283917879075495,0.9367684555484344,3,0.02869845209679973,0.8263212401602351,0.7378856782206596,0.8263212401602351,0.8775843242363212,3,0.0002202667648222382,1,1,1,0,0.8353887146334602,556.6577605180009,66.48934549600017,623.3025462219994,0.9283917879075495,0.8263212401602351,3,3,pc_macro_dice,0.9283917879075495,0.8263212401602351
25,0.008490264902044587,0.9292847582006198,0.925364671209895,0.9292847582006198,0.9367796224350129,3,0.028330024314478293,0.8266987639647014,0.7366583097731351,0.8266987639647014,0.8801150818358018,3,0.00021260454444378202,1,1,1,0,0.8353887146334602,559.0396170749991,65.47905036199882,624.684405056998,0.9292847582006198,0.8266987639647014,3,3,pc_macro_dice,0.9292847582006198,0.8266987639647014
26,0.008317377233335498,0.930574419009899,0.9254891706009807,0.930574419009899,0.939033495641479,3,0.028675161947592658,0.8279304229189457,0.7430896714651014,0.8279304229189457,0.8753172103579139,3,0.0002047397519499208,1,1,1,0,0.8353887146334602,558.8229781709997,65.31282858200211,624.2945942810002,0.930574419009899,0.8279304229189457,3,3,pc_macro_dice,0.930574419009899,0.8279304229189457
27,0.008006416857452727,0.9325303001471809,0.9280746267197607,0.9325303001471809,0.9406837938699955,3,0.030957785874728198,0.8309270422912253,0.7421592729160356,0.8309270422912253,0.8825396197028996,3,0.00019669804065905463,1,1,1,0,0.8353887146334602,559.666891634999,65.33421579100104,625.1648165309998,0.9325303001471809,0.8309270422912253,3,3,pc_macro_dice,0.9325303001471809,0.8309270422912253
28,0.008067536116473543,0.9327649036367072,0.9272415529636283,0.9327649036367072,0.9409631391730818,3,0.029770052771334904,0.8271633948854895,0.7345059902328964,0.8271633948854895,0.8826342157596047,3,0.0001885056409619263,1,1,1,0,0.8353887146334602,558.6113290230023,68.01590597900213,626.7873936530013,0.9327649036367072,0.8271633948854895,3,3,pc_macro_dice,0.9327649036367072,0.8271633948854895
29,0.00774339698750664,0.93456633987475,0.9305493705420986,0.93456633987475,0.9419869378087523,3,0.030174337220793393,0.8267990849970315,0.7343585159737557,0.8267990849970315,0.8831639049782468,3,0.0001801892747635389,1,1,1,0,0.8353887146334602,559.4956295069969,67.48458765699979,627.1231881370004,0.93456633987475,0.8267990849970315,3,3,pc_macro_dice,0.93456633987475,0.8267990849970315
30,0.007544321878352009,0.9354238126387148,0.9292110329204226,0.9354238126387148,0.944117895523599,3,0.032927640886032276,0.8122046337065317,0.698391728819258,0.8122046337065317,0.8794732916231713,3,0.0001717760683218561,1,1,1,0,0.8353887146334602,557.8532723739991,67.34413919699728,625.3487181300006,0.9354238126387148,0.8122046337065317,3,3,pc_macro_dice,0.9354238126387148,0.8122046337065317
31,0.007490885678303842,0.9363674397845261,0.9319251052457395,0.9363674397845261,0.9445651725722743,3,0.031808950520835044,0.8272110842899907,0.7339443878644499,0.8272110842899907,0.8822054808465364,3,0.00016329346376758652,1,1,1,0,0.8353887146334602,559.1643654260006,67.47824213299828,626.8044706859982,0.9363674397845261,0.8272110842899907,3,3,pc_macro_dice,0.9363674397845261,0.8272110842899907
32,0.007428946339033586,0.9371856425821172,0.9315021713980529,0.9371856425821172,0.945976798780376,3,0.03277643041468845,0.8268257687093781,0.7296663113541292,0.8268257687093781,0.8850111931009991,3,0.0001547691295936576,1,1,1,0,0.8353887146334602,561.3161683770013,66.26647903400226,627.7383039939996,0.9371856425821172,0.8268257687093781,3,3,pc_macro_dice,0.9371856425821172,0.8268257687093781
33,0.00721910786688995,0.9389012195391283,0.9341713551373355,0.9389012195391283,0.9469882286758263,3,0.03425049117103794,0.8237913206996794,0.7225988258308323,0.8237913206996794,0.8843920843660287,3,0.00014623087040634242,1,1,1,0,0.8353887146334602,562.048786874002,66.41094251200047,628.6162673969993,0.9389012195391283,0.8237913206996794,3,3,pc_macro_dice,0.9389012195391283,0.8237913206996794
34,0.007163825071176526,0.940206344974752,0.9356343843991508,0.940206344974752,0.9478767967677301,3,0.03366718394631615,0.8263855574582708,0.7271007267338213,0.8263855574582708,0.8870710610734531,3,0.00013770653623241348,1,1,1,0,0.8353887146334602,560.9207376209997,65.56511661300101,626.646001019999,0.940206344974752,0.8263855574582708,3,3,pc_macro_dice,0.940206344974752,0.8263855574582708
35,0.006852199310876099,0.9412845464886811,0.9369661816154584,0.9412845464886811,0.9492367405924088,3,0.03325580576853599,0.8259687721809585,0.7255043313363199,0.8259687721809585,0.8854298606705808,3,0.00012922393167814387,1,1,1,0,0.8353887146334602,558.760316529002,65.95196412199948,624.8601483219973,0.9412845464886811,0.8259687721809585,3,3,pc_macro_dice,0.9412845464886811,0.8259687721809585
36,0.006871238678077105,0.9417729796344085,0.9370177204919542,0.9417729796344085,0.9496902156155298,3,0.03128042347903109,0.8290416393890883,0.7396208439150146,0.8290416393890883,0.8811086833016587,3,0.00012081072523646106,1,1,1,0,0.8353887146334602,559.3446469169976,66.27244496799904,625.7842205150009,0.9417729796344085,0.8290416393890883,3,3,pc_macro_dice,0.9417729796344085,0.8290416393890883
37,0.00675373932580959,0.9425009298954459,0.9378845837455891,0.9425009298954459,0.9502002907355451,3,0.033559153625663404,0.8283544908532863,0.7325875084329404,0.8283544908532863,0.8846658646858716,3,0.00011249435903807374,1,1,1,0,0.8353887146334602,560.309436653999,65.5689584790016,626.0411590570002,0.9425009298954459,0.8283544908532863,3,3,pc_macro_dice,0.9425009298954459,0.8283544908532863
38,0.0066412673231839876,0.9433517793612852,0.938731732027647,0.9433517793612852,0.9509744515497963,3,0.03350762752825321,0.8270305688298658,0.7301506712957895,0.8270305688298658,0.8846112154180898,3,0.00010430195934094536,1,1,1,0,0.8353887146334602,563.2775953359996,66.61972859399975,630.054060532002,0.9433517793612852,0.8270305688298658,3,3,pc_macro_dice,0.9433517793612852,0.8270305688298658
39,0.006621506458264404,0.9443698748362547,0.9403107963540698,0.9443698748362547,0.9521479641029145,3,0.03390480174247744,0.8301442451463843,0.7353141184462257,0.8301442451463843,0.8871330016298975,3,9.626024805007916e-05,1,1,1,0,0.8353887146334602,560.953875342002,65.55212339900027,626.6844077910027,0.9443698748362547,0.8301442451463843,3,3,pc_macro_dice,0.9443698748362547,0.8301442451463843
