epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9807744666142038,0
1,train,1,1,Necrotic-Core,0.07972488989561459,1
1,train,2,2,Edema,0.5250171165190278,1
1,train,3,4,Enhancing-Tumor,0.15161336204454098,1
1,eval,0,0,Background,0.9968034868995913,0
1,eval,1,1,Necrotic-Core,0.06929504327878734,1
1,eval,2,2,Edema,0.6858616868457447,1
1,eval,3,4,Enhancing-Tumor,0.6683963687298576,1
2,train,0,0,Background,0.9976642368025238,0
2,train,1,1,Necrotic-Core,0.5325709040814256,1
2,train,2,2,Edema,0.7751097617568637,1
2,train,3,4,Enhancing-Tumor,0.7562958171854105,1
2,eval,0,0,Background,0.9981157553939664,0
2,eval,1,1,Necrotic-Core,0.5682261104773002,1
2,eval,2,2,Edema,0.8082556103179368,1
2,eval,3,4,Enhancing-Tumor,0.7647562822361256,1
3,train,0,0,Background,0.9980298072556081,0
3,train,1,1,Necrotic-Core,0.7195256664021121,1
3,train,2,2,Edema,0.8224458618725708,1
3,train,3,4,Enhancing-Tumor,0.8056312797082074,1
3,eval,0,0,Background,0.9983583494694063,0
3,eval,1,1,Necrotic-Core,0.6208907312972471,1
3,eval,2,2,Edema,0.8310787001591892,1
3,eval,3,4,Enhancing-Tumor,0.8232055739418319,1
4,train,0,0,Background,0.9983061074734435,0
4,train,1,1,Necrotic-Core,0.7631042232033363,1
4,train,2,2,Edema,0.8437886240171176,1
4,train,3,4,Enhancing-Tumor,0.830494688004517,1
4,eval,0,0,Background,0.9982882439348646,0
4,eval,1,1,Necrotic-Core,0.562572744082932,1
4,eval,2,2,Edema,0.8284541161211519,1
4,eval,3,4,Enhancing-Tumor,0.8175590844024557,1
5,train,0,0,Background,0.9984122957900059,0
5,train,1,1,Necrotic-Core,0.7990730914002635,1
5,train,2,2,Edema,0.8557136900066608,1
5,train,3,4,Enhancing-Tumor,0.8482161215791433,1
5,eval,0,0,Background,0.9981588439682687,0
5,eval,1,1,Necrotic-Core,0.6857492288305674,1
5,eval,2,2,Edema,0.8290606910711452,1
5,eval,3,4,Enhancing-Tumor,0.8475014905434942,1
6,train,0,0,Background,0.9985849131663465,0
6,train,1,1,Necrotic-Core,0.8340556421681327,1
6,train,2,2,Edema,0.8727189593199811,1
6,train,3,4,Enhancing-Tumor,0.864585970626591,1
6,eval,0,0,Background,0.9982400435890543,0
6,eval,1,1,Necrotic-Core,0.6853532569049501,1
6,eval,2,2,Edema,0.8334293806944512,1
6,eval,3,4,Enhancing-Tumor,0.8503417547142174,1
7,train,0,0,Background,0.9986394492149538,0
7,train,1,1,Necrotic-Core,0.8482956594914244,1
7,train,2,2,Edema,0.8802935772944063,1
7,train,3,4,Enhancing-Tumor,0.8723615559147055,1
7,eval,0,0,Background,0.9985986407236639,0
7,eval,1,1,Necrotic-Core,0.7251873328882176,1
7,eval,2,2,Edema,0.8522717680883722,1
7,eval,3,4,Enhancing-Tumor,0.8631521239250224,1
8,train,0,0,Background,0.9987597751049813,0
8,train,1,1,Necrotic-Core,0.8622650091433207,1
8,train,2,2,Edema,0.8901152209182392,1
8,train,3,4,Enhancing-Tumor,0.8825389525348666,1
8,eval,0,0,Background,0.998588940484229,0
8,eval,1,1,Necrotic-Core,0.7300171771448061,1
8,eval,2,2,Edema,0.8551495598526567,1
8,eval,3,4,Enhancing-Tumor,0.8610474505370808,1
9,train,0,0,Background,0.9988200448114731,0
9,train,1,1,Necrotic-Core,0.8684765756758168,1
9,train,2,2,Edema,0.8944990716710074,1
9,train,3,4,Enhancing-Tumor,0.8862890546991111,1
9,eval,0,0,Background,0.9986371233493214,0
9,eval,1,1,Necrotic-Core,0.7364156677252786,1
9,eval,2,2,Edema,0.8603340886452003,1
9,eval,3,4,Enhancing-Tumor,0.866193344795701,1
10,train,0,0,Background,0.9988590261213277,0
10,train,1,1,Necrotic-Core,0.8748690958643286,1
10,train,2,2,Edema,0.8984881338514135,1
10,train,3,4,Enhancing-Tumor,0.8893087456409917,1
10,eval,0,0,Background,0.9983486592908897,0
10,eval,1,1,Necrotic-Core,0.745542105648717,1
10,eval,2,2,Edema,0.8459108157532498,1
10,eval,3,4,Enhancing-Tumor,0.8632893757959794,1
11,train,0,0,Background,0.9989102688748704,0
11,train,1,1,Necrotic-Core,0.8832549188179135,1
11,train,2,2,Edema,0.9030836653886444,1
11,train,3,4,Enhancing-Tumor,0.8943973611882624,1
11,eval,0,0,Background,0.9986348923113438,0
11,eval,1,1,Necrotic-Core,0.7143610596373601,1
11,eval,2,2,Edema,0.858312808433914,1
11,eval,3,4,Enhancing-Tumor,0.8701680757366772,1
12,train,0,0,Background,0.9989564200830778,0
12,train,1,1,Necrotic-Core,0.8882923391829805,1
12,train,2,2,Edema,0.9087986810434185,1
12,train,3,4,Enhancing-Tumor,0.8965217375308959,1
12,eval,0,0,Background,0.9986729442434534,0
12,eval,1,1,Necrotic-Core,0.6886051450896826,1
12,eval,2,2,Edema,0.8574674414817209,1
12,eval,3,4,Enhancing-Tumor,0.8548534918023457,1
13,train,0,0,Background,0.9990041636978969,0
13,train,1,1,Necrotic-Core,0.8887391448266233,1
13,train,2,2,Edema,0.9103111491605451,1
13,train,3,4,Enhancing-Tumor,0.9005500536048288,1
13,eval,0,0,Background,0.9986899641609037,0
13,eval,1,1,Necrotic-Core,0.7607616316702911,1
13,eval,2,2,Edema,0.8624101441961439,1
13,eval,3,4,Enhancing-Tumor,0.8659110308608085,1
14,train,0,0,Background,0.999028136612483,0
14,train,1,1,Necrotic-Core,0.8937500883160864,1
14,train,2,2,Edema,0.9136791292757878,1
14,train,3,4,Enhancing-Tumor,0.9021869307596215,1
14,eval,0,0,Background,0.9985395605535874,0
14,eval,1,1,Necrotic-Core,0.7346385915885809,1
14,eval,2,2,Edema,0.8524562312500026,1
14,eval,3,4,Enhancing-Tumor,0.8780728994541176,1
15,train,0,0,Background,0.9990639848008346,0
15,train,1,1,Necrotic-Core,0.8984222382857943,1
15,train,2,2,Edema,0.9162225777087801,1
15,train,3,4,Enhancing-Tumor,0.9037089286953186,1
15,eval,0,0,Background,0.998694056109165,0
15,eval,1,1,Necrotic-Core,0.7095090623426173,1
15,eval,2,2,Edema,0.8619853064704992,1
15,eval,3,4,Enhancing-Tumor,0.8738339998089173,1
16,train,0,0,Background,0.9990990098137223,0
16,train,1,1,Necrotic-Core,0.9036419903883571,1
16,train,2,2,Edema,0.9194995530295073,1
16,train,3,4,Enhancing-Tumor,0.9089210100349105,1
16,eval,0,0,Background,0.9986348354977599,0
16,eval,1,1,Necrotic-Core,0.6871018347989569,1
16,eval,2,2,Edema,0.8539250493184859,1
16,eval,3,4,Enhancing-Tumor,0.8779844975270635,1
17,train,0,0,Background,0.9991383525020625,0
17,train,1,1,Necrotic-Core,0.9064835140633234,1
17,train,2,2,Edema,0.9226999344274421,1
17,train,3,4,Enhancing-Tumor,0.9100987100558533,1
17,eval,0,0,Background,0.9986827837068913,0
17,eval,1,1,Necrotic-Core,0.7293068260933884,1
17,eval,2,2,Edema,0.8647562261980167,1
17,eval,3,4,Enhancing-Tumor,0.8773210198280349,1
18,train,0,0,Background,0.9991542267622257,0
18,train,1,1,Necrotic-Core,0.9097678766716116,1
18,train,2,2,Edema,0.923939995994637,1
18,train,3,4,Enhancing-Tumor,0.9130330863021862,1
18,eval,0,0,Background,0.9986719375031228,0
18,eval,1,1,Necrotic-Core,0.7377912068038003,1
18,eval,2,2,Edema,0.8647404069450361,1
18,eval,3,4,Enhancing-Tumor,0.8736968753936208,1
19,train,0,0,Background,0.9991627594737333,0
19,train,1,1,Necrotic-Core,0.9125423949186718,1
19,train,2,2,Edema,0.9247358292460083,1
19,train,3,4,Enhancing-Tumor,0.9146686295077796,1
19,eval,0,0,Background,0.9986876288288996,0
19,eval,1,1,Necrotic-Core,0.7242157668835169,1
