epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9932925822334121,0
1,train,1,1,Necrotic-Core,0.14460154173557835,1
1,train,2,2,Edema,0.521171941944178,1
1,train,3,4,Enhancing-Tumor,0.5685674015239648,1
1,eval,0,0,Background,0.9976448347345094,0
1,eval,1,1,Necrotic-Core,0.4421210092301532,1
1,eval,2,2,Edema,0.7628777724429671,1
1,eval,3,4,Enhancing-Tumor,0.7532552199421295,1
2,train,0,0,Background,0.997495757132265,0
2,train,1,1,Necrotic-Core,0.634436582200308,1
2,train,2,2,Edema,0.7655881211352638,1
2,train,3,4,Enhancing-Tumor,0.7525862293722175,1
2,eval,0,0,Background,0.9978387069046422,0
2,eval,1,1,Necrotic-Core,0.6623662404254376,1
2,eval,2,2,Edema,0.7975854927147189,1
2,eval,3,4,Enhancing-Tumor,0.7499900687382315,1
3,train,0,0,Background,0.9977806620322204,0
3,train,1,1,Necrotic-Core,0.7243160932744107,1
3,train,2,2,Edema,0.7986943851976366,1
3,train,3,4,Enhancing-Tumor,0.7876251276118403,1
3,eval,0,0,Background,0.9980329252051988,0
3,eval,1,1,Necrotic-Core,0.6082752146471434,1
3,eval,2,2,Edema,0.8117332363603955,1
3,eval,3,4,Enhancing-Tumor,0.8067425648360413,1
4,train,0,0,Background,0.9979475734062303,0
4,train,1,1,Necrotic-Core,0.749787207553912,1
4,train,2,2,Edema,0.8104324930556703,1
4,train,3,4,Enhancing-Tumor,0.8016335218197058,1
4,eval,0,0,Background,0.9983885740820057,0
4,eval,1,1,Necrotic-Core,0.614225130860138,1
4,eval,2,2,Edema,0.8332514192625881,1
4,eval,3,4,Enhancing-Tumor,0.826127621967833,1
5,train,0,0,Background,0.9980487724403599,0
5,train,1,1,Necrotic-Core,0.7802982088393561,1
5,train,2,2,Edema,0.8223134490213849,1
5,train,3,4,Enhancing-Tumor,0.8193089653610313,1
5,eval,0,0,Background,0.9983740894401567,0
5,eval,1,1,Necrotic-Core,0.7110057699470693,1
5,eval,2,2,Edema,0.8316252455982648,1
5,eval,3,4,Enhancing-Tumor,0.847669954932356,1
6,train,0,0,Background,0.9982282925323891,0
6,train,1,1,Necrotic-Core,0.7967198211171574,1
6,train,2,2,Edema,0.8371669314097989,1
6,train,3,4,Enhancing-Tumor,0.8317600862388917,1
6,eval,0,0,Background,0.9984567200892422,0
6,eval,1,1,Necrotic-Core,0.6772482962847263,1
6,eval,2,2,Edema,0.8411192990431676,1
6,eval,3,4,Enhancing-Tumor,0.8418887493468088,1
7,train,0,0,Background,0.998256570715206,0
7,train,1,1,Necrotic-Core,0.8157097885424649,1
7,train,2,2,Edema,0.8448050580473124,1
7,train,3,4,Enhancing-Tumor,0.8424571641864529,1
7,eval,0,0,Background,0.9984218672287292,0
7,eval,1,1,Necrotic-Core,0.7522157688638139,1
7,eval,2,2,Edema,0.8428230625518844,1
7,eval,3,4,Enhancing-Tumor,0.8441403585246902,1
8,train,0,0,Background,0.9983662338269872,0
8,train,1,1,Necrotic-Core,0.8294814875655682,1
8,train,2,2,Edema,0.8516693407078422,1
8,train,3,4,Enhancing-Tumor,0.8518996295394692,1
8,eval,0,0,Background,0.9984526371698373,0
8,eval,1,1,Necrotic-Core,0.7171697838161054,1
8,eval,2,2,Edema,0.8446318466924786,1
8,eval,3,4,Enhancing-Tumor,0.8477018942479345,1
9,train,0,0,Background,0.9984540966129789,0
9,train,1,1,Necrotic-Core,0.842056367274714,1
9,train,2,2,Edema,0.8593450747801848,1
9,train,3,4,Enhancing-Tumor,0.8603528544725821,1
9,eval,0,0,Background,0.9985238412206118,0
9,eval,1,1,Necrotic-Core,0.7247582431814706,1
9,eval,2,2,Edema,0.8487554265830308,1
9,eval,3,4,Enhancing-Tumor,0.835862304592613,1
10,train,0,0,Background,0.9984907858459086,0
10,train,1,1,Necrotic-Core,0.8532861097507902,1
10,train,2,2,Edema,0.8639560243459907,1
10,train,3,4,Enhancing-Tumor,0.8652842963280019,1
10,eval,0,0,Background,0.998190097516581,0
10,eval,1,1,Necrotic-Core,0.7056241539675026,1
10,eval,2,2,Edema,0.8268687026112865,1
10,eval,3,4,Enhancing-Tumor,0.8172554327250245,1
11,train,0,0,Background,0.9985470691950007,0
11,train,1,1,Necrotic-Core,0.8561585936486028,1
11,train,2,2,Edema,0.8673432232833671,1
11,train,3,4,Enhancing-Tumor,0.866104878886157,1
