epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9806209795448705,0
1,train,1,1,Necrotic-Core,0.002893134352492421,1
1,train,2,2,Edema,0.022129700005329506,1
1,train,3,4,Enhancing-Tumor,0.06735196940947258,1
1,eval,0,0,Background,0.9914930606850582,0
1,eval,1,1,Necrotic-Core,5.7043281129478084e-05,1
1,eval,2,2,Edema,0.05585024216733112,1
1,eval,3,4,Enhancing-Tumor,0.24021038519845955,1
2,train,0,0,Background,0.9920791048916325,0
2,train,1,1,Necrotic-Core,0.0012842103492009726,1
2,train,2,2,Edema,0.17720931552520222,1
2,train,3,4,Enhancing-Tumor,0.26932473452966565,1
2,eval,0,0,Background,0.9927747216217083,0
2,eval,1,1,Necrotic-Core,0.01093095780576233,1
2,eval,2,2,Edema,0.23489961592758932,1
2,eval,3,4,Enhancing-Tumor,0.28499207660331993,1
3,train,0,0,Background,0.9928159417216578,0
3,train,1,1,Necrotic-Core,0.2354813982531471,1
3,train,2,2,Edema,0.2761849506807119,1
3,train,3,4,Enhancing-Tumor,0.3047805092926362,1
3,eval,0,0,Background,0.9930506637927284,0
3,eval,1,1,Necrotic-Core,0.2464345164149531,1
3,eval,2,2,Edema,0.30700169426626966,1
3,eval,3,4,Enhancing-Tumor,0.3017137710169224,1
4,train,0,0,Background,0.9932222634594888,0
4,train,1,1,Necrotic-Core,0.31846991119926127,1
4,train,2,2,Edema,0.32919178690154716,1
4,train,3,4,Enhancing-Tumor,0.3278345767029813,1
4,eval,0,0,Background,0.9935344784685197,0
4,eval,1,1,Necrotic-Core,0.1485518356197317,1
4,eval,2,2,Edema,0.35819018193181534,1
4,eval,3,4,Enhancing-Tumor,0.30740370291846886,1
5,train,0,0,Background,0.9934653882486143,0
5,train,1,1,Necrotic-Core,0.3281976411292528,1
5,train,2,2,Edema,0.35932376577452413,1
5,train,3,4,Enhancing-Tumor,0.334440387463711,1
5,eval,0,0,Background,0.9930203691827165,0
5,eval,1,1,Necrotic-Core,0.3319891572658093,1
5,eval,2,2,Edema,0.3507769532578041,1
5,eval,3,4,Enhancing-Tumor,0.2948369672944823,1
6,train,0,0,Background,0.9939407469793451,0
6,train,1,1,Necrotic-Core,0.3809679856189923,1
6,train,2,2,Edema,0.410912574069548,1
6,train,3,4,Enhancing-Tumor,0.3647915846278288,1
6,eval,0,0,Background,0.9932354446616389,0
6,eval,1,1,Necrotic-Core,0.3228133118314406,1
6,eval,2,2,Edema,0.44471925887637953,1
6,eval,3,4,Enhancing-Tumor,0.29509459079310946,1
7,train,0,0,Background,0.9942550942881693,0
7,train,1,1,Necrotic-Core,0.42108134999141,1
7,train,2,2,Edema,0.45253364186012346,1
7,train,3,4,Enhancing-Tumor,0.39532903237979794,1
7,eval,0,0,Background,0.9931163460739413,0
7,eval,1,1,Necrotic-Core,0.28280572865715536,1
7,eval,2,2,Edema,0.3632102673457731,1
7,eval,3,4,Enhancing-Tumor,0.31306107924660054,1
8,train,0,0,Background,0.9945224728744823,0
8,train,1,1,Necrotic-Core,0.4661837877722564,1
8,train,2,2,Edema,0.49023088624342603,1
8,train,3,4,Enhancing-Tumor,0.4281050414004636,1
8,eval,0,0,Background,0.9938156276621282,0
8,eval,1,1,Necrotic-Core,0.3479791520193251,1
8,eval,2,2,Edema,0.4553906199191877,1
8,eval,3,4,Enhancing-Tumor,0.33468007463265714,1
9,train,0,0,Background,0.9947592997739574,0
9,train,1,1,Necrotic-Core,0.5089080787776384,1
9,train,2,2,Edema,0.5250333096674722,1
9,train,3,4,Enhancing-Tumor,0.46321410587386874,1
9,eval,0,0,Background,0.9935192929685454,0
9,eval,1,1,Necrotic-Core,0.32698394338629,1
9,eval,2,2,Edema,0.4450809910389549,1
9,eval,3,4,Enhancing-Tumor,0.3358144629845209,1
10,train,0,0,Background,0.9949595190187368,0
10,train,1,1,Necrotic-Core,0.5477987556882458,1
10,train,2,2,Edema,0.5558668804794602,1
10,train,3,4,Enhancing-Tumor,0.49713753703676533,1
10,eval,0,0,Background,0.9943654019445027,0
10,eval,1,1,Necrotic-Core,0.2652522953585098,1
10,eval,2,2,Edema,0.450573446936323,1
