epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9796260697674622,0,1
1,train,1,Necrotic-Core,0.003118001144448648,1,0
1,train,2,Edema,0.04272198598603164,1,0
1,train,3,Enhancing-Tumor,0.041736357886540315,1,0
1,eval,0,Background,0.9914648288639719,0,1
1,eval,1,Necrotic-Core,8.280689615823587e-05,1,0
1,eval,2,Edema,0.13588656674681243,1,0
1,eval,3,Enhancing-Tumor,0.2199000474017604,1,0
2,train,0,Background,0.9918428391086834,0,1
2,train,1,Necrotic-Core,0.05688709325859591,1,0
2,train,2,Edema,0.17281080319442418,1,0
2,train,3,Enhancing-Tumor,0.2635555528422594,1,0
2,eval,0,Background,0.9929644820870391,0,1
2,eval,1,Necrotic-Core,0.18456466655663603,1,0
2,eval,2,Edema,0.23022100207054652,1,0
2,eval,3,Enhancing-Tumor,0.27783314692819877,1,0
3,train,0,Background,0.9927948779189542,0,1
3,train,1,Necrotic-Core,0.261008920111552,1,0
3,train,2,Edema,0.2699594497521959,1,0
3,train,3,Enhancing-Tumor,0.3011339264601273,1,0
3,eval,0,Background,0.9930214344736502,0,1
3,eval,1,Necrotic-Core,0.27831349500043556,1,0
3,eval,2,Edema,0.36206574968616295,1,0
3,eval,3,Enhancing-Tumor,0.27582162530256765,1,0
4,train,0,Background,0.9931974485176654,0,1
4,train,1,Necrotic-Core,0.3253830818259306,1,0
4,train,2,Edema,0.3178116878220686,1,0
4,train,3,Enhancing-Tumor,0.32610796045850743,1,0
4,eval,0,Background,0.993033412807501,0,1
4,eval,1,Necrotic-Core,0.3860751593919113,1,0
4,eval,2,Edema,0.3304167114621869,1,0
4,eval,3,Enhancing-Tumor,0.2772393322119311,1,0
5,train,0,Background,0.9934167829092028,0,1
5,train,1,Necrotic-Core,0.35255517040882206,1,0
5,train,2,Edema,0.3418484678485173,1,0
5,train,3,Enhancing-Tumor,0.3353088939376462,1,0
5,eval,0,Background,0.9933699086460747,0,1
5,eval,1,Necrotic-Core,0.37890771763630743,1,0
5,eval,2,Edema,0.28124522184911155,1,0
5,eval,3,Enhancing-Tumor,0.27942550024806645,1,0
6,train,0,Background,0.9939282855864306,0,1
6,train,1,Necrotic-Core,0.40127218235640977,1,0
6,train,2,Edema,0.40351338618391586,1,0
6,train,3,Enhancing-Tumor,0.36631176823616074,1,0
6,eval,0,Background,0.9929130737676013,0,1
6,eval,1,Necrotic-Core,0.2760658198513488,1,0
6,eval,2,Edema,0.33376406573575673,1,0
6,eval,3,Enhancing-Tumor,0.3041013075704839,1,0
7,train,0,Background,0.9941921548966374,0,1
7,train,1,Necrotic-Core,0.4323932699700834,1,0
7,train,2,Edema,0.4460144741608262,1,0
7,train,3,Enhancing-Tumor,0.3923616236633932,1,0
7,eval,0,Background,0.99397794491612,0,1
7,eval,1,Necrotic-Core,0.3403775611980649,1,0
7,eval,2,Edema,0.4486193597353326,1,0
7,eval,3,Enhancing-Tumor,0.3007640304706691,1,0
8,train,0,Background,0.9944647530813246,0,1
8,train,1,Necrotic-Core,0.4694147196307224,1,0
8,train,2,Edema,0.483311221675178,1,0
8,train,3,Enhancing-Tumor,0.4253572067021515,1,0
8,eval,0,Background,0.9937256904583734,0,1
8,eval,1,Necrotic-Core,0.26580307525646824,1,0
8,eval,2,Edema,0.413809926957577,1,0
8,eval,3,Enhancing-Tumor,0.3267665308898081,1,0
9,train,0,Background,0.994696748212914,0,1
9,train,1,Necrotic-Core,0.5172143669994564,1,0
9,train,2,Edema,0.5208660690889587,1,0
9,train,3,Enhancing-Tumor,0.46262412366712413,1,0
9,eval,0,Background,0.9943391114733617,0,1
9,eval,1,Necrotic-Core,0.3026701663367572,1,0
9,eval,2,Edema,0.4470585680805397,1,0
9,eval,3,Enhancing-Tumor,0.33595134911266883,1,0
10,train,0,Background,0.9949146817163238,0,1
10,train,1,Necrotic-Core,0.5545656857304833,1,0
10,train,2,Edema,0.5539595931180792,1,0
10,train,3,Enhancing-Tumor,0.4978479916923355,1,0
10,eval,0,Background,0.994334328592998,0,1
10,eval,1,Necrotic-Core,0.26962340991684824,1,0
10,eval,2,Edema,0.4674481799326286,1,0
10,eval,3,Enhancing-Tumor,0.33082448935606174,1,0
11,train,0,Background,0.9951004080883586,0,1
11,train,1,Necrotic-Core,0.586028015227634,1,0
11,train,2,Edema,0.5814224563487088,1,0
11,train,3,Enhancing-Tumor,0.5320320908709084,1,0
11,eval,0,Background,0.9936611091702747,0,1
11,eval,1,Necrotic-Core,0.34532271049810986,1,0
11,eval,2,Edema,0.4689799372104368,1,0
11,eval,3,Enhancing-Tumor,0.33875672137890916,1,0
12,train,0,Background,0.9952950502847695,0,1
12,train,1,Necrotic-Core,0.6168165827371944,1,0
12,train,2,Edema,0.6097713447607128,1,0
12,train,3,Enhancing-Tumor,0.5665883465637542,1,0
12,eval,0,Background,0.9937641017625897,0,1
12,eval,1,Necrotic-Core,0.33581198493277087,1,0
12,eval,2,Edema,0.48137893875710863,1,0
12,eval,3,Enhancing-Tumor,0.3431858549244762,1,0
13,train,0,Background,0.9954735829274983,0,1
13,train,1,Necrotic-Core,0.6444995960085139,1,0
13,train,2,Edema,0.634399442111418,1,0
13,train,3,Enhancing-Tumor,0.5980167763936526,1,0
13,eval,0,Background,0.9942311205361628,0,1
13,eval,1,Necrotic-Core,0.23313944027079445,1,0
13,eval,2,Edema,0.48907391696062635,1,0
13,eval,3,Enhancing-Tumor,0.35088423127026264,1,0
14,train,0,Background,0.9956675544341272,0,1
14,train,1,Necrotic-Core,0.6686281364887858,1,0
14,train,2,Edema,0.6564908987517003,1,0
14,train,3,Enhancing-Tumor,0.6252840599486948,1,0
14,eval,0,Background,0.9944841869171724,0,1
14,eval,1,Necrotic-Core,0.345804723511653,1,0
14,eval,2,Edema,0.49604547443518165,1,0
14,eval,3,Enhancing-Tumor,0.35572927765891743,1,0
15,train,0,Background,0.9958420426449017,0,1
15,train,1,Necrotic-Core,0.683574590849088,1,0
15,train,2,Edema,0.6744446003724403,1,0
15,train,3,Enhancing-Tumor,0.6460483732594531,1,0
15,eval,0,Background,0.9943489607390364,0,1
15,eval,1,Necrotic-Core,0.3250950696688046,1,0
15,eval,2,Edema,0.5180818198748744,1,0
15,eval,3,Enhancing-Tumor,0.33724332901893816,1,0
16,train,0,Background,0.995994565984546,0,1
16,train,1,Necrotic-Core,0.70297192927108,1,0
16,train,2,Edema,0.6891667557620069,1,0
16,train,3,Enhancing-Tumor,0.6638444444619457,1,0
16,eval,0,Background,0.9944649418427474,0,1
16,eval,1,Necrotic-Core,0.33440411510710333,1,0
16,eval,2,Edema,0.5130611220157878,1,0
16,eval,3,Enhancing-Tumor,0.34639974080272645,1,0
17,train,0,Background,0.996146557034035,0,1
17,train,1,Necrotic-Core,0.7181485344805786,1,0
17,train,2,Edema,0.7043241125216457,1,0
17,train,3,Enhancing-Tumor,0.682678282060743,1,0
17,eval,0,Background,0.9945668743869073,0,1
17,eval,1,Necrotic-Core,0.2995180764994674,1,0
17,eval,2,Edema,0.51630692988795,1,0
17,eval,3,Enhancing-Tumor,0.3483219955795583,1,0
18,train,0,Background,0.9962854639768318,0,1
18,train,1,Necrotic-Core,0.7308778549652332,1,0
18,train,2,Edema,0.7165663707472593,1,0
18,train,3,Enhancing-Tumor,0.6953410868310302,1,0
18,eval,0,Background,0.9945566609683373,0,1
18,eval,1,Necrotic-Core,0.3399548848743222,1,0
18,eval,2,Edema,0.4997450051434726,1,0
18,eval,3,Enhancing-Tumor,0.3613836237400364,1,0
19,train,0,Background,0.9963994626240803,0,1
19,train,1,Necrotic-Core,0.7423763878659452,1,0
19,train,2,Edema,0.7261062671034731,1,0
19,train,3,Enhancing-Tumor,0.7070999905984486,1,0
19,eval,0,Background,0.994493761161454,0,1
19,eval,1,Necrotic-Core,0.3462660388037801,1,0
19,eval,2,Edema,0.5284398828959365,1,0
19,eval,3,Enhancing-Tumor,0.33372381482208474,1,0
20,train,0,Background,0.99652502933206,0,1
20,train,1,Necrotic-Core,0.7519307637795978,1,0
20,train,2,Edema,0.7372563386454822,1,0
20,train,3,Enhancing-Tumor,0.7187209642927792,1,0
20,eval,0,Background,0.9943232885202528,0,1
20,eval,1,Necrotic-Core,0.3409085928988606,1,0
20,eval,2,Edema,0.513687138629982,1,0
20,eval,3,Enhancing-Tumor,0.3510227784366413,1,0
21,train,0,Background,0.9966197143136425,0,1
21,train,1,Necrotic-Core,0.7603472629490678,1,0
21,train,2,Edema,0.7452441806281859,1,0
21,train,3,Enhancing-Tumor,0.7278145799864748,1,0
21,eval,0,Background,0.9946542632316654,0,1
21,eval,1,Necrotic-Core,0.3377160689079149,1,0
21,eval,2,Edema,0.515043618197943,1,0
21,eval,3,Enhancing-Tumor,0.3579008777114156,1,0
22,train,0,Background,0.9967257874478633,0,1
22,train,1,Necrotic-Core,0.7690639771114871,1,0
22,train,2,Edema,0.7536455776658966,1,0
22,train,3,Enhancing-Tumor,0.7372074522100945,1,0
22,eval,0,Background,0.994812949057158,0,1
22,eval,1,Necrotic-Core,0.32879245499179394,1,0
22,eval,2,Edema,0.5194923757525242,1,0
22,eval,3,Enhancing-Tumor,0.35189675262567144,1,0
23,train,0,Background,0.9968404350606823,0,1
23,train,1,Necrotic-Core,0.7782215206638258,1,0
23,train,2,Edema,0.7629205238864792,1,0
23,train,3,Enhancing-Tumor,0.7478133565391007,1,0
23,eval,0,Background,0.9946797636959883,0,1
23,eval,1,Necrotic-Core,0.35473239620969726,1,0
23,eval,2,Edema,0.5251153008191284,1,0
23,eval,3,Enhancing-Tumor,0.3503010746098794,1,0
24,train,0,Background,0.9969289538937456,0,1
24,train,1,Necrotic-Core,0.7847893051507977,1,0
24,train,2,Edema,0.7701536669723481,1,0
24,train,3,Enhancing-Tumor,0.7551771581934499,1,0
24,eval,0,Background,0.9944847664739076,0,1
24,eval,1,Necrotic-Core,0.3518894527954912,1,0
24,eval,2,Edema,0.5251726933135418,1,0
24,eval,3,Enhancing-Tumor,0.3447663449915261,1,0
25,train,0,Background,0.9970170605145623,0,1
25,train,1,Necrotic-Core,0.7918727419695206,1,0
25,train,2,Edema,0.7772191365451507,1,0
25,train,3,Enhancing-Tumor,0.7634667262008797,1,0
25,eval,0,Background,0.994761616626194,0,1
25,eval,1,Necrotic-Core,0.3533002932670589,1,0
25,eval,2,Edema,0.5187377343581372,1,0
25,eval,3,Enhancing-Tumor,0.3529884004434212,1,0
26,train,0,Background,0.9970991559498279,0,1
26,train,1,Necrotic-Core,0.7986181755326413,1,0
26,train,2,Edema,0.783415250166112,1,0
26,train,3,Enhancing-Tumor,0.7701939010828583,1,0
26,eval,0,Background,0.9947638376562882,0,1
26,eval,1,Necrotic-Core,0.3363494322106089,1,0
26,eval,2,Edema,0.5237301333270927,1,0
26,eval,3,Enhancing-Tumor,0.3503143496129688,1,0
27,train,0,Background,0.9971811969227695,0,1
27,train,1,Necrotic-Core,0.8050619065556383,1,0
27,train,2,Edema,0.7895225345471846,1,0
27,train,3,Enhancing-Tumor,0.7775617433559617,1,0
27,eval,0,Background,0.9947826051851295,0,1
27,eval,1,Necrotic-Core,0.3303888134168118,1,0
27,eval,2,Edema,0.5268521195370824,1,0
27,eval,3,Enhancing-Tumor,0.34384675151270655,1,0
28,train,0,Background,0.9972611423078637,0,1
28,train,1,Necrotic-Core,0.8106347437408283,1,0
28,train,2,Edema,0.7955920260518723,1,0
28,train,3,Enhancing-Tumor,0.7842937925407057,1,0
28,eval,0,Background,0.9947085375760335,0,1
28,eval,1,Necrotic-Core,0.3351313408454182,1,0
28,eval,2,Edema,0.5285164845829787,1,0
28,eval,3,Enhancing-Tumor,0.3496914433457902,1,0
29,train,0,Background,0.9973283072043978,0,1
29,train,1,Necrotic-Core,0.8154393904831311,1,0
29,train,2,Edema,0.8008215683896133,1,0
29,train,3,Enhancing-Tumor,0.7900323257069343,1,0
29,eval,0,Background,0.9946911837835737,0,1
29,eval,1,Necrotic-Core,0.3210143606402499,1,0
29,eval,2,Edema,0.5267786800161562,1,0
29,eval,3,Enhancing-Tumor,0.35365634801966117,1,0
30,train,0,Background,0.9974036474137493,0,1
30,train,1,Necrotic-Core,0.8214331208023546,1,0
30,train,2,Edema,0.8066485587590998,1,0
30,train,3,Enhancing-Tumor,0.7972170462817205,1,0
30,eval,0,Background,0.9948067272313392,0,1
30,eval,1,Necrotic-Core,0.3455399073299907,1,0
30,eval,2,Edema,0.5300371869871707,1,0
30,eval,3,Enhancing-Tumor,0.3375414791265246,1,0
31,train,0,Background,0.9974702091364728,0,1
31,train,1,Necrotic-Core,0.8265439505550414,1,0
31,train,2,Edema,0.8117625787510815,1,0
31,train,3,Enhancing-Tumor,0.8030314771790974,1,0
31,eval,0,Background,0.9948145971643813,0,1
31,eval,1,Necrotic-Core,0.32246937197953346,1,0
31,eval,2,Edema,0.5272830473064547,1,0
31,eval,3,Enhancing-Tumor,0.3547742269136621,1,0
32,train,0,Background,0.9975389549789216,0,1
32,train,1,Necrotic-Core,0.8321267307401713,1,0
32,train,2,Edema,0.8165994179721703,1,0
32,train,3,Enhancing-Tumor,0.8084893684684304,1,0
32,eval,0,Background,0.9948256004810115,0,1
32,eval,1,Necrotic-Core,0.3371006045612902,1,0
32,eval,2,Edema,0.5260097682699388,1,0
32,eval,3,Enhancing-Tumor,0.3460396195794875,1,0
33,train,0,Background,0.9975995191117643,0,1
33,train,1,Necrotic-Core,0.8360151209998022,1,0
33,train,2,Edema,0.8210859973278436,1,0
33,train,3,Enhancing-Tumor,0.8137958544678051,1,0
33,eval,0,Background,0.994827799001728,0,1
33,eval,1,Necrotic-Core,0.3178690766947102,1,0
33,eval,2,Edema,0.5278515267951929,1,0
33,eval,3,Enhancing-Tumor,0.34787092720263235,1,0
34,train,0,Background,0.9976675417311686,0,1
34,train,1,Necrotic-Core,0.8406855230074866,1,0
34,train,2,Edema,0.8261923550327968,1,0
34,train,3,Enhancing-Tumor,0.8198085693033949,1,0
34,eval,0,Background,0.9948795234808722,0,1
34,eval,1,Necrotic-Core,0.3395455233432412,1,0
34,eval,2,Edema,0.5274753766779334,1,0
34,eval,3,Enhancing-Tumor,0.34050783445055344,1,0
35,train,0,Background,0.9977206482354012,0,1
35,train,1,Necrotic-Core,0.844358659367524,1,0
35,train,2,Edema,0.8299677665562704,1,0
35,train,3,Enhancing-Tumor,0.8240518325065102,1,0
35,eval,0,Background,0.9948475801688164,0,1
35,eval,1,Necrotic-Core,0.3452758339856378,1,0
35,eval,2,Edema,0.5271252691638953,1,0
35,eval,3,Enhancing-Tumor,0.3422419927943751,1,0
36,train,0,Background,0.9977789632278274,0,1
36,train,1,Necrotic-Core,0.848426983515651,1,0
36,train,2,Edema,0.8344540764162651,1,0
36,train,3,Enhancing-Tumor,0.8290812036481572,1,0
36,eval,0,Background,0.9948789938423664,0,1
36,eval,1,Necrotic-Core,0.3271441000351458,1,0
36,eval,2,Edema,0.5267684758495323,1,0
36,eval,3,Enhancing-Tumor,0.33940802182126967,1,0
37,train,0,Background,0.9978369654208061,0,1
37,train,1,Necrotic-Core,0.8528936560968647,1,0
37,train,2,Edema,0.8387608551134537,1,0
37,train,3,Enhancing-Tumor,0.8343488215083346,1,0
37,eval,0,Background,0.9948779330734787,0,1
37,eval,1,Necrotic-Core,0.3484417320498969,1,0
37,eval,2,Edema,0.5245518433873403,1,0
37,eval,3,Enhancing-Tumor,0.3406045615231614,1,0
38,train,0,Background,0.9978897196662557,0,1
38,train,1,Necrotic-Core,0.8565147725546438,1,0
38,train,2,Edema,0.8426915929131062,1,0
38,train,3,Enhancing-Tumor,0.8390434058514399,1,0
38,eval,0,Background,0.994886812501701,0,1
38,eval,1,Necrotic-Core,0.3480485405899742,1,0
38,eval,2,Edema,0.5247892898127245,1,0
38,eval,3,Enhancing-Tumor,0.3407416265642423,1,0
39,train,0,Background,0.9979430061267675,0,1
39,train,1,Necrotic-Core,0.8600060671249241,1,0
39,train,2,Edema,0.8464680457269859,1,0
39,train,3,Enhancing-Tumor,0.843331699677385,1,0
39,eval,0,Background,0.9948797790675415,0,1
39,eval,1,Necrotic-Core,0.33394404838863434,1,0
39,eval,2,Edema,0.5278205811246118,1,0
39,eval,3,Enhancing-Tumor,0.33195624565178355,1,0
40,train,0,Background,0.9979922830312393,0,1
40,train,1,Necrotic-Core,0.8635426036350601,1,0
40,train,2,Edema,0.8501435656018964,1,0
40,train,3,Enhancing-Tumor,0.8475716055653841,1,0
40,eval,0,Background,0.9948752546231461,0,1
40,eval,1,Necrotic-Core,0.3229400282765999,1,0
40,eval,2,Edema,0.5262273180321967,1,0
40,eval,3,Enhancing-Tumor,0.3327653748089464,1,0
41,train,0,Background,0.9980379866959396,0,1
41,train,1,Necrotic-Core,0.8666232635770109,1,0
41,train,2,Edema,0.8534919557108485,1,0
41,train,3,Enhancing-Tumor,0.8517713531491795,1,0
41,eval,0,Background,0.9948730877675462,0,1
41,eval,1,Necrotic-Core,0.33834289832331793,1,0
41,eval,2,Edema,0.5233756676369197,1,0
41,eval,3,Enhancing-Tumor,0.3358274050668511,1,0
42,train,0,Background,0.9980845267210403,0,1
42,train,1,Necrotic-Core,0.8694829148730545,1,0
42,train,2,Edema,0.8569070411489093,1,0
42,train,3,Enhancing-Tumor,0.8557666021327424,1,0
42,eval,0,Background,0.9948455032440559,0,1
42,eval,1,Necrotic-Core,0.3405261640768464,1,0
42,eval,2,Edema,0.5244372697437634,1,0
42,eval,3,Enhancing-Tumor,0.3314082778718371,1,0
43,train,0,Background,0.998128326328924,0,1
43,train,1,Necrotic-Core,0.8726175968500754,1,0
43,train,2,Edema,0.8600817212775679,1,0
43,train,3,Enhancing-Tumor,0.8597758415172845,1,0
43,eval,0,Background,0.9948610425458002,0,1
43,eval,1,Necrotic-Core,0.33687606480332427,1,0
43,eval,2,Edema,0.5253490607070928,1,0
43,eval,3,Enhancing-Tumor,0.3305871626037994,1,0
44,train,0,Background,0.9981671372953561,0,1
44,train,1,Necrotic-Core,0.8755234370861348,1,0
44,train,2,Edema,0.8630963807480334,1,0
44,train,3,Enhancing-Tumor,0.8635684764577994,1,0
44,eval,0,Background,0.9948753258009511,0,1
44,eval,1,Necrotic-Core,0.34525645445121594,1,0
44,eval,2,Edema,0.5233436551418907,1,0
44,eval,3,Enhancing-Tumor,0.32611624900824654,1,0
45,train,0,Background,0.9982084268086512,0,1
45,train,1,Necrotic-Core,0.8781647402167562,1,0
45,train,2,Edema,0.8661098479515549,1,0
45,train,3,Enhancing-Tumor,0.8671084197269441,1,0
45,eval,0,Background,0.9948569926945917,0,1
45,eval,1,Necrotic-Core,0.336264461065379,1,0
45,eval,2,Edema,0.5230046581342602,1,0
45,eval,3,Enhancing-Tumor,0.3231786046426421,1,0
46,train,0,Background,0.998244470306937,0,1
46,train,1,Necrotic-Core,0.880712895142435,1,0
46,train,2,Edema,0.8688259795122043,1,0
46,train,3,Enhancing-Tumor,0.8704764405544447,1,0
46,eval,0,Background,0.9948572439957627,0,1
46,eval,1,Necrotic-Core,0.33936523037030564,1,0
46,eval,2,Edema,0.5220110854075056,1,0
46,eval,3,Enhancing-Tumor,0.32316244549017487,1,0
47,train,0,Background,0.9982772726723875,0,1
47,train,1,Necrotic-Core,0.8829290100490751,1,0
47,train,2,Edema,0.8712960160631747,1,0
47,train,3,Enhancing-Tumor,0.8735832987730823,1,0
47,eval,0,Background,0.9948522893557583,0,1
47,eval,1,Necrotic-Core,0.3419702616996837,1,0
47,eval,2,Edema,0.5194878110602039,1,0
47,eval,3,Enhancing-Tumor,0.3242766102252997,1,0
48,train,0,Background,0.998308963778033,0,1
48,train,1,Necrotic-Core,0.8850611088544039,1,0
48,train,2,Edema,0.8736875859326817,1,0
48,train,3,Enhancing-Tumor,0.8765754075102458,1,0
48,eval,0,Background,0.9948438243634657,0,1
48,eval,1,Necrotic-Core,0.3406983148497934,1,0
48,eval,2,Edema,0.5207314471578827,1,0
48,eval,3,Enhancing-Tumor,0.32054383672725073,1,0
49,train,0,Background,0.9983374076702008,0,1
49,train,1,Necrotic-Core,0.8870693023336609,1,0
49,train,2,Edema,0.8758791239299123,1,0
49,train,3,Enhancing-Tumor,0.8793954850156481,1,0
49,eval,0,Background,0.9948398125104684,0,1
49,eval,1,Necrotic-Core,0.34230349621774525,1,0
49,eval,2,Edema,0.5208405891485424,1,0
49,eval,3,Enhancing-Tumor,0.3162445163148417,1,0
50,train,0,Background,0.9983636907560188,0,1
50,train,1,Necrotic-Core,0.8887790499824818,1,0
50,train,2,Edema,0.8779054608184613,1,0
50,train,3,Enhancing-Tumor,0.8818731077614702,1,0
50,eval,0,Background,0.9948297839521062,0,1
50,eval,1,Necrotic-Core,0.3430705400658642,1,0
50,eval,2,Edema,0.5192900927820182,1,0
50,eval,3,Enhancing-Tumor,0.31630737055914504,1,0
51,train,0,Background,0.998387204702897,0,1
51,train,1,Necrotic-Core,0.8904529773510172,1,0
51,train,2,Edema,0.8796907840446538,1,0
51,train,3,Enhancing-Tumor,0.8842081006602713,1,0
51,eval,0,Background,0.9948339122471,0,1
51,eval,1,Necrotic-Core,0.34295630328132204,1,0
51,eval,2,Edema,0.5192203739095111,1,0
51,eval,3,Enhancing-Tumor,0.31679217322394015,1,0
52,train,0,Background,0.9984085410973358,0,1
52,train,1,Necrotic-Core,0.8917897899721581,1,0
52,train,2,Edema,0.8813343073382586,1,0
52,train,3,Enhancing-Tumor,0.8861410594308784,1,0
52,eval,0,Background,0.9948265017219201,0,1
52,eval,1,Necrotic-Core,0.34185731413677106,1,0
52,eval,2,Edema,0.5176524020631581,1,0
52,eval,3,Enhancing-Tumor,0.3141796377177984,1,0
53,train,0,Background,0.9984266562287709,0,1
53,train,1,Necrotic-Core,0.8929564921218817,1,0
53,train,2,Edema,0.8827144879446334,1,0
53,train,3,Enhancing-Tumor,0.8878426000624812,1,0
53,eval,0,Background,0.9948199660700683,0,1
53,eval,1,Necrotic-Core,0.3436400925527354,1,0
53,eval,2,Edema,0.5178187016661252,1,0
53,eval,3,Enhancing-Tumor,0.31270230360180135,1,0
54,train,0,Background,0.9984418977301371,0,1
54,train,1,Necrotic-Core,0.8939533216788612,1,0
54,train,2,Edema,0.8839023606329324,1,0
54,train,3,Enhancing-Tumor,0.8892653163690489,1,0
54,eval,0,Background,0.9948156483954725,0,1
54,eval,1,Necrotic-Core,0.3431794399969268,1,0
54,eval,2,Edema,0.5174780840705581,1,0
54,eval,3,Enhancing-Tumor,0.31243590247550723,1,0
55,train,0,Background,0.9984550093378867,0,1
55,train,1,Necrotic-Core,0.8948283387058472,1,0
