epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.32601113624572753,0.047323453785440096,0.0031086298385918434,0.047323453785440096,0.12011625443248806,3,0.1987498743803638,0.07971704766633629,3.6813565062420333e-06,0.07971704766633629,0.21874870800983562,3,0.00011999999999999999,1,1,1,1,0.07971704766633629,295.04500435499995,54.521592044000045,351.46333029100015,0.047323453785440096,0.07971704766633629,3,3,pc_macro_dice,0.047323453785440096,0.07971704766633629
2,0.18033774312734605,0.175963884485346,0.04408425318178511,0.175963884485346,0.2706007747641944,3,0.17183549543190155,0.22859350124980615,0.12068961184823657,0.22859350124980615,0.28592228902987626,3,0.00017999999999999998,1,1,1,1,0.22859350124980615,328.111347131,47.540306594000185,377.8244576029999,0.175963884485346,0.22859350124980615,3,3,pc_macro_dice,0.175963884485346,0.22859350124980615
3,0.16058259986639023,0.28244981269517344,0.26179484419553556,0.28244981269517344,0.30559743512471393,3,0.16131946612979955,0.3017502569691155,0.2528365910386553,0.3017502569691155,0.3673497013859528,3,0.00023999999999999998,1,1,1,1,0.3017502569691155,337.671242311,50.68734207899979,390.62557930599974,0.28244981269517344,0.3017502569691155,3,3,pc_macro_dice,0.28244981269517344,0.3017502569691155
4,0.14953494921922683,0.33335582097342314,0.3289060413877401,0.33335582097342314,0.34183479809155154,3,0.15666879782346405,0.2745115735208552,0.19469070435442,0.2745115735208552,0.31539801197324646,3,0.0003,1,1,1,0,0.3017502569691155,331.680844643,49.363867434999975,382.297170628,0.33335582097342314,0.2745115735208552,3,3,pc_macro_dice,0.33335582097342314,0.2745115735208552
5,0.14295047100782393,0.36001531314660246,0.34145516729435543,0.36001531314660246,0.3812288070962615,3,0.15408500644621576,0.31424025832691116,0.2961243556393865,0.31424025832691116,0.3378655609459825,3,0.0003,1,1,1,1,0.31424025832691116,341.61891575200025,51.59335273200031,395.48614807800004,0.36001531314660246,0.31424025832691116,3,3,pc_macro_dice,0.36001531314660246,0.31424025832691116
6,0.13327221645116807,0.4003938002128824,0.37411337820645313,0.4003938002128824,0.42219878629601293,3,0.15740901537856478,0.32662709640755017,0.2434942837425215,0.32662709640755017,0.4246912224150816,3,0.0002997561810369572,1,1,1,1,0.32662709640755017,344.8694319179999,51.243867880999915,398.157454486,0.4003938002128824,0.32662709640755017,3,3,pc_macro_dice,0.4003938002128824,0.32662709640755017
7,0.12559699691534043,0.4363263770972896,0.40595997888572305,0.4363263770972896,0.462152501619876,3,0.15201079821700503,0.3185416819436776,0.24038633650979516,0.3185416819436776,0.3962818326850356,3,0.0002990255194346082,1,1,1,0,0.32662709640755017,343.7031143029999,54.55809667199992,399.2985056419998,0.4363263770972896,0.3185416819436776,3,3,pc_macro_dice,0.4363263770972896,0.3185416819436776
8,0.11726190158128738,0.47449436806817863,0.44130027711898334,0.47449436806817863,0.5002128675142732,3,0.15514302332025426,0.35786571077230533,0.32267474665874674,0.35786571077230533,0.41315522890179285,3,0.00029781039845923004,1,1,1,1,0.35786571077230533,344.16404467600023,52.82238066199989,399.1686735479998,0.47449436806817863,0.35786571077230533,3,3,pc_macro_dice,0.47449436806817863,0.35786571077230533
9,0.11115778844356537,0.5070664443811252,0.47210610331082825,0.5070664443811252,0.5317240026403351,3,0.1582781368759787,0.3614289509768961,0.3201001240942693,0.3614289509768961,0.4288278048451042,3,0.00029611478158287887,1,1,1,1,0.3614289509768961,342.8419960760002,53.48659028300062,398.3798523780006,0.5070664443811252,0.3614289509768961,3,3,pc_macro_dice,0.5070664443811252,0.3614289509768961
10,0.10350717113614083,0.543256309285233,0.5050188635425901,0.543256309285233,0.5636295110029504,3,0.16078256096714622,0.3332793404424204,0.19598043385777728,0.3332793404424204,0.4610405219308191,3,0.0002939441995553673,1,1,1,0,0.3614289509768961,334.6995507900001,50.256391627000085,385.97951568999997,0.543256309285233,0.3332793404424204,3,3,pc_macro_dice,0.543256309285233,0.3332793404424204
