epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9898099274154447,0,1
1,train,1,Necrotic-Core,0.0187454770852404,1,0
1,train,2,Edema,0.0031086298385918434,1,0
1,train,3,Enhancing-Tumor,0.12011625443248806,1,0
1,eval,0,Background,0.9910251319714366,0,1
1,eval,1,Necrotic-Core,3.6813565062420333e-06,1,0
1,eval,2,Edema,0.020398753632667018,1,0
1,eval,3,Enhancing-Tumor,0.21874870800983562,1,0
2,train,0,Background,0.9919972090306474,0,1
2,train,1,Necrotic-Core,0.04408425318178511,1,0
2,train,2,Edema,0.2132066255100586,1,0
2,train,3,Enhancing-Tumor,0.2706007747641944,1,0
2,eval,0,Background,0.9931085802314027,0,1
2,eval,1,Necrotic-Core,0.12068961184823657,1,0
2,eval,2,Edema,0.28592228902987626,1,0
2,eval,3,Enhancing-Tumor,0.27916860287130557,1,0
3,train,0,Background,0.9928402737478166,0,1
3,train,1,Necrotic-Core,0.26179484419553556,1,0
3,train,2,Edema,0.27995715876527083,1,0
3,train,3,Enhancing-Tumor,0.30559743512471393,1,0
3,eval,0,Background,0.9929901320037866,0,1
3,eval,1,Necrotic-Core,0.2528365910386553,1,0
3,eval,2,Edema,0.3673497013859528,1,0
3,eval,3,Enhancing-Tumor,0.28506447848273836,1,0
4,train,0,Background,0.9932864712336944,0,1
4,train,1,Necrotic-Core,0.3289060413877401,1,0
4,train,2,Edema,0.34183479809155154,1,0
4,train,3,Enhancing-Tumor,0.32932662344097785,1,0
4,eval,0,Background,0.9935451286163338,0,1
4,eval,1,Necrotic-Core,0.19469070435442,1,0
4,eval,2,Edema,0.31539801197324646,1,0
4,eval,3,Enhancing-Tumor,0.31344600423489927,1,0
5,train,0,Background,0.9936316824918981,0,1
5,train,1,Necrotic-Core,0.35736196504919054,1,0
5,train,2,Edema,0.3812288070962615,1,0
5,train,3,Enhancing-Tumor,0.34145516729435543,1,0
5,eval,0,Background,0.9934322560803216,0,1
5,eval,1,Necrotic-Core,0.3378655609459825,1,0
5,eval,2,Edema,0.30873085839536457,1,0
5,eval,3,Enhancing-Tumor,0.2961243556393865,1,0
6,train,0,Background,0.9940239292334101,0,1
6,train,1,Necrotic-Core,0.4048692361361811,1,0
6,train,2,Edema,0.42219878629601293,1,0
6,train,3,Enhancing-Tumor,0.37411337820645313,1,0
6,eval,0,Background,0.9938970689238255,0,1
6,eval,1,Necrotic-Core,0.2434942837425215,1,0
6,eval,2,Edema,0.4246912224150816,1,0
6,eval,3,Enhancing-Tumor,0.3116957830650475,1,0
7,train,0,Background,0.9942957559261445,0,1
7,train,1,Necrotic-Core,0.44086665078626985,1,0
7,train,2,Edema,0.462152501619876,1,0
7,train,3,Enhancing-Tumor,0.40595997888572305,1,0
7,eval,0,Background,0.9928343650985701,0,1
7,eval,1,Necrotic-Core,0.24038633650979516,1,0
7,eval,2,Edema,0.3962818326850356,1,0
7,eval,3,Enhancing-Tumor,0.31895687663620215,1,0
8,train,0,Background,0.9945874212300055,0,1
8,train,1,Necrotic-Core,0.48196995957127947,1,0
8,train,2,Edema,0.5002128675142732,1,0
