epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9758585386631616,0
1,train,1,1,Necrotic-Core,0.0013696349692478935,1
1,train,2,2,Edema,0.046872333205584676,1
1,train,3,4,Enhancing-Tumor,0.0448794756655265,1
1,eval,0,0,Background,0.991240260221837,0
1,eval,1,1,Necrotic-Core,0.0,1
1,eval,2,2,Edema,0.07069779518892655,1
1,eval,3,4,Enhancing-Tumor,0.2159463474031238,1
2,train,0,0,Background,0.9917178055931436,0
2,train,1,1,Necrotic-Core,0.03695906915410874,1
2,train,2,2,Edema,0.14990154698372715,1
2,train,3,4,Enhancing-Tumor,0.25663886975672423,1
2,eval,0,0,Background,0.9913773277623712,0
2,eval,1,1,Necrotic-Core,0.1282181359074656,1
2,eval,2,2,Edema,0.26482069035625644,1
2,eval,3,4,Enhancing-Tumor,0.2721136003119722,1
3,train,0,0,Background,0.9926942907892826,0
3,train,1,1,Necrotic-Core,0.2518030263044142,1
3,train,2,2,Edema,0.2717123488723619,1
3,train,3,4,Enhancing-Tumor,0.30248559072663717,1
3,eval,0,0,Background,0.9932571674703735,0
3,eval,1,1,Necrotic-Core,0.17992536222195207,1
3,eval,2,2,Edema,0.32092535853865184,1
3,eval,3,4,Enhancing-Tumor,0.30148314470035614,1
4,train,0,0,Background,0.9932233710630022,0
4,train,1,1,Necrotic-Core,0.3259674794282588,1
4,train,2,2,Edema,0.32550177439951805,1
4,train,3,4,Enhancing-Tumor,0.33168987217849405,1
4,eval,0,0,Background,0.992734795665098,0
4,eval,1,1,Necrotic-Core,0.2422936840933259,1
4,eval,2,2,Edema,0.3384857548673405,1
4,eval,3,4,Enhancing-Tumor,0.3078133603386816,1
5,train,0,0,Background,0.9935605097632686,0
5,train,1,1,Necrotic-Core,0.36023496058890186,1
5,train,2,2,Edema,0.3571429979213468,1
5,train,3,4,Enhancing-Tumor,0.34575348062010636,1
5,eval,0,0,Background,0.9933624868925542,0
5,eval,1,1,Necrotic-Core,0.18895953117212472,1
5,eval,2,2,Edema,0.3273863513632503,1
5,eval,3,4,Enhancing-Tumor,0.3085282993933254,1
6,train,0,0,Background,0.993995978278764,0
6,train,1,1,Necrotic-Core,0.4006623457334484,1
6,train,2,2,Edema,0.413672169596811,1
6,train,3,4,Enhancing-Tumor,0.37430234166875076,1
6,eval,0,0,Background,0.9925857745972972,0
6,eval,1,1,Necrotic-Core,0.3517688503812936,1
6,eval,2,2,Edema,0.38122053958604907,1
6,eval,3,4,Enhancing-Tumor,0.28734178778022096,1
7,train,0,0,Background,0.9942946923647792,0
