epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9527431723485765,0
1,train,1,1,Necrotic-Core,0.023713036706481998,1
1,train,2,2,Edema,0.036400428347668976,1
1,train,3,4,Enhancing-Tumor,0.19577176052511439,1
1,eval,0,0,Background,0.9940105681779411,0
1,eval,1,1,Necrotic-Core,0.06835163720069212,1
1,eval,2,2,Edema,0.2842452075422909,1
1,eval,3,4,Enhancing-Tumor,0.3025928570032956,1
2,train,0,0,Background,0.9940183332364007,0
2,train,1,1,Necrotic-Core,0.31324142622874696,1
2,train,2,2,Edema,0.3606664608570616,1
2,train,3,4,Enhancing-Tumor,0.344751747480651,1
2,eval,0,0,Background,0.9944077838662809,0
2,eval,1,1,Necrotic-Core,0.35890290478155384,1
2,eval,2,2,Edema,0.4341899364398887,1
2,eval,3,4,Enhancing-Tumor,0.35305907285750515,1
3,train,0,0,Background,0.9946650858334359,0
3,train,1,1,Necrotic-Core,0.4013013215697812,1
3,train,2,2,Edema,0.5216032581893965,1
3,train,3,4,Enhancing-Tumor,0.4164137939961001,1
3,eval,0,0,Background,0.9953912953593812,0
3,eval,1,1,Necrotic-Core,0.2788499648451458,1
3,eval,2,2,Edema,0.5556303764063628,1
3,eval,3,4,Enhancing-Tumor,0.44272319267974136,1
4,train,0,0,Background,0.9950724086946414,0
4,train,1,1,Necrotic-Core,0.4426233133328141,1
4,train,2,2,Edema,0.5596910988596616,1
4,train,3,4,Enhancing-Tumor,0.4540813293140688,1
4,eval,0,0,Background,0.995537879307249,0
4,eval,1,1,Necrotic-Core,0.40675912916728363,1
4,eval,2,2,Edema,0.5445747020543886,1
4,eval,3,4,Enhancing-Tumor,0.46076464382816346,1
5,train,0,0,Background,0.9952938600470649,0
5,train,1,1,Necrotic-Core,0.46440542268166446,1
5,train,2,2,Edema,0.5799064068671766,1
5,train,3,4,Enhancing-Tumor,0.476614853004468,1
5,eval,0,0,Background,0.9950034058815089,0
5,eval,1,1,Necrotic-Core,0.478809061257089,1
5,eval,2,2,Edema,0.44152487669710117,1
