epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9223167109291445,0,1
1,train,1,Necrotic-Core,0.017772728440182513,1,0
1,train,2,Edema,0.11086839833135766,1,0
1,train,3,Enhancing-Tumor,0.12111212432714916,1,0
1,eval,0,Background,0.994062434583802,0,1
1,eval,1,Necrotic-Core,0.0012300961058596585,1,0
1,eval,2,Edema,0.23478813278855354,1,0
1,eval,3,Enhancing-Tumor,0.29488558396357645,1,0
2,train,0,Background,0.9941079454174978,0,1
2,train,1,Necrotic-Core,0.21817670275316692,1,0
2,train,2,Edema,0.38360373976623974,1,0
2,train,3,Enhancing-Tumor,0.33277313423677135,1,0
2,eval,0,Background,0.9949129407309892,0,1
2,eval,1,Necrotic-Core,0.3676697403387238,1,0
2,eval,2,Edema,0.48285792524646365,1,0
2,eval,3,Enhancing-Tumor,0.38225381610484677,1,0
3,train,0,Background,0.9947247279007964,0,1
3,train,1,Necrotic-Core,0.3758089244150832,1,0
3,train,2,Edema,0.5146019636851219,1,0
3,train,3,Enhancing-Tumor,0.4055452900985343,1,0
3,eval,0,Background,0.9939237567296808,0,1
3,eval,1,Necrotic-Core,0.32280243170779505,1,0
3,eval,2,Edema,0.5431161156228926,1,0
3,eval,3,Enhancing-Tumor,0.39218506890375016,1,0
4,train,0,Background,0.9950448522643385,0,1
4,train,1,Necrotic-Core,0.4235998223319496,1,0
4,train,2,Edema,0.5505021239537047,1,0
4,train,3,Enhancing-Tumor,0.44615269958028897,1,0
4,eval,0,Background,0.9955063745401116,0,1
4,eval,1,Necrotic-Core,0.35392819905027845,1,0
4,eval,2,Edema,0.5556374804021974,1,0
4,eval,3,Enhancing-Tumor,0.4421899885604638,1,0
5,train,0,Background,0.9952099950830354,0,1
5,train,1,Necrotic-Core,0.46760941075858076,1,0
5,train,2,Edema,0.5713854421933797,1,0
5,train,3,Enhancing-Tumor,0.4617896183025749,1,0
5,eval,0,Background,0.9912434229556378,0,1
5,eval,1,Necrotic-Core,0.4790439618697504,1,0
5,eval,2,Edema,0.49218062863907625,1,0
