epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9862655059791308,0,1
1,train,1,Necrotic-Core,0.006898750427082502,1,0
1,train,2,Edema,0.3383836023556501,1,0
1,train,3,Enhancing-Tumor,0.026214676749886923,1,0
1,eval,0,Background,0.99409241172476,0,1
1,eval,1,Necrotic-Core,0.0,1,0
1,eval,2,Edema,0.4757660644960941,1,0
1,eval,3,Enhancing-Tumor,0.08691410494345442,1,0
2,train,0,Background,0.9941550939898331,0,1
2,train,1,Necrotic-Core,0.2668437334707191,1,0
2,train,2,Edema,0.3995995156011423,1,0
2,train,3,Enhancing-Tumor,0.3103701641946449,1,0
2,eval,0,Background,0.9949074012323013,0,1
2,eval,1,Necrotic-Core,0.319810046610555,1,0
2,eval,2,Edema,0.49452232331705304,1,0
2,eval,3,Enhancing-Tumor,0.38169409889644135,1,0
3,train,0,Background,0.9946032282055056,0,1
3,train,1,Necrotic-Core,0.4116636708879932,1,0
3,train,2,Edema,0.5161847077890713,1,0
3,train,3,Enhancing-Tumor,0.41029827985094697,1,0
3,eval,0,Background,0.9955661874853612,0,1
3,eval,1,Necrotic-Core,0.28263703690128444,1,0
3,eval,2,Edema,0.5520432309866243,1,0
3,eval,3,Enhancing-Tumor,0.43838878949520643,1,0
4,train,0,Background,0.9950203027975241,0,1
4,train,1,Necrotic-Core,0.43800195415921206,1,0
4,train,2,Edema,0.5553165017475904,1,0
4,train,3,Enhancing-Tumor,0.45270855326924103,1,0
4,eval,0,Background,0.9956499986179828,0,1
4,eval,1,Necrotic-Core,0.38127995000104536,1,0
4,eval,2,Edema,0.4979773822346909,1,0
4,eval,3,Enhancing-Tumor,0.4528568835049221,1,0
5,train,0,Background,0.9952432532107444,0,1
5,train,1,Necrotic-Core,0.4661093048148294,1,0
5,train,2,Edema,0.5774272551284885,1,0
5,train,3,Enhancing-Tumor,0.47842770811539487,1,0
5,eval,0,Background,0.9956251016612705,0,1
5,eval,1,Necrotic-Core,0.3387351017152996,1,0
5,eval,2,Edema,0.5937494148268102,1,0
5,eval,3,Enhancing-Tumor,0.47689692594703587,1,0
6,train,0,Background,0.9954905159366058,0,1
6,train,1,Necrotic-Core,0.49144372046130796,1,0
6,train,2,Edema,0.6051879280057375,1,0
6,train,3,Enhancing-Tumor,0.5057656720041617,1,0
6,eval,0,Background,0.9957730482130037,0,1
6,eval,1,Necrotic-Core,0.35683481983563553,1,0
6,eval,2,Edema,0.6095403715113735,1,0
6,eval,3,Enhancing-Tumor,0.4824261493814294,1,0
7,train,0,Background,0.9956621553193854,0,1
7,train,1,Necrotic-Core,0.5155325049351733,1,0
7,train,2,Edema,0.6219279664387398,1,0
7,train,3,Enhancing-Tumor,0.5286167482211683,1,0
7,eval,0,Background,0.9955712852822222,0,1
7,eval,1,Necrotic-Core,0.3673546583221533,1,0
7,eval,2,Edema,0.546611682982628,1,0
7,eval,3,Enhancing-Tumor,0.44115765967552345,1,0
8,train,0,Background,0.9958357543145165,0,1
8,train,1,Necrotic-Core,0.541711506744653,1,0
8,train,2,Edema,0.6413611577950504,1,0
8,train,3,Enhancing-Tumor,0.5509392357446495,1,0
8,eval,0,Background,0.9948942167053583,0,1
8,eval,1,Necrotic-Core,0.4600900440099873,1,0
8,eval,2,Edema,0.6039711938568636,1,0
8,eval,3,Enhancing-Tumor,0.4760894278961195,1,0
9,train,0,Background,0.9959822233909136,0,1
9,train,1,Necrotic-Core,0.5725805773762822,1,0
9,train,2,Edema,0.6590789593801674,1,0
9,train,3,Enhancing-Tumor,0.5747968658073831,1,0
9,eval,0,Background,0.99600752650766,0,1
9,eval,1,Necrotic-Core,0.44920554016592057,1,0
9,eval,2,Edema,0.5804529814125384,1,0
9,eval,3,Enhancing-Tumor,0.484774140491051,1,0
10,train,0,Background,0.9960726562483205,0,1
10,train,1,Necrotic-Core,0.5998125772650458,1,0
10,train,2,Edema,0.6708278489539037,1,0
10,train,3,Enhancing-Tumor,0.590334369772376,1,0
10,eval,0,Background,0.9960430479302403,0,1
10,eval,1,Necrotic-Core,0.37768827611034395,1,0
10,eval,2,Edema,0.5959989036661146,1,0
10,eval,3,Enhancing-Tumor,0.4859106515737514,1,0
11,train,0,Background,0.9962038735109061,0,1
11,train,1,Necrotic-Core,0.627071159457412,1,0
11,train,2,Edema,0.6862528259084266,1,0
11,train,3,Enhancing-Tumor,0.6133663614905234,1,0
11,eval,0,Background,0.995717640324087,0,1
11,eval,1,Necrotic-Core,0.5085175250286299,1,0
11,eval,2,Edema,0.6117771057938526,1,0
11,eval,3,Enhancing-Tumor,0.4908396441859161,1,0
12,train,0,Background,0.9963088062240893,0,1
12,train,1,Necrotic-Core,0.6539789388423898,1,0
12,train,2,Edema,0.6972665917231458,1,0
12,train,3,Enhancing-Tumor,0.6325652183370921,1,0
12,eval,0,Background,0.9951410081427217,0,1
