epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.44754051663481387,0.15937756873649783,0.027654767995581232,0.15937756873649783,0.25775057790613726,3,0.15688753652439755,0.19334116753548958,0.03814942948918378,0.19334116753548958,0.3071926012935521,3,0.00011999999999999999,1,1,1,1,0.19334116753548958,192.688167551,29.79871920700009,222.64243817500005,0.15937756873649783,0.19334116753548958,3,3,pc_macro_dice,0.15937756873649783,0.19334116753548958
2,0.14141989513612785,0.3076828280881405,0.25238030467890665,0.3076828280881405,0.344670626864949,3,0.1382224893399105,0.3953338954522879,0.3760706826942375,0.3953338954522879,0.4158308257645952,3,0.00017999999999999998,1,1,1,1,0.3953338954522879,175.44468716400002,25.813532364000025,201.43722460699996,0.3076828280881405,0.3953338954522879,3,3,pc_macro_dice,0.3076828280881405,0.3953338954522879
3,0.12275881976032028,0.44073292200984315,0.3935167273071799,0.44073292200984315,0.5043492675456173,3,0.12305390111105458,0.4386127840348185,0.3072239530837025,0.4386127840348185,0.5786099239085961,3,0.00023999999999999998,1,1,1,1,0.4386127840348185,173.22865852899997,26.4882429029999,199.87533647600003,0.44073292200984315,0.4386127840348185,3,3,pc_macro_dice,0.44073292200984315,0.4386127840348185
4,0.11085248458237884,0.48796589124654144,0.4371476416409341,0.48796589124654144,0.558683806448625,3,0.12002043570777413,0.46021166990146556,0.40496241533342964,0.46021166990146556,0.5239797139784961,3,0.0003,1,1,1,1,0.46021166990146556,173.78162100499992,26.00419174900003,199.93778876700014,0.48796589124654144,0.46021166990146556,3,3,pc_macro_dice,0.48796589124654144,0.46021166990146556
5,0.1043586226793143,0.5163494076799734,0.4780412256110897,0.5163494076799734,0.5844358749583022,3,0.1259235755131123,0.45372468172776936,0.4264814534037672,0.45372468172776936,0.5048977485126034,3,0.0003,1,1,1,0,0.46021166990146556,418.7448363860001,49.91565561800007,468.74545148200014,0.5163494076799734,0.45372468172776936,3,3,pc_macro_dice,0.5163494076799734,0.45372468172776936
6,0.09810484733325414,0.5465941910569745,0.5087946412057706,0.5465941910569745,0.6082266432199469,3,0.11367254813385617,0.4566504935636127,0.2996619161704685,0.4566504935636127,0.5989582938820165,3,0.0002997561810369572,1,1,1,0,0.46021166990146556,419.02704989499966,49.68007940000007,468.79026281300025,0.5465941910569745,0.4566504935636127,3,3,pc_macro_dice,0.5465941910569745,0.4566504935636127
7,0.09145834295751569,0.5758839201155417,0.5439284656887511,0.5758839201155417,0.6360133085716002,3,0.11162638313071743,0.49763965036651575,0.40803828423259586,0.49763965036651575,0.5987664656047587,3,0.0002990255194346082,1,1,1,1,0.49763965036651575,419.71840905499994,48.85227073099986,468.772262685,0.5758839201155417,0.49763965036651575,3,3,pc_macro_dice,0.5758839201155417,0.49763965036651575
8,0.08514758339895608,0.5991785850678739,0.5680088951956822,0.5991785850678739,0.6540752065907196,3,0.12485177347519595,0.4960268041836467,0.3758610378962216,0.4960268041836467,0.6141238050771289,3,0.00029781039845923004,1,1,1,0,0.49763965036651575,419.8137465300001,48.76997853900002,468.671774034,0.5991785850678739,0.4960268041836467,3,3,pc_macro_dice,0.5991785850678739,0.4960268041836467
9,0.08160914621723536,0.6186583752433553,0.5925726627486526,0.6186583752433553,0.6676324241840785,3,0.11655366700735821,0.5046678626046337,0.45180643243942453,0.5046678626046337,0.5941887308439804,3,0.00029611478158287887,1,1,1,1,0.5046678626046337,420.15933019999966,49.90106772699983,470.2651861690001,0.6186583752433553,0.5046678626046337,3,3,pc_macro_dice,0.6186583752433553,0.5046678626046337
10,0.07778164888389956,0.6444233901085776,0.6182941694444293,0.6444233901085776,0.6800626938572877,3,0.12198843776135687,0.5006324574015025,0.39302507567483036,0.5006324574015025,0.6158002266121048,3,0.0002939441995553673,1,1,1,0,0.5046678626046337,420.02436690900004,49.173662999000044,469.28489014100023,0.6444233901085776,0.5006324574015025,3,3,pc_macro_dice,0.6444233901085776,0.5006324574015025
11,0.07346040387742055,0.6615048754347349,0.6325881599472485,0.6615048754347349,0.6971724500535809,3,0.1260807174880793,0.4906426330317971,0.3445177549529726,0.4906426330317971,0.6265676421910884,3,0.0002913057323641089,1,1,1,0,0.5046678626046337,420.6530828250002,48.773652365999624,469.51077374399983,0.6615048754347349,0.4906426330317971,3,3,pc_macro_dice,0.6615048754347349,0.4906426330317971
12,0.07054990933487972,0.6754802331389971,0.6479663078102526,0.6754802331389971,0.7036520124683215,3,0.116424367152107,0.4972328832094014,0.4389137104537249,0.4972328832094014,0.5822376104583595,3,0.00028820798614067006,1,1,1,0,0.5046678626046337,420.79040374000033,50.51546987900019,471.39302349599984,0.6754802331389971,0.4972328832094014,3,3,pc_macro_dice,0.6754802331389971,0.4972328832094014
13,0.06757598333715345,0.689988495451912,0.6641949392476647,0.689988495451912,0.7154331191777988,3,0.12099993311960226,0.5269811135371859,0.4852681405423502,0.5269811135371859,0.6093470173820184,3,0.000284661065089358,1,1,1,1,0.5269811135371859,419.7834797919995,49.01717309000014,468.9694835099999,0.689988495451912,0.5269811135371859,3,3,pc_macro_dice,0.689988495451912,0.5269811135371859
14,0.06391976780284898,0.701097076306872,0.6801339101237237,0.701097076306872,0.7227573577826876,3,0.12541370068908117,0.5303318458505284,0.4695548831873425,0.5303318458505284,0.6211369502709806,3,0.00028067653852940666,1,1,1,1,0.5303318458505284,419.08556706200034,49.34276533499997,468.6159220259997,0.701097076306872,0.5303318458505284,3,3,pc_macro_dice,0.701097076306872,0.5303318458505284
15,0.06199214114144016,0.7119934036792976,0.6887111497922692,0.7119934036792976,0.7313831438903997,3,0.1242802659180134,0.524657933341035,0.4552318218860487,0.524657933341035,0.6192689865961507,3,0.00027626740315826157,1,1,1,0,0.5303318458505284,420.8043231040001,51.1092818420002,471.9758022440001,0.7119934036792976,0.524657933341035,3,3,pc_macro_dice,0.7119934036792976,0.524657933341035
16,0.059572179519092314,0.7228718175041173,0.701760072680375,0.7228718175041173,0.7365220879175729,3,0.12753038219870275,0.5176192091849826,0.451990040860522,0.5176192091849826,0.6092579537790778,3,0.0002714480406590546,1,1,1,0,0.5303318458505284,421.48440462099916,49.714672043000064,471.28165164999973,0.7228718175041173,0.5176192091849826,3,3,pc_macro_dice,0.7228718175041173,0.5176192091849826
17,0.058383411263672115,0.7290734019741844,0.7062563253195304,0.7290734019741844,0.7407311645441634,3,0.13178223587430207,0.5261917335810123,0.4538715415733554,0.5261917335810123,0.6211948475782817,3,0.00026623417079054285,1,1,1,0,0.5303318458505284,421.10095293999984,49.727889003999735,470.9140077060001,0.7290734019741844,0.5261917335810123,3,3,pc_macro_dice,0.7290734019741844,0.5261917335810123
18,0.05593152029719501,0.7404659696509268,0.7177645480756073,0.7404659696509268,0.7544160130023296,3,0.12951501371089819,0.5136298328205195,0.4477353414334662,0.5136298328205195,0.5855802939182632,3,0.0002606428001125225,1,1,1,0,0.5303318458505284,420.9545392249993,49.69928161200005,470.7388865639996,0.7404659696509268,0.5136298328205195,3,3,pc_macro_dice,0.7404659696509268,0.5136298328205195
19,0.05517884865760232,0.7448799295918616,0.7236280162288216,0.7448799295918616,0.7559417280380688,3,0.12861815735602836,0.5363275322599491,0.478309125358451,0.5363275322599491,0.6246174455759052,3,0.00025469216651396635,1,1,1,1,0.5363275322599491,421.38628625100046,49.989871715000845,471.5370213220003,0.7448799295918616,0.5363275322599491,3,3,pc_macro_dice,0.7448799295918616,0.5363275322599491
20,0.05341154624954961,0.7518610252720652,0.730037393816448,0.7518610252720652,0.7655309651480402,3,0.133624247210041,0.5340120006011172,0.4739848025722974,0.5340120006011172,0.6275317646929089,3,0.0002484016797248201,1,1,1,0,0.5363275322599491,422.20512525899903,49.7186320919991,472.01652253000066,0.7518610252720652,0.5340120006011172,3,3,pc_macro_dice,0.7518610252720652,0.5340120006011172
21,0.052631538953429785,0.7573058134516848,0.7363706337260129,0.7573058134516848,0.7724752363089007,3,0.13678578078556972,0.5313242865446585,0.46122561116151306,0.5313242865446585,0.626743910603105,3,0.000241791858005498,1,1,1,0,0.5363275322599491,421.8265117840001,49.46725582500039,471.37807301000066,0.7573058134516848,0.5313242865446585,3,3,pc_macro_dice,0.7573058134516848,0.5313242865446585
22,0.05068908303904648,0.7628320938208275,0.7427557257502491,0.7628320938208275,0.777845004323606,3,0.14543400830618894,0.5347309994232822,0.4562847472532639,0.5347309994232822,0.6418585371114358,3,0.00023488426122058199,1,1,1,0,0.5363275322599491,420.28045673999986,48.87226967400056,469.23595906300034,0.7628320938208275,0.5347309994232822,3,3,pc_macro_dice,0.7628320938208275,0.5347309994232822
23,0.04939664999683634,0.7675252121241958,0.7471620888935928,0.7675252121241958,0.7819277567988105,3,0.13438010686759355,0.5413944632504736,0.48364933691091644,0.5413944632504736,0.632233387088133,3,0.0002277014205150248,1,1,1,1,0.5413944632504736,419.4192253299989,49.84708773999955,469.43847635900056,0.7675252121241958,0.5413944632504736,3,3,pc_macro_dice,0.7675252121241958,0.5413944632504736
24,0.04840360159357897,0.7712847823671989,0.7542131782369109,0.7712847823671989,0.7819131483401839,3,0.13436653298936832,0.5408663941815224,0.49422845890603284,0.5408663941815224,0.6234324520338907,3,0.0002202667648222382,1,1,1,0,0.5413944632504736,421.71511029199974,50.44051009299983,472.2388493620001,0.7712847823671989,0.5408663941815224,3,3,pc_macro_dice,0.7712847823671989,0.5408663941815224
25,0.04699494999747116,0.7772808681499344,0.7570355228020327,0.7772808681499344,0.7918423832331944,3,0.1455405154473083,0.5263767555240136,0.442201031614049,0.5263767555240136,0.6299318869149486,3,0.00021260454444378202,1,1,1,0,0.5413944632504736,422.6866015320011,49.86103591999927,472.63168860599944,0.7772808681499344,0.5263767555240136,3,3,pc_macro_dice,0.7772808681499344,0.5263767555240136
26,0.045940774695251506,0.7804854845012984,0.7629422316033736,0.7804854845012984,0.7934961430690344,3,0.14952228576609283,0.5422895582101553,0.48476307705078114,0.5422895582101553,0.6386646387169657,3,0.0002047397519499208,1,1,1,1,0.5422895582101553,422.679154808,49.389865981000185,472.2380285269992,0.7804854845012984,0.5422895582101553,3,3,pc_macro_dice,0.7804854845012984,0.5422895582101553
27,0.045134035537180046,0.7833102952083391,0.7635176049874007,0.7833102952083391,0.7991019508571127,3,0.1463874785146516,0.5316302678921252,0.4559379792962801,0.5316302678921252,0.6293369417007968,3,0.00019669804065905463,1,1,1,0,0.5422895582101553,422.1396322439996,49.53978418599945,471.75813805600046,0.7833102952083391,0.5316302678921252,3,3,pc_macro_dice,0.7833102952083391,0.5316302678921252
28,0.044615170094199456,0.788321472095853,0.7712199010819126,0.788321472095853,0.7992535789983585,3,0.15940050282485926,0.5318787484984184,0.45238634533244193,0.5318787484984184,0.6415498305505135,3,0.0001885056409619263,1,1,1,0,0.5422895582101553,421.62577516499914,49.24706030900052,470.9544145969994,0.788321472095853,0.5318787484984184,3,3,pc_macro_dice,0.788321472095853,0.5318787484984184
29,0.04350987358536488,0.7928743946499537,0.7740875386363695,0.7928743946499537,0.8074561790928012,3,0.15002701457613593,0.5403984697711356,0.4798735767440954,0.5403984697711356,0.6294147831133868,3,0.0001801892747635389,1,1,1,0,0.5422895582101553,421.68517752200023,49.47198893700079,471.24073737300023,0.7928743946499537,0.5403984697711356,3,3,pc_macro_dice,0.7928743946499537,0.5403984697711356
30,0.04249699392055456,0.7945259673489462,0.7791460125114903,0.7945259673489462,0.8041822864471629,3,0.1611485338182586,0.5346188634939966,0.4557202854316088,0.5346188634939966,0.6415284337960262,3,0.0001717760683218561,1,1,1,0,0.5422895582101553,421.2425698200004,49.75020309899992,471.07006307399934,0.7945259673489462,0.5346188634939966,3,3,pc_macro_dice,0.7945259673489462,0.5346188634939966
31,0.04206700741161649,0.7975782267620094,0.7817769818567478,0.7975782267620094,0.8077718939605921,3,0.16175468320584602,0.5395404706694209,0.46914851600246527,0.5395404706694209,0.6421160305820651,3,0.00016329346376758652,1,1,1,0,0.5422895582101553,423.3141628680005,49.306984687000295,472.70936066300055,0.7975782267620094,0.5395404706694209,3,3,pc_macro_dice,0.7975782267620094,0.5395404706694209
32,0.041320831440508174,0.8010601228583232,0.7853158428939108,0.8010601228583232,0.811284352191104,3,0.16701277670492032,0.5201069835603734,0.4066427313112428,0.5201069835603734,0.6402240881435163,3,0.0001547691295936576,1,1,1,0,0.5422895582101553,422.1088111600002,49.4657244250011,471.6555346360001,0.8010601228583232,0.5201069835603734,3,3,pc_macro_dice,0.8010601228583232,0.5201069835603734
33,0.04005123868870278,0.8042818579016675,0.7870094596564737,0.8042818579016675,0.8161666327309883,3,0.16183622887322477,0.5409845811300579,0.4749929358570133,0.5409845811300579,0.6436163931201824,3,0.00014623087040634242,1,1,1,0,0.5422895582101553,421.73555124000086,49.62882739399902,471.44134548500006,0.8042818579016675,0.5409845811300579,3,3,pc_macro_dice,0.8042818579016675,0.5409845811300579
34,0.03982208432338108,0.8089854585667837,0.7934498710156841,0.8089854585667837,0.8220542118872568,3,0.172442336062527,0.5328619055898076,0.4506838801731265,0.5328619055898076,0.64477509754215,3,0.00013770653623241348,1,1,1,0,0.5422895582101553,421.7039164430007,49.473884847999216,471.2670991819996,0.8089854585667837,0.5328619055898076,3,3,pc_macro_dice,0.8089854585667837,0.5328619055898076
35,0.039029378461809205,0.8102318860717006,0.7947389014786079,0.8102318860717006,0.8222033348651004,3,0.16428752990949685,0.5388453930035257,0.4656240728756212,0.5388453930035257,0.6410641322697188,3,0.00012922393167814387,1,1,1,0,0.5422895582101553,423.72459848200015,50.15497397400031,473.96038151799985,0.8102318860717006,0.5388453930035257,3,3,pc_macro_dice,0.8102318860717006,0.5388453930035257
36,0.03851021265985962,0.8140372728289914,0.797314842763212,0.8140372728289914,0.8276277412719636,3,0.17133310475167196,0.536429470599029,0.4591491127577683,0.536429470599029,0.6447588420013348,3,0.00012081072523646106,1,1,1,0,0.5422895582101553,423.5268654049996,49.743473396998525,473.3503968770001,0.8140372728289914,0.536429470599029,3,3,pc_macro_dice,0.8140372728289914,0.536429470599029
