epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9917851086886441,0,1
1,train,1,Necrotic-Core,0.027654767995581232,1,0
1,train,2,Edema,0.19272736030777501,1,0
1,train,3,Enhancing-Tumor,0.25775057790613726,1,0
1,eval,0,Background,0.9940064360781633,0,1
1,eval,1,Necrotic-Core,0.03814942948918378,1,0
1,eval,2,Edema,0.23468147182373292,1,0
1,eval,3,Enhancing-Tumor,0.3071926012935521,1,0
2,train,0,Background,0.9942381220867291,0,1
2,train,1,Necrotic-Core,0.25238030467890665,1,0
2,train,2,Edema,0.32599755272056585,1,0
2,train,3,Enhancing-Tumor,0.344670626864949,1,0
2,eval,0,Background,0.9949834196352955,0,1
2,eval,1,Necrotic-Core,0.39410017789803103,1,0
2,eval,2,Edema,0.4158308257645952,1,0
2,eval,3,Enhancing-Tumor,0.3760706826942375,1,0
3,train,0,Background,0.9946792147775254,0,1
3,train,1,Necrotic-Core,0.3935167273071799,1,0
3,train,2,Edema,0.5043492675456173,1,0
3,train,3,Enhancing-Tumor,0.4243327711767324,1,0
3,eval,0,Background,0.9950343930590047,0,1
3,eval,1,Necrotic-Core,0.3072239530837025,1,0
3,eval,2,Edema,0.5786099239085961,1,0
3,eval,3,Enhancing-Tumor,0.43000447511215717,1,0
4,train,0,Background,0.995032666403371,0,1
4,train,1,Necrotic-Core,0.4371476416409341,1,0
4,train,2,Edema,0.558683806448625,1,0
4,train,3,Enhancing-Tumor,0.46806622565006517,1,0
4,eval,0,Background,0.9956171632749702,0,1
4,eval,1,Necrotic-Core,0.40496241533342964,1,0
4,eval,2,Edema,0.5239797139784961,1,0
4,eval,3,Enhancing-Tumor,0.4516928803924711,1,0
5,train,0,Background,0.995277276665719,0,1
5,train,1,Necrotic-Core,0.4780412256110897,1,0
5,train,2,Edema,0.5844358749583022,1,0
5,train,3,Enhancing-Tumor,0.48657112247052847,1,0
5,eval,0,Background,0.9945501145058439,0,1
5,eval,1,Necrotic-Core,0.4264814534037672,1,0
5,eval,2,Edema,0.5048977485126034,1,0
5,eval,3,Enhancing-Tumor,0.4297948432669375,1,0
6,train,0,Background,0.9955176037943669,0,1
6,train,1,Necrotic-Core,0.5087946412057706,1,0
6,train,2,Edema,0.6082266432199469,1,0
6,train,3,Enhancing-Tumor,0.522761288745206,1,0
6,eval,0,Background,0.9950889850067135,0,1
6,eval,1,Necrotic-Core,0.2996619161704685,1,0
