epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9674301392750548,0,1
1,train,1,Necrotic-Core,0.021337228481780875,1,0
1,train,2,Edema,0.2728162187370502,1,0
1,train,3,Enhancing-Tumor,0.023791871008245234,1,0
1,eval,0,Background,0.9929680715200212,0,1
1,eval,1,Necrotic-Core,0.00014171696545313842,1,0
1,eval,2,Edema,0.4813398433055718,1,0
1,eval,3,Enhancing-Tumor,0.07203301280350158,1,0
2,train,0,Background,0.993852327514255,0,1
2,train,1,Necrotic-Core,0.0016503144952949083,1,0
2,train,2,Edema,0.3915080750284421,1,0
2,train,3,Enhancing-Tumor,0.27753709236639656,1,0
2,eval,0,Background,0.9947616803584174,0,1
2,eval,1,Necrotic-Core,0.002145279741167362,1,0
2,eval,2,Edema,0.35466137598348796,1,0
2,eval,3,Enhancing-Tumor,0.3378394457677863,1,0
3,train,0,Background,0.9944882241409149,0,1
3,train,1,Necrotic-Core,0.3113338707736012,1,0
3,train,2,Edema,0.4757152669414547,1,0
3,train,3,Enhancing-Tumor,0.3843463334780629,1,0
3,eval,0,Background,0.9951127096986062,0,1
3,eval,1,Necrotic-Core,0.32352968748737243,1,0
3,eval,2,Edema,0.5625712753716541,1,0
3,eval,3,Enhancing-Tumor,0.4224474206965426,1,0
4,train,0,Background,0.9948662355449718,0,1
4,train,1,Necrotic-Core,0.4296315608497496,1,0
4,train,2,Edema,0.5493193404688325,1,0
4,train,3,Enhancing-Tumor,0.44077352150239124,1,0
4,eval,0,Background,0.993937374797751,0,1
4,eval,1,Necrotic-Core,0.40052211743755056,1,0
4,eval,2,Edema,0.5707090410970305,1,0
4,eval,3,Enhancing-Tumor,0.4449560621687804,1,0
5,train,0,Background,0.9951161747492455,0,1
5,train,1,Necrotic-Core,0.45754612208029316,1,0
5,train,2,Edema,0.5741837409402075,1,0
5,train,3,Enhancing-Tumor,0.4684378971638429,1,0
5,eval,0,Background,0.9957399885455116,0,1
5,eval,1,Necrotic-Core,0.3737292418140877,1,0
5,eval,2,Edema,0.5355485517094606,1,0
5,eval,3,Enhancing-Tumor,0.45918232435058604,1,0
6,train,0,Background,0.9953770877835488,0,1
6,train,1,Necrotic-Core,0.4876477540406909,1,0
6,train,2,Edema,0.5986655369949082,1,0
6,train,3,Enhancing-Tumor,0.4972870625046078,1,0
6,eval,0,Background,0.9933503346558389,0,1
6,eval,1,Necrotic-Core,0.48476147435229366,1,0
6,eval,2,Edema,0.44091934094016744,1,0
6,eval,3,Enhancing-Tumor,0.30265899162348475,1,0
7,train,0,Background,0.9956058613148835,0,1
7,train,1,Necrotic-Core,0.5131541903798872,1,0
7,train,2,Edema,0.6195122342959348,1,0
