epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.8374151974678039,0.09610915628219176,0.00040529703156031826,0.09610915628219176,0.18694547509407203,3,0.15965456731475083,0.2122387480585679,1.8407172170547597e-06,0.2122387480585679,0.3375093371153824,3,0.00011999999999999999,1,1,1,1,0.2122387480585679,426.99537069199994,50.969875482999896,478.0618404580001,0.09610915628219176,0.2122387480585679,3,3,pc_macro_dice,0.09610915628219176,0.2122387480585679
2,0.14229976854324342,0.3166407268927104,0.23387355256098397,0.3166407268927104,0.3626312166851531,3,0.1294997222484297,0.3982140800032964,0.3711292701110824,0.3982140800032964,0.4380008861599449,3,0.00017999999999999998,1,1,1,1,0.3982140800032964,331.20551738300014,45.47872834399982,376.78092083499996,0.3166407268927104,0.3982140800032964,3,3,pc_macro_dice,0.3166407268927104,0.3982140800032964
3,0.12296073741912841,0.44057786281320493,0.3960973222434087,0.44057786281320493,0.5078345756873212,3,0.12112581599385115,0.44863849562940994,0.38625696891861544,0.44863849562940994,0.5057811682391872,3,0.00023999999999999998,1,1,1,1,0.44863849562940994,333.0030778559999,47.803165303000014,380.9011532100001,0.44057786281320493,0.44863849562940994,3,3,pc_macro_dice,0.44057786281320493,0.44863849562940994
4,0.11223033940792083,0.48422662567938846,0.4458324651652631,0.48422662567938846,0.5544358274102104,3,0.11405196966259343,0.4626168570552388,0.40153528863426224,0.4626168570552388,0.5437952057644235,3,0.0003,1,1,1,1,0.4626168570552388,333.2247142949998,46.04593246700006,379.36480895399995,0.48422662567938846,0.4626168570552388,3,3,pc_macro_dice,0.48422662567938846,0.4626168570552388
5,0.10566943757534027,0.5087229489263033,0.466240824816502,0.5087229489263033,0.5798549847732062,3,0.11473930520331783,0.4884181462923281,0.3812043202232535,0.4884181462923281,0.6074988844072475,3,0.0003,1,1,1,1,0.4884181462923281,358.6378348469998,47.833545073000096,406.58427361099984,0.5087229489263033,0.4884181462923281,3,3,pc_macro_dice,0.5087229489263033,0.4884181462923281
6,0.09781185210943222,0.540257557410017,0.5000533897902077,0.540257557410017,0.6073884815822199,3,0.11374118752113194,0.4833726902491349,0.38990588324511133,0.4833726902491349,0.5837286826796836,3,0.0002997561810369572,1,1,1,0,0.4884181462923281,361.2855177419997,48.70617975699997,410.0544410550001,0.540257557410017,0.4833726902491349,3,3,pc_macro_dice,0.540257557410017,0.4833726902491349
7,0.09191074281930924,0.5674378308623285,0.5369878822664086,0.5674378308623285,0.6268868930205792,3,0.1180305533395831,0.5023168212044812,0.44147510077759367,0.5023168212044812,0.61195926920809,3,0.0002990255194346082,1,1,1,1,0.5023168212044812,361.3067325279999,47.72734154,409.15363252099996,0.5674378308623285,0.5023168212044812,3,3,pc_macro_dice,0.5674378308623285,0.5023168212044812
8,0.08657485811710358,0.5930444815702877,0.5635877508050914,0.5930444815702877,0.6463846592538557,3,0.11560974595178465,0.4604168692800271,0.27349024954818335,0.4604168692800271,0.611810426296849,3,0.00029781039845923004,1,1,1,0,0.5023168212044812,358.9979267419999,47.35318581499996,406.4156184239996,0.5930444815702877,0.4604168692800271,3,3,pc_macro_dice,0.5930444815702877,0.4604168692800271
9,0.08095818489789963,0.6188270313856639,0.5903789246320991,0.6188270313856639,0.6661650428743856,3,0.11007999367774672,0.5169087507051089,0.46850738343613907,0.5169087507051089,0.6018223714772537,3,0.00029611478158287887,1,1,1,1,0.5169087507051089,364.2740751620004,49.958227883999825,414.3570755090004,0.6188270313856639,0.5169087507051089,3,3,pc_macro_dice,0.6188270313856639,0.5169087507051089
10,0.07676669710278511,0.6422475742302152,0.6117749436499473,0.6422475742302152,0.680336401582944,3,0.11831261082344753,0.4951063572447834,0.4291364706460082,0.4951063572447834,0.5648255496673218,3,0.0002939441995553673,1,1,1,0,0.5169087507051089,363.3321520490008,50.32585532200028,413.7199395609996,0.6422475742302152,0.4951063572447834,3,3,pc_macro_dice,0.6422475742302152,0.4951063572447834
11,0.07234977786540985,0.6628486780343522,0.6343875796047715,0.6628486780343522,0.6951420000246115,3,0.11779564509915698,0.4941613693619805,0.38808694401611504,0.4941613693619805,0.6028919339668993,3,0.0002913057323641089,1,1,1,0,0.5169087507051089,361.59782681199977,48.53896380200058,410.19816706300026,0.6628486780343522,0.4941613693619805,3,3,pc_macro_dice,0.6628486780343522,0.4941613693619805
12,0.0686581694483757,0.6809779959601201,0.6541358116377795,0.6809779959601201,0.7070288996342822,3,0.12007819526609342,0.5247768590764046,0.46234062072555604,0.5247768590764046,0.6092280972467174,3,0.00028820798614067006,1,1,1,1,0.5247768590764046,365.6164315139995,50.1470799789995,415.89827804299966,0.6809779959601201,0.5247768590764046,3,3,pc_macro_dice,0.6809779959601201,0.5247768590764046
13,0.06569058236479759,0.6948985364164898,0.6683965183075217,0.6948985364164898,0.7175396613885421,3,0.11904767419027674,0.5297267374013062,0.46184126638928863,0.5297267374013062,0.6190520807361654,3,0.000284661065089358,1,1,1,1,0.5297267374013062,365.6346442509994,48.97866919399985,414.75474759900044,0.6948985364164898,0.5297267374013062,3,3,pc_macro_dice,0.6948985364164898,0.5297267374013062
14,0.06281469707489014,0.7075397168302053,0.6824674762738684,0.7075397168302053,0.7270364824147161,3,0.11478756090543073,0.5266416668678043,0.4890157547164301,0.5266416668678043,0.5924717826955114,3,0.00028067653852940666,1,1,1,0,0.5297267374013062,362.95383232600034,50.115911503999996,413.1298836579999,0.7075397168302053,0.5266416668678043,3,3,pc_macro_dice,0.7075397168302053,0.5266416668678043
15,0.060733538991212845,0.7169206458631103,0.6921262079720587,0.7169206458631103,0.7345300365881703,3,0.12086424532874375,0.530870287065549,0.48607523825910487,0.530870287065549,0.600912810059152,3,0.00027626740315826157,1,1,1,1,0.530870287065549,356.96774738299973,48.53926591199979,405.6249078139999,0.7169206458631103,0.530870287065549,3,3,pc_macro_dice,0.7169206458631103,0.530870287065549
16,0.05827619105577469,0.7273619122877452,0.7035092480375821,0.7273619122877452,0.7429967130536074,3,0.1356278953800915,0.514333631033833,0.3957398140357698,0.514333631033833,0.6330512794597033,3,0.0002714480406590546,1,1,1,0,0.530870287065549,359.9012948899999,46.77692308299993,407.26523324000027,0.7273619122877452,0.514333631033833,3,3,pc_macro_dice,0.7273619122877452,0.514333631033833
17,0.05633981530070305,0.7360579003638105,0.7126628726260114,0.7360579003638105,0.7497370326206225,3,0.1289624691389169,0.5288358354256372,0.4597282843635569,0.5288358354256372,0.6171709688601238,3,0.00026623417079054285,1,1,1,0,0.530870287065549,358.05795844099976,47.93562002999988,406.05743074699967,0.7360579003638105,0.5288358354256372,3,3,pc_macro_dice,0.7360579003638105,0.5288358354256372
18,0.05478255365490913,0.7432416461810818,0.7205762712445085,0.7432416461810818,0.7550179953425161,3,0.12401374334552485,0.5316807955557545,0.48635070065429703,0.5316807955557545,0.6072483822913244,3,0.0002606428001125225,1,1,1,1,0.5316807955557545,359.94594167300056,49.084718674000214,409.15296742099963,0.7432416461810818,0.5316807955557545,3,3,pc_macro_dice,0.7432416461810818,0.5316807955557545
19,0.053139323034882543,0.7498933500121807,0.7274949748695171,0.7498933500121807,0.7614625140408017,3,0.13341294252758573,0.5364490250071048,0.4726418310288302,0.5364490250071048,0.6309973728153989,3,0.00025469216651396635,1,1,1,1,0.5364490250071048,359.7787851459998,48.15796308099925,408.05126387699875,0.7498933500121807,0.5364490250071048,3,3,pc_macro_dice,0.7498933500121807,0.5364490250071048
20,0.05175536807775497,0.7562465581093624,0.7345316577139445,0.7562465581093624,0.767839742910153,3,0.1354108243041737,0.5278400966860556,0.439020318735205,0.5278400966860556,0.627836268948748,3,0.0002484016797248201,1,1,1,0,0.5364490250071048,357.35921399700055,47.00969291000001,404.4282845880007,0.7562465581093624,0.5278400966860556,3,3,pc_macro_dice,0.7562465581093624,0.5278400966860556
21,0.05024198095202446,0.7626446167748802,0.741715107866458,0.7626446167748802,0.774397165182641,3,0.1321582202414039,0.509259751468908,0.4003133997570054,0.509259751468908,0.6160334961904972,3,0.000241791858005498,1,1,1,0,0.5364490250071048,356.36664945400116,47.682261758000095,404.11061696400066,0.7626446167748802,0.509259751468908,3,3,pc_macro_dice,0.7626446167748802,0.509259751468908
22,0.04905023908913136,0.7672336276400071,0.7468835765315504,0.7672336276400071,0.7787595648040421,3,0.14791825140832335,0.5243893659526795,0.4276762230833529,0.5243893659526795,0.6376874210496656,3,0.00023488426122058199,1,1,1,0,0.5364490250071048,350.128857452999,45.470193343000574,395.6598013499988,0.7672336276400071,0.5243893659526795,3,3,pc_macro_dice,0.7672336276400071,0.5243893659526795
23,0.04773928776681423,0.7733237401519482,0.7526775324231494,0.7733237401519482,0.7862023436299314,3,0.14779462303467997,0.5388225533019724,0.48198535068512444,0.5388225533019724,0.6321346580524658,3,0.0002277014205150248,1,1,1,1,0.5388225533019724,354.7679525780004,49.37224249499923,404.26139779000005,0.7733237401519482,0.5388225533019724,3,3,pc_macro_dice,0.7733237401519482,0.5388225533019724
24,0.04697154140472412,0.7763964452694336,0.7566527295147181,0.7763964452694336,0.7880533686453783,3,0.14179442028046413,0.5261368550054375,0.436422386392469,0.5261368550054375,0.6306287159326573,3,0.0002202667648222382,1,1,1,0,0.5388225533019724,355.94900049699936,46.93811776799885,402.9491301020007,0.7763964452694336,0.5261368550054375,3,3,pc_macro_dice,0.7763964452694336,0.5261368550054375
25,0.045524187830090525,0.7826576210778937,0.7633200158058863,0.7826576210778937,0.7953872356837677,3,0.14375357711865644,0.5349212856814751,0.46026141330668996,0.5349212856814751,0.6343901894720109,3,0.00021260454444378202,1,1,1,0,0.5388225533019724,354.7308763639994,47.88593322000088,402.6766024570006,0.7826576210778937,0.5349212856814751,3,3,pc_macro_dice,0.7826576210778937,0.5349212856814751
26,0.04456233110427856,0.7868646804228675,0.7681914667175974,0.7868646804228675,0.7998039635990675,3,0.1547736804813716,0.5160848276750845,0.3996027247599056,0.5160848276750845,0.6394583444009552,3,0.0002047397519499208,1,1,1,0,0.5388225533019724,356.6484421189998,45.51811498200004,402.2281294629993,0.7868646804228675,0.5160848276750845,3,3,pc_macro_dice,0.7868646804228675,0.5160848276750845
27,0.043747810128331184,0.7904610267736438,0.7717997903530168,0.7904610267736438,0.8032876619290867,3,0.15862419489462665,0.5166633631745063,0.4026921764470498,0.5166633631745063,0.6379222368160726,3,0.00019669804065905463,1,1,1,0,0.5388225533019724,355.57161880900094,46.94975215500017,402.5845289930003,0.7904610267736438,0.5166633631745063,3,3,pc_macro_dice,0.7904610267736438,0.5166633631745063
