epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.947783688750488,0,1
1,train,1,Necrotic-Core,0.04218346162332049,1,0
1,train,2,Edema,0.07660574553909416,1,0
1,train,3,Enhancing-Tumor,0.06789769086677877,1,0
1,eval,0,Background,0.9934162785110449,0,1
1,eval,1,Necrotic-Core,0.27644813863197615,1,0
1,eval,2,Edema,0.20579770387786459,1,0
1,eval,3,Enhancing-Tumor,0.28136988707191435,1,0
2,train,0,Background,0.9933859220677332,0,1
2,train,1,Necrotic-Core,0.27926203141769956,1,0
2,train,2,Edema,0.3428239899314507,1,0
2,train,3,Enhancing-Tumor,0.31043925287290186,1,0
2,eval,0,Background,0.9944897311760666,0,1
2,eval,1,Necrotic-Core,0.299615727820182,1,0
2,eval,2,Edema,0.38295556009693543,1,0
2,eval,3,Enhancing-Tumor,0.35875119027985325,1,0
3,train,0,Background,0.9940631802845069,0,1
3,train,1,Necrotic-Core,0.39082539466166943,1,0
3,train,2,Edema,0.4759443834502581,1,0
3,train,3,Enhancing-Tumor,0.3780442168821165,1,0
3,eval,0,Background,0.9945425400172386,0,1
3,eval,1,Necrotic-Core,0.2571413184799111,1,0
3,eval,2,Edema,0.5268736539938323,1,0
3,eval,3,Enhancing-Tumor,0.39268834197871744,1,0
4,train,0,Background,0.9945081133859262,0,1
4,train,1,Necrotic-Core,0.43868060080191484,1,0
4,train,2,Edema,0.5297986622194146,1,0
4,train,3,Enhancing-Tumor,0.4232867042501153,1,0
4,eval,0,Background,0.9949433566095175,0,1
4,eval,1,Necrotic-Core,0.3539708574273017,1,0
4,eval,2,Edema,0.4827240527878382,1,0
4,eval,3,Enhancing-Tumor,0.38352891802140177,1,0
5,train,0,Background,0.9947282050136147,0,1
5,train,1,Necrotic-Core,0.4656955525390851,1,0
5,train,2,Edema,0.5577067557679003,1,0
5,train,3,Enhancing-Tumor,0.4516429274481701,1,0
5,eval,0,Background,0.9910473545091792,0,1
5,eval,1,Necrotic-Core,0.4071226909837917,1,0
5,eval,2,Edema,0.46382042720947847,1,0
5,eval,3,Enhancing-Tumor,0.35719255028644203,1,0
6,train,0,Background,0.9950570194437867,0,1
6,train,1,Necrotic-Core,0.5011785852041613,1,0
6,train,2,Edema,0.5871636136062204,1,0
6,train,3,Enhancing-Tumor,0.48780499330597593,1,0
6,eval,0,Background,0.994656310938161,0,1
6,eval,1,Necrotic-Core,0.46383185955219297,1,0
6,eval,2,Edema,0.38674676701923366,1,0
6,eval,3,Enhancing-Tumor,0.3378396769735476,1,0
7,train,0,Background,0.9953194722297132,0,1
7,train,1,Necrotic-Core,0.5306498961994759,1,0
7,train,2,Edema,0.6102544826897919,1,0
7,train,3,Enhancing-Tumor,0.5166046948954467,1,0
7,eval,0,Background,0.995481868281707,0,1
7,eval,1,Necrotic-Core,0.3708110468286926,1,0
7,eval,2,Edema,0.5723114861775643,1,0
7,eval,3,Enhancing-Tumor,0.43735455305809173,1,0
8,train,0,Background,0.9955030169005344,0,1
8,train,1,Necrotic-Core,0.5624195474177104,1,0
8,train,2,Edema,0.6304144099197136,1,0
8,train,3,Enhancing-Tumor,0.5431355225991664,1,0
8,eval,0,Background,0.995504979124936,0,1
8,eval,1,Necrotic-Core,0.4442284379799352,1,0
8,eval,2,Edema,0.5438146600539244,1,0
8,eval,3,Enhancing-Tumor,0.449167726305101,1,0
9,train,0,Background,0.9956459194497936,0,1
