epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.6276456409047682,0.3360247547915958,0.18802688448455798,0.3360247547915958,0.6082898627219069,3,0.09702537913516068,0.5551843437750463,0.3920562782196077,0.5551843437750463,0.6888408085148601,3,0.00011999999999999999,1,1,1,1,0.5551843437750463,213.38705221200007,28.95669778699994,242.491235061,0.3360247547915958,0.5551843437750463,3,3,pc_macro_dice,0.3360247547915958,0.5551843437750463
2,0.07257538142140967,0.686429342409908,0.6435165019058277,0.686429342409908,0.7574451105557884,3,0.07711608293851849,0.6803464135351978,0.5998976943502742,0.6803464135351978,0.776010854585669,3,0.00017999999999999998,1,1,1,1,0.6803464135351978,168.07589913399988,27.18698223299998,195.42300123199993,0.686429342409908,0.6803464135351978,3,3,pc_macro_dice,0.686429342409908,0.6803464135351978
3,0.060753584785845145,0.7412124708882104,0.676571974691299,0.7412124708882104,0.7965292171301439,3,0.0713503531945549,0.6968210005912607,0.659641622255985,0.6968210005912607,0.7648516870361013,3,0.00023999999999999998,1,1,1,1,0.6968210005912607,167.63035909099972,28.183905831000175,195.9694853420001,0.7412124708882104,0.6968210005912607,3,3,pc_macro_dice,0.7412124708882104,0.6968210005912607
4,0.05342101161412823,0.7621565260138655,0.6968561528162758,0.7621565260138655,0.8125854813542599,3,0.08261804546268099,0.7129554120471371,0.6435741707090704,0.7129554120471371,0.822973676311855,3,0.0003,1,1,1,1,0.7129554120471371,167.0291017909999,25.208957050999743,192.39745997,0.7621565260138655,0.7129554120471371,3,3,pc_macro_dice,0.7621565260138655,0.7129554120471371
5,0.04934157749798637,0.7819969892792505,0.7138215873073788,0.7819969892792505,0.8270609065631203,3,0.06456774090131993,0.7392142240099107,0.6863298443295646,0.7392142240099107,0.8189833465386435,3,0.0003,1,1,1,1,0.7392142240099107,167.82926485500002,25.789914035000038,193.75884104499983,0.7819969892792505,0.7392142240099107,3,3,pc_macro_dice,0.7819969892792505,0.7392142240099107
6,0.04487103670716476,0.8000423859998542,0.7336951667578272,0.8000423859998542,0.8365653594535033,3,0.07188136742938203,0.7244921435019253,0.6849053668393972,0.7244921435019253,0.7934584067399646,3,0.00029882114784651444,1,1,1,0,0.7392142240099107,166.6700055629999,26.013095802999942,192.75603558500006,0.8000423859998542,0.7244921435019253,3,3,pc_macro_dice,0.8000423859998542,0.7244921435019253
7,0.042413358023158085,0.8121634689808191,0.7474456618264329,0.8121634689808191,0.844785628373763,3,0.06160723648900107,0.75998865180802,0.7061571368972681,0.75998865180802,0.8297009798795096,3,0.00029530318258873034,1,1,1,1,0.75998865180802,166.82921945199996,25.454721156000232,192.43077313000003,0.8121634689808191,0.75998865180802,3,3,pc_macro_dice,0.8121634689808191,0.75998865180802
8,0.03834289463962943,0.8260082998863274,0.7634617467913629,0.8260082998863274,0.8589504002976235,3,0.06729772559717108,0.7434538789801635,0.698473593336012,0.7434538789801635,0.8288871930957232,3,0.00028950158464029354,1,1,1,0,0.75998865180802,166.90426749400012,25.76663937300009,192.7435989730002,0.8260082998863274,0.7434538789801635,3,3,pc_macro_dice,0.8260082998863274,0.7434538789801635
9,0.03641444492263916,0.8311699823536626,0.7736465251712589,0.8311699823536626,0.8617249465268814,3,0.07457287649766417,0.7491009797624102,0.6994615497744208,0.7491009797624102,0.8418970365970868,3,0.00028150784866655756,1,1,1,0,0.75998865180802,167.23809886900017,25.47694533799995,192.7905754999997,0.8311699823536626,0.7491009797624102,3,3,pc_macro_dice,0.8311699823536626,0.7491009797624102
10,0.034427693438011046,0.8401441929149273,0.7855133065781766,0.8401441929149273,0.871351531200696,3,0.0602101506672764,0.7419899212427393,0.6999779572549479,0.7419899212427393,0.8102247883036532,3,0.0002714480406590546,1,1,1,0,0.75998865180802,166.95722870200007,25.88962104800021,192.92122946900008,0.8401441929149273,0.7419899212427393,3,3,pc_macro_dice,0.8401441929149273,0.7419899212427393
