epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9772640880524808,0,1
1,train,1,Necrotic-Core,0.15711997863387786,1,0
1,train,2,Edema,0.2088979605112833,1,0
1,train,3,Enhancing-Tumor,0.5454922182955555,1,0
1,eval,0,Background,0.9936542139935616,0,1
1,eval,1,Necrotic-Core,0.5472200691680376,1,0
1,eval,2,Edema,0.5803343834532619,1,0
1,eval,3,Enhancing-Tumor,0.7074123431228442,1,0
2,train,0,Background,0.9951624005736472,0,1
2,train,1,Necrotic-Core,0.6953478071703194,1,0
2,train,2,Edema,0.645690351157288,1,0
2,train,3,Enhancing-Tumor,0.7714869315644705,1,0
2,eval,0,Background,0.9953332696114179,0,1
2,eval,1,Necrotic-Core,0.6809555513342938,1,0
2,eval,2,Edema,0.6488400637369476,1,0
2,eval,3,Enhancing-Tumor,0.734642155088396,1,0
3,train,0,Background,0.9956170541523375,0,1
3,train,1,Necrotic-Core,0.7595827160816822,1,0
3,train,2,Edema,0.6782837706897488,1,0
3,train,3,Enhancing-Tumor,0.8053230111260381,1,0
3,eval,0,Background,0.9955713848921458,0,1
3,eval,1,Necrotic-Core,0.7007782472796467,1,0
3,eval,2,Edema,0.6708236966531345,1,0
3,eval,3,Enhancing-Tumor,0.8234039524651373,1,0
4,train,0,Background,0.9960272856678721,0,1
4,train,1,Necrotic-Core,0.7873733255971296,1,0
4,train,2,Edema,0.701077051086726,1,0
4,train,3,Enhancing-Tumor,0.8181077045896944,1,0
4,eval,0,Background,0.9964469017181122,0,1
4,eval,1,Necrotic-Core,0.5479182473770664,1,0
4,eval,2,Edema,0.6822954222143787,1,0
4,eval,3,Enhancing-Tumor,0.8041634093748335,1,0
5,train,0,Background,0.9962115774013719,0,1
5,train,1,Necrotic-Core,0.8147504044967733,1,0
5,train,2,Edema,0.7160297802974417,1,0
5,train,3,Enhancing-Tumor,0.8316519756443035,1,0
5,eval,0,Background,0.9961259201850128,0,1
5,eval,1,Necrotic-Core,0.7075623909807105,1,0
5,eval,2,Edema,0.7010986301675355,1,0
5,eval,3,Enhancing-Tumor,0.828435145486831,1,0
6,train,0,Background,0.9965379547438634,0,1
6,train,1,Necrotic-Core,0.8412989165980747,1,0
6,train,2,Edema,0.7397866685446284,1,0
6,train,3,Enhancing-Tumor,0.8433948622803974,1,0
6,eval,0,Background,0.996369004491612,0,1
6,eval,1,Necrotic-Core,0.7238878562710659,1,0
6,eval,2,Edema,0.7082602927742712,1,0
6,eval,3,Enhancing-Tumor,0.7777860090074579,1,0
7,train,0,Background,0.9967170228338319,0,1
7,train,1,Necrotic-Core,0.8579450063938331,1,0
7,train,2,Edema,0.7580196450438675,1,0
7,train,3,Enhancing-Tumor,0.8543640993631195,1,0
7,eval,0,Background,0.9967092594389747,0,1
7,eval,1,Necrotic-Core,0.6942461619603969,1,0
7,eval,2,Edema,0.7118359399241122,1,0
7,eval,3,Enhancing-Tumor,0.8368993251398955,1,0
8,train,0,Background,0.9969757972440674,0,1
8,train,1,Necrotic-Core,0.8691668206167699,1,0
8,train,2,Edema,0.7729728148765543,1,0
8,train,3,Enhancing-Tumor,0.86648421829623,1,0
8,eval,0,Background,0.9965760151530559,0,1
8,eval,1,Necrotic-Core,0.7082555515302023,1,0
8,eval,2,Edema,0.718947625091504,1,0
8,eval,3,Enhancing-Tumor,0.847572938494721,1,0
9,train,0,Background,0.9971050140640388,0,1
9,train,1,Necrotic-Core,0.8712296199748769,1,0
9,train,2,Edema,0.7820849548459365,1,0
9,train,3,Enhancing-Tumor,0.8685920929610514,1,0
9,eval,0,Background,0.9959522511800649,0,1
