epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.6889589192277302,0.21517637953015772,0.07645836130188155,0.21517637953015772,0.40304814199153516,3,0.08754983451589347,0.6131467887687817,0.540471873142158,0.6131467887687817,0.696027751196338,3,0.00011999999999999999,1,1,1,1,0.6131467887687817,261.39487026999996,32.741155150000395,294.32649358499975,0.21517637953015772,0.6131467887687817,3,3,pc_macro_dice,0.21517637953015772,0.6131467887687817
2,0.07175203859091947,0.6918185601353019,0.6434031535799141,0.6918185601353019,0.7615244854271621,3,0.07036923444472824,0.6838681054031428,0.6543611550057126,0.6838681054031428,0.7418026528455514,3,0.00017999999999999998,1,1,1,1,0.6838681054031428,177.71486244900007,28.265322796999953,206.1470983700001,0.6918185601353019,0.6838681054031428,3,3,pc_macro_dice,0.6918185601353019,0.6838681054031428
3,0.06064669807224323,0.7398821904720951,0.6771042830628203,0.7398821904720951,0.7966556021589944,3,0.06512340315812515,0.730437033609781,0.6830772112624988,0.730437033609781,0.822661011223591,3,0.00023999999999999998,1,1,1,1,0.730437033609781,177.10471238499986,28.438068723000015,205.72427762999996,0.7398821904720951,0.730437033609781,3,3,pc_macro_dice,0.7398821904720951,0.730437033609781
4,0.05280041453404763,0.7627704480338796,0.6973949283641436,0.7627704480338796,0.8131833648034626,3,0.06384635849866255,0.717098581722535,0.67178122342468,0.717098581722535,0.7892665735383904,3,0.0003,1,1,1,0,0.730437033609781,174.36035540900002,26.521102026000335,200.97213386500016,0.7627704480338796,0.717098581722535,3,3,pc_macro_dice,0.7627704480338796,0.717098581722535
5,0.04836729871772658,0.7876879093358845,0.7152311158091904,0.7876879093358845,0.8321173038204853,3,0.06072245758679954,0.738302119069267,0.6684127069322756,0.738302119069267,0.8176609656552224,3,0.0003,1,1,1,1,0.738302119069267,507.59809893700003,57.959826821000206,565.7911785339998,0.7876879093358845,0.738302119069267,3,3,pc_macro_dice,0.7876879093358845,0.738302119069267
6,0.04400428701578952,0.8040350754279149,0.735761610790108,0.8040350754279149,0.8437004176942589,3,0.06175625588099201,0.7443849284380566,0.7058324209003836,0.7443849284380566,0.8108868508561191,3,0.00029882114784651444,1,1,1,1,0.7443849284380566,504.1555360520001,57.48929884300014,561.8645545349996,0.8040350754279149,0.7443849284380566,3,3,pc_macro_dice,0.8040350754279149,0.7443849284380566
7,0.04110315335079873,0.8180878481640833,0.7516990129259383,0.8180878481640833,0.8527254567253163,3,0.06668117613126799,0.7630588877397139,0.7144134046572939,0.7630588877397139,0.8543739878198453,3,0.00029530318258873034,1,1,1,1,0.7630588877397139,504.80843640199964,56.33171430399943,561.3508252520005,0.8180878481640833,0.7630588877397139,3,3,pc_macro_dice,0.8180878481640833,0.7630588877397139
8,0.037276768731845975,0.8312637838418292,0.766616426405868,0.8312637838418292,0.8640067648556674,3,0.06955977340428585,0.7503913962176322,0.6777041186862192,0.7503913962176322,0.8584641481126474,3,0.00028950158464029354,1,1,1,0,0.7630588877397139,504.50052280100044,56.6277371770002,561.2392050449998,0.8312637838418292,0.7503913962176322,3,3,pc_macro_dice,0.8312637838418292,0.7503913962176322
9,0.03553039482988108,0.8364673162707864,0.7760645615161627,0.8364673162707864,0.8667183424400976,3,0.061904889193066685,0.7641929410217609,0.7232880124660436,0.7641929410217609,0.8451162440353688,3,0.00028150784866655756,1,1,1,1,0.7641929410217609,504.99771833700015,57.109468639000625,562.3386006660003,0.8364673162707864,0.7641929410217609,3,3,pc_macro_dice,0.8364673162707864,0.7641929410217609
10,0.03326127574832652,0.8465062566607422,0.7886351357124208,0.8465062566607422,0.8779203256579764,3,0.05975461086576667,0.7601342388418765,0.719945379816409,0.7601342388418765,0.8328976356989894,3,0.0002714480406590546,1,1,1,0,0.7641929410217609,506.02089896800044,56.968578224999874,563.1213161400001,0.8465062566607422,0.7601342388418765,3,3,pc_macro_dice,0.8465062566607422,0.7601342388418765
