epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9499195143590005,0,1
1,train,1,Necrotic-Core,0.16602263529705655,1,0
1,train,2,Edema,0.40304814199153516,1,0
1,train,3,Enhancing-Tumor,0.07645836130188155,1,0
1,eval,0,Background,0.9942907401482054,0,1
1,eval,1,Necrotic-Core,0.540471873142158,1,0
1,eval,2,Edema,0.6029407419678492,1,0
1,eval,3,Enhancing-Tumor,0.696027751196338,1,0
2,train,0,Background,0.995091739174801,0,1
2,train,1,Necrotic-Core,0.6705280413988292,1,0
2,train,2,Edema,0.6434031535799141,1,0
2,train,3,Enhancing-Tumor,0.7615244854271621,1,0
2,eval,0,Background,0.995559394013963,0,1
2,eval,1,Necrotic-Core,0.6543611550057126,1,0
2,eval,2,Edema,0.6554405083581647,1,0
2,eval,3,Enhancing-Tumor,0.7418026528455514,1,0
3,train,0,Background,0.99557789235217,0,1
3,train,1,Necrotic-Core,0.7458866861944707,1,0
3,train,2,Edema,0.6771042830628203,1,0
3,train,3,Enhancing-Tumor,0.7966556021589944,1,0
3,eval,0,Background,0.9960764937913216,0,1
3,eval,1,Necrotic-Core,0.6855728783432532,1,0
3,eval,2,Edema,0.6830772112624988,1,0
3,eval,3,Enhancing-Tumor,0.822661011223591,1,0
4,train,0,Background,0.9959585265383524,0,1
4,train,1,Necrotic-Core,0.7777330509340328,1,0
4,train,2,Edema,0.6973949283641436,1,0
4,train,3,Enhancing-Tumor,0.8131833648034626,1,0
4,eval,0,Background,0.9960507723563884,0,1
4,eval,1,Necrotic-Core,0.67178122342468,1,0
4,eval,2,Edema,0.6902479482045346,1,0
4,eval,3,Enhancing-Tumor,0.7892665735383904,1,0
5,train,0,Background,0.9961719500886492,0,1
5,train,1,Necrotic-Core,0.8157153083779779,1,0
5,train,2,Edema,0.7152311158091904,1,0
5,train,3,Enhancing-Tumor,0.8321173038204853,1,0
5,eval,0,Background,0.9950777846097499,0,1
5,eval,1,Necrotic-Core,0.7288326846203028,1,0
5,eval,2,Edema,0.6684127069322756,1,0
5,eval,3,Enhancing-Tumor,0.8176609656552224,1,0
6,train,0,Background,0.9964733494689977,0,1
6,train,1,Necrotic-Core,0.8326431977993778,1,0
6,train,2,Edema,0.735761610790108,1,0
6,train,3,Enhancing-Tumor,0.8437004176942589,1,0
6,eval,0,Background,0.9962320950028253,0,1
6,eval,1,Necrotic-Core,0.7164355135576674,1,0
6,eval,2,Edema,0.7058324209003836,1,0
6,eval,3,Enhancing-Tumor,0.8108868508561191,1,0
7,train,0,Background,0.996620654117721,0,1
7,train,1,Necrotic-Core,0.8498390748409955,1,0
7,train,2,Edema,0.7516990129259383,1,0
7,train,3,Enhancing-Tumor,0.8527254567253163,1,0
7,eval,0,Background,0.9966372520009615,0,1
7,eval,1,Necrotic-Core,0.7203892707420027,1,0
7,eval,2,Edema,0.7144134046572939,1,0
7,eval,3,Enhancing-Tumor,0.8543739878198453,1,0
8,train,0,Background,0.9968800806731636,0,1
8,train,1,Necrotic-Core,0.8631681602639524,1,0
8,train,2,Edema,0.766616426405868,1,0
8,train,3,Enhancing-Tumor,0.8640067648556674,1,0
8,eval,0,Background,0.9965405226546653,0,1
8,eval,1,Necrotic-Core,0.6777041186862192,1,0
8,eval,2,Edema,0.7150059218540299,1,0
8,eval,3,Enhancing-Tumor,0.8584641481126474,1,0
9,train,0,Background,0.9970269163705727,0,1
9,train,1,Necrotic-Core,0.8666190448560992,1,0
9,train,2,Edema,0.7760645615161627,1,0
9,train,3,Enhancing-Tumor,0.8667183424400976,1,0
9,eval,0,Background,0.9966720815812159,0,1
9,eval,1,Necrotic-Core,0.7241745665638704,1,0
9,eval,2,Edema,0.7232880124660436,1,0
9,eval,3,Enhancing-Tumor,0.8451162440353688,1,0
10,train,0,Background,0.9971938657133059,0,1
10,train,1,Necrotic-Core,0.8779203256579764,1,0
10,train,2,Edema,0.7886351357124208,1,0
10,train,3,Enhancing-Tumor,0.8729633086118297,1,0
10,eval,0,Background,0.9964296602294472,0,1
10,eval,1,Necrotic-Core,0.727559701010231,1,0
10,eval,2,Edema,0.719945379816409,1,0
10,eval,3,Enhancing-Tumor,0.8328976356989894,1,0
11,train,0,Background,0.9972967012235457,0,1
11,train,1,Necrotic-Core,0.8834693639498782,1,0
11,train,2,Edema,0.796020488380199,1,0
11,train,3,Enhancing-Tumor,0.8763843945739175,1,0
11,eval,0,Background,0.9965892711440785,0,1
11,eval,1,Necrotic-Core,0.6911526894343417,1,0
11,eval,2,Edema,0.7230557846049368,1,0
11,eval,3,Enhancing-Tumor,0.8523134063096336,1,0
12,train,0,Background,0.997408850883405,0,1
12,train,1,Necrotic-Core,0.8847494682193403,1,0
12,train,2,Edema,0.8065048803806844,1,0
12,train,3,Enhancing-Tumor,0.878487878666786,1,0
12,eval,0,Background,0.996862201272105,0,1
12,eval,1,Necrotic-Core,0.719202631940393,1,0
12,eval,2,Edema,0.7313834399236585,1,0
12,eval,3,Enhancing-Tumor,0.8489914672604504,1,0
13,train,0,Background,0.9975509888103135,0,1
13,train,1,Necrotic-Core,0.8904006405707444,1,0
13,train,2,Edema,0.8138973495890403,1,0
13,train,3,Enhancing-Tumor,0.8852807833831864,1,0
13,eval,0,Background,0.9966119393389431,0,1
13,eval,1,Necrotic-Core,0.7413149782298971,1,0
13,eval,2,Edema,0.7275113893259453,1,0
13,eval,3,Enhancing-Tumor,0.8621245430581919,1,0
14,train,0,Background,0.9976093488241343,0,1
14,train,1,Necrotic-Core,0.8958665931920146,1,0
14,train,2,Edema,0.81954080478983,1,0
14,train,3,Enhancing-Tumor,0.886712905775543,1,0
14,eval,0,Background,0.9968532567092528,0,1
14,eval,1,Necrotic-Core,0.7271167678023784,1,0
14,eval,2,Edema,0.7302412494637441,1,0
14,eval,3,Enhancing-Tumor,0.854654925632542,1,0
15,train,0,Background,0.9977361503429442,0,1
15,train,1,Necrotic-Core,0.9005325989853302,1,0
15,train,2,Edema,0.8275579443182383,1,0
15,train,3,Enhancing-Tumor,0.8897055682137107,1,0
15,eval,0,Background,0.9969435089997581,0,1
15,eval,1,Necrotic-Core,0.7083405338310137,1,0
15,eval,2,Edema,0.7354131687528793,1,0
15,eval,3,Enhancing-Tumor,0.8654807189076716,1,0
16,train,0,Background,0.9978066550583863,0,1
16,train,1,Necrotic-Core,0.9049708804240556,1,0
16,train,2,Edema,0.8332486744974915,1,0
16,train,3,Enhancing-Tumor,0.8945552496987974,1,0
16,eval,0,Background,0.9968268545104144,0,1
16,eval,1,Necrotic-Core,0.7224727488505861,1,0
16,eval,2,Edema,0.7342638669294285,1,0
16,eval,3,Enhancing-Tumor,0.8644916181855963,1,0
17,train,0,Background,0.9979029190954501,0,1
17,train,1,Necrotic-Core,0.9065877225802336,1,0
17,train,2,Edema,0.839093088089673,1,0
17,train,3,Enhancing-Tumor,0.8960001881457903,1,0
17,eval,0,Background,0.9969922481880078,0,1
17,eval,1,Necrotic-Core,0.7360927212783007,1,0
17,eval,2,Edema,0.7376556788255653,1,0
17,eval,3,Enhancing-Tumor,0.8602107084780526,1,0
18,train,0,Background,0.9979459359584195,0,1
18,train,1,Necrotic-Core,0.909891912086626,1,0
18,train,2,Edema,0.8417814890367853,1,0
18,train,3,Enhancing-Tumor,0.8993746096837489,1,0
18,eval,0,Background,0.9968822080036732,0,1
18,eval,1,Necrotic-Core,0.7428039913192472,1,0
18,eval,2,Edema,0.7371640352214992,1,0
18,eval,3,Enhancing-Tumor,0.8583693536191629,1,0
19,train,0,Background,0.9980014878530318,0,1
19,train,1,Necrotic-Core,0.9133747873171192,1,0
19,train,2,Edema,0.8462568871312339,1,0
19,train,3,Enhancing-Tumor,0.9016237601010963,1,0
19,eval,0,Background,0.9970297301285336,0,1
19,eval,1,Necrotic-Core,0.7211122828009411,1,0
19,eval,2,Edema,0.7377700088373147,1,0
19,eval,3,Enhancing-Tumor,0.8570854585079071,1,0
20,train,0,Background,0.9980539614142868,0,1
20,train,1,Necrotic-Core,0.9145930242912156,1,0
20,train,2,Edema,0.8525278712975599,1,0
