epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,1.1245987045879182,0.11098713509975533,0.020240662622593098,0.11098713509975533,0.18379807849071986,3,0.7458293255727002,0.5166663920471313,0.47627109152407954,0.5166663920471313,0.5882540699177967,3,0.00011999999999999999,1,1,1,1,0.5166663920471313,250.69466340300005,30.956582660000095,281.8089297959998,0.11098713509975533,0.5166663920471313,3,3,pc_macro_dice,0.11098713509975533,0.5166663920471313
2,0.10210785047171976,0.6575084946634389,0.6123923843103576,0.6575084946634389,0.743106253416047,3,0.07536087460092204,0.6742201249176502,0.5997705336389352,0.6742201249176502,0.7658062532801276,3,0.00017999999999999998,1,1,1,1,0.6742201249176502,175.38821124300011,27.83456936200014,203.38458199599995,0.6575084946634389,0.6742201249176502,3,3,pc_macro_dice,0.6575084946634389,0.6742201249176502
3,0.06197964006993241,0.7392267229853056,0.6734992690834248,0.7392267229853056,0.8007422495049841,3,0.07034865638632683,0.7072924137313016,0.6694105366070584,0.7072924137313016,0.7801411486565246,3,0.00023999999999999998,1,1,1,1,0.7072924137313016,175.3079690259999,28.4297092339998,203.912637937,0.7392267229853056,0.7072924137313016,3,3,pc_macro_dice,0.7392267229853056,0.7072924137313016
4,0.05381392037716155,0.7606342037160305,0.6935249710467738,0.7606342037160305,0.8172641650947,3,0.06781116032314481,0.7348469501485251,0.6813991964066385,0.7348469501485251,0.8344676089793733,3,0.0003,1,1,1,1,0.7348469501485251,173.58744540099974,25.892663403999904,199.62757719099977,0.7606342037160305,0.7348469501485251,3,3,pc_macro_dice,0.7606342037160305,0.7348469501485251
5,0.049426939656821114,0.784386487730807,0.711653827723614,0.784386487730807,0.8321917674666475,3,0.06171711712666331,0.7462015331704184,0.6887856364851666,0.7462015331704184,0.8216691778799168,3,0.0003,1,1,1,1,0.7462015331704184,426.8958313339999,50.57171616599999,477.66649355000027,0.784386487730807,0.7462015331704184,3,3,pc_macro_dice,0.784386487730807,0.7462015331704184
6,0.04484527091831921,0.8021904611337687,0.7321397644417069,0.8021904611337687,0.8434776147474286,3,0.06299543596513474,0.7436157488121743,0.6840518218057529,0.7436157488121743,0.824859008145585,3,0.00029882114784651444,1,1,1,0,0.7462015331704184,425.89408933000004,49.8661473950001,475.83660463199976,0.8021904611337687,0.7436157488121743,3,3,pc_macro_dice,0.8021904611337687,0.7436157488121743
7,0.041894230357826516,0.8159753872351289,0.7471117755862398,0.8159753872351289,0.853124292361205,3,0.06160770700265695,0.7696453574252697,0.7147892875460039,0.7696453574252697,0.8502787768658369,3,0.00029530318258873034,1,1,1,1,0.7696453574252697,426.39062104100003,49.62750298099991,476.19924616200024,0.8159753872351289,0.7696453574252697,3,3,pc_macro_dice,0.8159753872351289,0.7696453574252697
8,0.0377124717366843,0.8310176611206059,0.7630910671219929,0.8310176611206059,0.8661387769586941,3,0.061087841059787165,0.7644409826555709,0.7208426829919848,0.7644409826555709,0.836702817511085,3,0.00028950158464029354,1,1,1,0,0.7696453574252697,425.6926850200002,50.03733623900007,475.8123971719997,0.8310176611206059,0.7644409826555709,3,3,pc_macro_dice,0.8310176611206059,0.7644409826555709
9,0.03600591903451247,0.8359657000965133,0.7724158750571644,0.8359657000965133,0.86809053031402,3,0.06714559168848476,0.7674101815397574,0.7196553958218564,0.7674101815397574,0.856872356559751,3,0.00028150784866655756,1,1,1,0,0.7696453574252697,427.3542336349997,50.30770356700032,477.7533998789995,0.8359657000965133,0.7674101815397574,3,3,pc_macro_dice,0.8359657000965133,0.7674101815397574
10,0.033859312995530355,0.8457115271377256,0.7842262698352291,0.8457115271377256,0.8791499127232711,3,0.06144882353900629,0.762379256630605,0.6881446180657246,0.762379256630605,0.8538968288973899,3,0.0002714480406590546,1,1,1,0,0.7696453574252697,428.510065255,50.611219762000474,479.2006126670003,0.8457115271377256,0.762379256630605,3,3,pc_macro_dice,0.8457115271377256,0.762379256630605
11,0.032153699865427834,0.8511442884300136,0.7921719861930937,0.8511442884300136,0.8843070391764554,3,0.07228957742095218,0.7606889861387414,0.7018675904835545,0.7606889861387414,0.858624211809988,3,0.000259480809799501,1,1,1,0,0.7696453574252697,428.03672683900004,50.01386956699935,478.13973118599915,0.8511442884300136,0.7606889861387414,3,3,pc_macro_dice,0.8511442884300136,0.7606889861387414
12,0.03089039573689905,0.8554681232392005,0.8021880950921324,0.8554681232392005,0.8855940534015744,3,0.070189663105582,0.7733393214225721,0.7318565159629336,0.7733393214225721,0.8542152206642308,3,0.0002457948864674291,1,1,1,1,0.7733393214225721,427.84593323899935,49.630434454999886,477.6547637170006,0.8554681232392005,0.7733393214225721,3,3,pc_macro_dice,0.8554681232392005,0.7733393214225721
13,0.029063767964799946,0.8625830867500467,0.8108720167306349,0.8625830867500467,0.8909742930990664,3,0.07007661821345863,0.7729811043182979,0.7274785740401386,0.7729811043182979,0.8624699717397705,3,0.00023060610584935994,1,1,1,0,0.7733393214225721,427.9746144410001,50.13436804699995,478.1888625700003,0.8625830867500467,0.7729811043182979,3,3,pc_macro_dice,0.8625830867500467,0.7729811043182979
14,0.02792561994627499,0.8673318935196939,0.8167499074997264,0.8673318935196939,0.8973814608204063,3,0.0735661302493725,0.7669600072372293,0.716764197756465,0.7669600072372293,0.8559054399267992,3,0.00021415400408897832,1,1,1,0,0.7733393214225721,428.0826991260001,50.43113103899941,478.5951866969999,0.8673318935196939,0.7669600072372293,3,3,pc_macro_dice,0.8673318935196939,0.7669600072372293
