epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9278035903699027,0
1,train,1,1,Necrotic-Core,0.020240662622593098,1
1,train,2,2,Edema,0.12892266418595305,1
1,train,3,4,Enhancing-Tumor,0.18379807849071986,1
1,eval,0,0,Background,0.9939317536290448,0
1,eval,1,1,Necrotic-Core,0.48547401469951784,1
1,eval,2,2,Edema,0.47627109152407954,1
1,eval,3,4,Enhancing-Tumor,0.5882540699177967,1
2,train,0,0,Background,0.9949009120119527,0
2,train,1,1,Necrotic-Core,0.6123923843103576,1
2,train,2,2,Edema,0.6170268462639121,1
2,train,3,4,Enhancing-Tumor,0.743106253416047,1
2,eval,0,0,Background,0.9934959159446098,0
2,eval,1,1,Necrotic-Core,0.657083587833888,1
2,eval,2,2,Edema,0.5997705336389352,1
2,eval,3,4,Enhancing-Tumor,0.7658062532801276,1
3,train,0,0,Background,0.9956166030849188,0
3,train,1,1,Necrotic-Core,0.743438650367508,1
3,train,2,2,Edema,0.6734992690834248,1
3,train,3,4,Enhancing-Tumor,0.8007422495049841,1
3,eval,0,0,Background,0.9954438338874254,0
3,eval,1,1,Necrotic-Core,0.672325555930322,1
3,eval,2,2,Edema,0.6694105366070584,1
3,eval,3,4,Enhancing-Tumor,0.7801411486565246,1
4,train,0,0,Background,0.9959750923412837,0
4,train,1,1,Necrotic-Core,0.7711134750066181,1
4,train,2,2,Edema,0.6935249710467738,1
4,train,3,4,Enhancing-Tumor,0.8172641650947,1
4,eval,0,0,Background,0.9960152234226164,0
4,eval,1,1,Necrotic-Core,0.6813991964066385,1
4,eval,2,2,Edema,0.6886740450595636,1
4,eval,3,4,Enhancing-Tumor,0.8344676089793733,1
5,train,0,0,Background,0.9961837074320791,0
5,train,1,1,Necrotic-Core,0.8093138680021593,1
5,train,2,2,Edema,0.711653827723614,1
5,train,3,4,Enhancing-Tumor,0.8321917674666475,1
5,eval,0,0,Background,0.9957801993416499,0
5,eval,1,1,Necrotic-Core,0.7281497851461718,1
5,eval,2,2,Edema,0.6887856364851666,1
5,eval,3,4,Enhancing-Tumor,0.8216691778799168,1
6,train,0,0,Background,0.9964700468801669,0
6,train,1,1,Necrotic-Core,0.8309540042121707,1
6,train,2,2,Edema,0.7321397644417069,1
6,train,3,4,Enhancing-Tumor,0.8434776147474286,1
6,eval,0,0,Background,0.9956082585610596,0
6,eval,1,1,Necrotic-Core,0.7219364164851851,1
6,eval,2,2,Edema,0.6840518218057529,1
6,eval,3,4,Enhancing-Tumor,0.824859008145585,1
7,train,0,0,Background,0.9965897471208379,0
7,train,1,1,Necrotic-Core,0.8476900937579419,1
7,train,2,2,Edema,0.7471117755862398,1
7,train,3,4,Enhancing-Tumor,0.853124292361205,1
7,eval,0,0,Background,0.996568168488485,0
7,eval,1,1,Necrotic-Core,0.7438680078639685,1
7,eval,2,2,Edema,0.7147892875460039,1
7,eval,3,4,Enhancing-Tumor,0.8502787768658369,1
8,train,0,0,Background,0.9968547351253022,0
8,train,1,1,Necrotic-Core,0.8638231392811309,1
8,train,2,2,Edema,0.7630910671219929,1
8,train,3,4,Enhancing-Tumor,0.8661387769586941,1
8,eval,0,0,Background,0.9964582173770898,0
8,eval,1,1,Necrotic-Core,0.7357774474636429,1
8,eval,2,2,Edema,0.7208426829919848,1
8,eval,3,4,Enhancing-Tumor,0.836702817511085,1
9,train,0,0,Background,0.996976175156584,0
9,train,1,1,Necrotic-Core,0.867390694918356,1
9,train,2,2,Edema,0.7724158750571644,1
9,train,3,4,Enhancing-Tumor,0.86809053031402,1
9,eval,0,0,Background,0.9966426415281712,0
9,eval,1,1,Necrotic-Core,0.7257027922376648,1
9,eval,2,2,Edema,0.7196553958218564,1
9,eval,3,4,Enhancing-Tumor,0.856872356559751,1
10,train,0,0,Background,0.9971281711523474,0
10,train,1,1,Necrotic-Core,0.8791499127232711,1
10,train,2,2,Edema,0.7842262698352291,1
10,train,3,4,Enhancing-Tumor,0.8737583988546764,1
10,eval,0,0,Background,0.9955000413082291,0
10,eval,1,1,Necrotic-Core,0.7450963229287006,1
10,eval,2,2,Edema,0.6881446180657246,1
10,eval,3,4,Enhancing-Tumor,0.8538968288973899,1
11,train,0,0,Background,0.9972423329485709,0
11,train,1,1,Necrotic-Core,0.8843070391764554,1
11,train,2,2,Edema,0.7921719861930937,1
11,train,3,4,Enhancing-Tumor,0.8769538399204917,1
11,eval,0,0,Background,0.9969522465617219,0
11,eval,1,1,Necrotic-Core,0.7018675904835545,1
11,eval,2,2,Edema,0.7215751561226815,1
11,eval,3,4,Enhancing-Tumor,0.858624211809988,1
12,train,0,0,Background,0.9973362241553886,0
12,train,1,1,Necrotic-Core,0.8855940534015744,1
12,train,2,2,Edema,0.8021880950921324,1
12,train,3,4,Enhancing-Tumor,0.8786222212238951,1
12,eval,0,0,Background,0.9969341656479462,0
12,eval,1,1,Necrotic-Core,0.7339462276405523,1
12,eval,2,2,Edema,0.7318565159629336,1
12,eval,3,4,Enhancing-Tumor,0.8542152206642308,1
13,train,0,0,Background,0.9975086096308506,0
13,train,1,1,Necrotic-Core,0.8909742930990664,1
13,train,2,2,Edema,0.8108720167306349,1
13,train,3,4,Enhancing-Tumor,0.8859029504204388,1
13,eval,0,0,Background,0.9967269374026887,0
13,eval,1,1,Necrotic-Core,0.7274785740401386,1
13,eval,2,2,Edema,0.7289947671749851,1
13,eval,3,4,Enhancing-Tumor,0.8624699717397705,1
14,train,0,0,Background,0.9975705214672527,0
14,train,1,1,Necrotic-Core,0.8973814608204063,1
14,train,2,2,Edema,0.8167499074997264,1
14,train,3,4,Enhancing-Tumor,0.8878643122389486,1
14,eval,0,0,Background,0.9968094681547961,0
14,eval,1,1,Necrotic-Core,0.716764197756465,1
14,eval,2,2,Edema,0.728210384028424,1
14,eval,3,4,Enhancing-Tumor,0.8559054399267992,1
15,train,0,0,Background,0.9976801164670321,0
15,train,1,1,Necrotic-Core,0.8997766972879312,1
15,train,2,2,Edema,0.8235732946419771,1
15,train,3,4,Enhancing-Tumor,0.8895808208941062,1
15,eval,0,0,Background,0.9966841250315969,0
15,eval,1,1,Necrotic-Core,0.722814886508985,1
15,eval,2,2,Edema,0.7275756985508312,1
15,eval,3,4,Enhancing-Tumor,0.8650969302342527,1
16,train,0,0,Background,0.9977586366896928,0
16,train,1,1,Necrotic-Core,0.9052040886860109,1
16,train,2,2,Edema,0.8300406677040583,1
16,train,3,4,Enhancing-Tumor,0.8941804326228618,1
16,eval,0,0,Background,0.9968759403036235,0
16,eval,1,1,Necrotic-Core,0.735999871667989,1
16,eval,2,2,Edema,0.7314098793619296,1
16,eval,3,4,Enhancing-Tumor,0.8656302597907299,1
17,train,0,0,Background,0.9978576438431674,0
17,train,1,1,Necrotic-Core,0.9073123549439909,1
17,train,2,2,Edema,0.8360078935137748,1
17,train,3,4,Enhancing-Tumor,0.8970665946605016,1
17,eval,0,0,Background,0.9970077565541337,0
17,eval,1,1,Necrotic-Core,0.7126373359252398,1
17,eval,2,2,Edema,0.7271152360107178,1
17,eval,3,4,Enhancing-Tumor,0.8586377163293936,1
18,train,0,0,Background,0.9979034338095681,0
18,train,1,1,Necrotic-Core,0.9114654482211879,1
18,train,2,2,Edema,0.8387654243893853,1
18,train,3,4,Enhancing-Tumor,0.9005246603844732,1
18,eval,0,0,Background,0.9968356476591994,0
18,eval,1,1,Necrotic-Core,0.731902264757264,1
18,eval,2,2,Edema,0.7321621499953266,1
18,eval,3,4,Enhancing-Tumor,0.8608382503271886,1
19,train,0,0,Background,0.9979689977361971,0
19,train,1,1,Necrotic-Core,0.9140317534438536,1
19,train,2,2,Edema,0.8441313527582811,1
19,train,3,4,Enhancing-Tumor,0.9025172958361221,1
19,eval,0,0,Background,0.9969504389164948,0
19,eval,1,1,Necrotic-Core,0.7297330902820538,1
19,eval,2,2,Edema,0.7310520668016995,1
19,eval,3,4,Enhancing-Tumor,0.8524714234712438,1
20,train,0,0,Background,0.9980234974910591,0
20,train,1,1,Necrotic-Core,0.9150437848206058,1
20,train,2,2,Edema,0.8503623149148459,1
20,train,3,4,Enhancing-Tumor,0.9047014626520903,1
20,eval,0,0,Background,0.9968915265206318,0
20,eval,1,1,Necrotic-Core,0.7349858006864924,1
20,eval,2,2,Edema,0.7355576560433541,1
20,eval,3,4,Enhancing-Tumor,0.8534645712120629,1
21,train,0,0,Background,0.9981021496817873,0
21,train,1,1,Necrotic-Core,0.9202421698970549,1
21,train,2,2,Edema,0.8535088559606606,1
21,train,3,4,Enhancing-Tumor,0.9073645631854322,1
