epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9830167154453975,0,1
1,train,1,Necrotic-Core,0.2553683588926151,1,0
1,train,2,Edema,0.37556064002970935,1,0
1,train,3,Enhancing-Tumor,0.294953896589768,1,0
1,eval,0,Background,0.9944769182943177,0,1
1,eval,1,Necrotic-Core,0.5558661347613655,1,0
1,eval,2,Edema,0.6136478958303633,1,0
1,eval,3,Enhancing-Tumor,0.7240239721272994,1,0
2,train,0,Background,0.995064352484853,0,1
2,train,1,Necrotic-Core,0.6725491261637648,1,0
2,train,2,Edema,0.6396393255880031,1,0
2,train,3,Enhancing-Tumor,0.7503797388499457,1,0
2,eval,0,Background,0.9954578836815932,0,1
2,eval,1,Necrotic-Core,0.6496507672726215,1,0
2,eval,2,Edema,0.6593402796796615,1,0
2,eval,3,Enhancing-Tumor,0.7623068535314076,1,0
3,train,0,Background,0.9956516920812446,0,1
3,train,1,Necrotic-Core,0.7489844244752962,1,0
3,train,2,Edema,0.6798113859558627,1,0
3,train,3,Enhancing-Tumor,0.7977130410213924,1,0
3,eval,0,Background,0.9960609861136687,0,1
3,eval,1,Necrotic-Core,0.6933709298893816,1,0
3,eval,2,Edema,0.6881740404856618,1,0
3,eval,3,Enhancing-Tumor,0.7884485984224658,1,0
4,train,0,Background,0.9960237553991157,0,1
4,train,1,Necrotic-Core,0.779887721498893,1,0
4,train,2,Edema,0.7008196948505225,1,0
4,train,3,Enhancing-Tumor,0.8155494387376201,1,0
4,eval,0,Background,0.9964079156739521,0,1
4,eval,1,Necrotic-Core,0.6678561027116353,1,0
4,eval,2,Edema,0.6777756934512947,1,0
4,eval,3,Enhancing-Tumor,0.8302122937598877,1,0
5,train,0,Background,0.9962655475707276,0,1
5,train,1,Necrotic-Core,0.8091629888774438,1,0
5,train,2,Edema,0.7189087880073264,1,0
5,train,3,Enhancing-Tumor,0.831758419008622,1,0
5,eval,0,Background,0.9960619613336557,0,1
5,eval,1,Necrotic-Core,0.7289861091485567,1,0
5,eval,2,Edema,0.6999960209485618,1,0
5,eval,3,Enhancing-Tumor,0.8212055540796908,1,0
6,train,0,Background,0.996534300842217,0,1
6,train,1,Necrotic-Core,0.8331361463147556,1,0
6,train,2,Edema,0.7387967568812147,1,0
6,train,3,Enhancing-Tumor,0.8422228361479236,1,0
6,eval,0,Background,0.9959509057862627,0,1
6,eval,1,Necrotic-Core,0.7262722023675046,1,0
6,eval,2,Edema,0.6987549142982996,1,0
6,eval,3,Enhancing-Tumor,0.8099929387967841,1,0
7,train,0,Background,0.9966851674069841,0,1
7,train,1,Necrotic-Core,0.8485130707312818,1,0
7,train,2,Edema,0.7547045953076232,1,0
7,train,3,Enhancing-Tumor,0.8518416299443192,1,0
7,eval,0,Background,0.9963206382639902,0,1
7,eval,1,Necrotic-Core,0.7393284149118594,1,0
7,eval,2,Edema,0.7018097729034557,1,0
7,eval,3,Enhancing-Tumor,0.8396859264713515,1,0
8,train,0,Background,0.9969368316583991,0,1
8,train,1,Necrotic-Core,0.8646254204412303,1,0
8,train,2,Edema,0.7698305499907218,1,0
8,train,3,Enhancing-Tumor,0.8637278827289974,1,0
8,eval,0,Background,0.996541581842627,0,1
8,eval,1,Necrotic-Core,0.7561245212197243,1,0
8,eval,2,Edema,0.7244186369570211,1,0
8,eval,3,Enhancing-Tumor,0.8504152436517256,1,0
9,train,0,Background,0.9970872588610987,0,1
9,train,1,Necrotic-Core,0.8667084825713803,1,0
9,train,2,Edema,0.7801806319181723,1,0
9,train,3,Enhancing-Tumor,0.8669728032180206,1,0
9,eval,0,Background,0.9967738650811876,0,1
9,eval,1,Necrotic-Core,0.7332191514555523,1,0
9,eval,2,Edema,0.7212318787572675,1,0
9,eval,3,Enhancing-Tumor,0.8466382368173336,1,0
10,train,0,Background,0.9972376687644396,0,1
10,train,1,Necrotic-Core,0.878894836933592,1,0
10,train,2,Edema,0.7917968468593457,1,0
10,train,3,Enhancing-Tumor,0.8731500799097016,1,0
10,eval,0,Background,0.9960095893378275,0,1
10,eval,1,Necrotic-Core,0.7488568059426071,1,0
10,eval,2,Edema,0.7050351956596482,1,0
10,eval,3,Enhancing-Tumor,0.8457403613072741,1,0
11,train,0,Background,0.9973461605555758,0,1
11,train,1,Necrotic-Core,0.8821890498141577,1,0
11,train,2,Edema,0.7994067617918674,1,0
11,train,3,Enhancing-Tumor,0.8762764615265127,1,0
11,eval,0,Background,0.9964225683870652,0,1
11,eval,1,Necrotic-Core,0.6995298252041935,1,0
11,eval,2,Edema,0.7182644463206891,1,0
11,eval,3,Enhancing-Tumor,0.8484665108380155,1,0
12,train,0,Background,0.9974430251199479,0,1
12,train,1,Necrotic-Core,0.8863987573336416,1,0
12,train,2,Edema,0.8095898524730022,1,0
12,train,3,Enhancing-Tumor,0.8787739338472965,1,0
12,eval,0,Background,0.9967644580733855,0,1
12,eval,1,Necrotic-Core,0.7319352432755994,1,0
12,eval,2,Edema,0.7306077908869842,1,0
12,eval,3,Enhancing-Tumor,0.8486229594293846,1,0
13,train,0,Background,0.9975782554538336,0,1
13,train,1,Necrotic-Core,0.8904081519245024,1,0
13,train,2,Edema,0.8158841524605822,1,0
13,train,3,Enhancing-Tumor,0.8849386871758512,1,0
13,eval,0,Background,0.9966604761957872,0,1
13,eval,1,Necrotic-Core,0.7314923292749456,1,0
13,eval,2,Edema,0.7263848020422695,1,0
13,eval,3,Enhancing-Tumor,0.8605037837917647,1,0
14,train,0,Background,0.9976397574443436,0,1
14,train,1,Necrotic-Core,0.8953573844796612,1,0
14,train,2,Edema,0.8215593239123076,1,0
14,train,3,Enhancing-Tumor,0.8868997824410855,1,0
14,eval,0,Background,0.996818213755885,0,1
14,eval,1,Necrotic-Core,0.7396944304817417,1,0
14,eval,2,Edema,0.7286513378270074,1,0
14,eval,3,Enhancing-Tumor,0.8630228764587239,1,0
15,train,0,Background,0.9977606513048484,0,1
