epoch,split,class_id,class_name,dice,valid,excluded
1,train,0,Background,0.9787804632189716,0,1
1,train,1,Necrotic-Core,0.06828046546143192,1,0
1,train,2,Edema,0.3074684152461365,1,0
1,train,3,Enhancing-Tumor,0.3551424952124547,1,0
1,eval,0,Background,0.994428523286446,0,1
1,eval,1,Necrotic-Core,0.24541110818733428,1,0
1,eval,2,Edema,0.5600323974939266,1,0
1,eval,3,Enhancing-Tumor,0.7142276907710202,1,0
2,train,0,Background,0.9945314921700688,0,1
2,train,1,Necrotic-Core,0.5734771073619405,1,0
2,train,2,Edema,0.6072853364098024,1,0
2,train,3,Enhancing-Tumor,0.740195243839636,1,0
2,eval,0,Background,0.9940786166406079,0,1
2,eval,1,Necrotic-Core,0.5647669782807128,1,0
2,eval,2,Edema,0.6281441119994807,1,0
2,eval,3,Enhancing-Tumor,0.5780220824555696,1,0
3,train,0,Background,0.9952872037683318,0,1
3,train,1,Necrotic-Core,0.7340621343622893,1,0
3,train,2,Edema,0.6608834817554711,1,0
3,train,3,Enhancing-Tumor,0.7939168498256645,1,0
3,eval,0,Background,0.9960610895863974,0,1
3,eval,1,Necrotic-Core,0.6205119059853136,1,0
3,eval,2,Edema,0.6462981735761474,1,0
3,eval,3,Enhancing-Tumor,0.8005153300972075,1,0
4,train,0,Background,0.9956801859602991,0,1
4,train,1,Necrotic-Core,0.7682569825018343,1,0
4,train,2,Edema,0.6833245985324697,1,0
4,train,3,Enhancing-Tumor,0.8148088888253386,1,0
4,eval,0,Background,0.9916742834281154,0,1
4,eval,1,Necrotic-Core,0.6229528936342391,1,0
4,eval,2,Edema,0.5462003333391982,1,0
4,eval,3,Enhancing-Tumor,0.7806689947756208,1,0
5,train,0,Background,0.9959809773625417,0,1
5,train,1,Necrotic-Core,0.8097386825923597,1,0
5,train,2,Edema,0.7040349697905938,1,0
5,train,3,Enhancing-Tumor,0.8312275862629733,1,0
5,eval,0,Background,0.9949776668464082,0,1
5,eval,1,Necrotic-Core,0.719901410353379,1,0
5,eval,2,Edema,0.6569288537018094,1,0
5,eval,3,Enhancing-Tumor,0.7333882917716208,1,0
6,train,0,Background,0.9962952996338491,0,1
6,train,1,Necrotic-Core,0.8332645660055384,1,0
6,train,2,Edema,0.7266342510592328,1,0
6,train,3,Enhancing-Tumor,0.841785069302255,1,0
6,eval,0,Background,0.9957378505655964,0,1
6,eval,1,Necrotic-Core,0.6892171154473635,1,0
6,eval,2,Edema,0.6751592000032022,1,0
6,eval,3,Enhancing-Tumor,0.7303141038481963,1,0
7,train,0,Background,0.9965023324066208,0,1
7,train,1,Necrotic-Core,0.8506196643434643,1,0
7,train,2,Edema,0.746148683301328,1,0
7,train,3,Enhancing-Tumor,0.8507698060001077,1,0
7,eval,0,Background,0.996420988198632,0,1
7,eval,1,Necrotic-Core,0.7366250162513543,1,0
7,eval,2,Edema,0.6967412184033168,1,0
7,eval,3,Enhancing-Tumor,0.8584351956413518,1,0
8,train,0,Background,0.9967741647823283,0,1
8,train,1,Necrotic-Core,0.8630940671740616,1,0
8,train,2,Edema,0.7617760489974611,1,0
8,train,3,Enhancing-Tumor,0.8651643767324847,1,0
8,eval,0,Background,0.9962376877136887,0,1
8,eval,1,Necrotic-Core,0.7039873020499887,1,0
8,eval,2,Edema,0.6953463713973898,1,0
8,eval,3,Enhancing-Tumor,0.8410511249562338,1,0
9,train,0,Background,0.9969363739514179,0,1
9,train,1,Necrotic-Core,0.8670691813374799,1,0
9,train,2,Edema,0.7735689782636698,1,0
9,train,3,Enhancing-Tumor,0.8683971598426421,1,0
9,eval,0,Background,0.9964937297559515,0,1
9,eval,1,Necrotic-Core,0.7196559249008602,1,0
9,eval,2,Edema,0.7018185774198048,1,0
9,eval,3,Enhancing-Tumor,0.8125347041983755,1,0
10,train,0,Background,0.997090572456059,0,1
10,train,1,Necrotic-Core,0.878663797263437,1,0
10,train,2,Edema,0.7844789835547853,1,0
10,train,3,Enhancing-Tumor,0.8737195038995219,1,0
10,eval,0,Background,0.9963090929050035,0,1
10,eval,1,Necrotic-Core,0.7242295771866488,1,0
10,eval,2,Edema,0.705159301293304,1,0
10,eval,3,Enhancing-Tumor,0.854512026016779,1,0
11,train,0,Background,0.9972212787418935,0,1
11,train,1,Necrotic-Core,0.8844796782165076,1,0
11,train,2,Edema,0.7940151893874704,1,0
11,train,3,Enhancing-Tumor,0.8777300646424901,1,0
11,eval,0,Background,0.9959450232286398,0,1
11,eval,1,Necrotic-Core,0.6495370018527016,1,0
11,eval,2,Edema,0.6911705321024371,1,0
11,eval,3,Enhancing-Tumor,0.8151236290811137,1,0
12,train,0,Background,0.997359832337858,0,1
12,train,1,Necrotic-Core,0.887619525797746,1,0
12,train,2,Edema,0.806036477644737,1,0
12,train,3,Enhancing-Tumor,0.8804637961828179,1,0
12,eval,0,Background,0.9966309847282584,0,1
12,eval,1,Necrotic-Core,0.694347655890483,1,0
12,eval,2,Edema,0.7054516525813549,1,0
12,eval,3,Enhancing-Tumor,0.8471608747212447,1,0
13,train,0,Background,0.9975125639186468,0,1
13,train,1,Necrotic-Core,0.8942914839600468,1,0
13,train,2,Edema,0.8136483729479816,1,0
13,train,3,Enhancing-Tumor,0.8879762802918703,1,0
13,eval,0,Background,0.9961327906614373,0,1
13,eval,1,Necrotic-Core,0.7117406940017279,1,0
13,eval,2,Edema,0.6987218605580655,1,0
13,eval,3,Enhancing-Tumor,0.863340778775567,1,0
14,train,0,Background,0.9975659455218211,0,1
14,train,1,Necrotic-Core,0.8979912793243454,1,0
14,train,2,Edema,0.818426818478446,1,0
14,train,3,Enhancing-Tumor,0.8897819250307766,1,0
14,eval,0,Background,0.9962365267717265,0,1
14,eval,1,Necrotic-Core,0.7055368022089884,1,0
14,eval,2,Edema,0.7025657744450057,1,0
14,eval,3,Enhancing-Tumor,0.85105349814091,1,0
15,train,0,Background,0.9977233787556014,0,1
15,train,1,Necrotic-Core,0.9027085380128066,1,0
15,train,2,Edema,0.828263387407336,1,0
15,train,3,Enhancing-Tumor,0.8922690824398153,1,0
15,eval,0,Background,0.9965189918123613,0,1
15,eval,1,Necrotic-Core,0.7040179355361008,1,0
15,eval,2,Edema,0.7104532758089378,1,0
15,eval,3,Enhancing-Tumor,0.8585235147070479,1,0
16,train,0,Background,0.9978089087807853,0,1
16,train,1,Necrotic-Core,0.9076421259550755,1,0
16,train,2,Edema,0.8350087938535125,1,0
16,train,3,Enhancing-Tumor,0.8968855786356981,1,0
16,eval,0,Background,0.9958037890883359,0,1
16,eval,1,Necrotic-Core,0.7096530884500591,1,0
16,eval,2,Edema,0.688250156220689,1,0
16,eval,3,Enhancing-Tumor,0.8613451991124383,1,0
17,train,0,Background,0.9979122569315546,0,1
17,train,1,Necrotic-Core,0.90947908757723,1,0
17,train,2,Edema,0.8411336810592328,1,0
17,train,3,Enhancing-Tumor,0.8991993207659116,1,0
17,eval,0,Background,0.9966466047239846,0,1
17,eval,1,Necrotic-Core,0.6954335783276406,1,0
17,eval,2,Edema,0.7113292069945283,1,0
17,eval,3,Enhancing-Tumor,0.857907255622201,1,0
18,train,0,Background,0.9979823945492512,0,1
18,train,1,Necrotic-Core,0.9137324463373391,1,0
18,train,2,Edema,0.8454952867869785,1,0
18,train,3,Enhancing-Tumor,0.9033012387224552,1,0
18,eval,0,Background,0.9966095119978235,0,1
18,eval,1,Necrotic-Core,0.6886711128142744,1,0
18,eval,2,Edema,0.7052482367072664,1,0
18,eval,3,Enhancing-Tumor,0.8342614436521046,1,0
19,train,0,Background,0.9980434459798074,0,1
19,train,1,Necrotic-Core,0.9169931960323602,1,0
19,train,2,Edema,0.8503089997476491,1,0
19,train,3,Enhancing-Tumor,0.9064352670040849,1,0
19,eval,0,Background,0.9965878758079992,0,1
19,eval,1,Necrotic-Core,0.7044081005451133,1,0
19,eval,2,Edema,0.7086341401910325,1,0
19,eval,3,Enhancing-Tumor,0.8466278560899783,1,0
20,train,0,Background,0.9981107666365776,0,1
20,train,1,Necrotic-Core,0.9180689065829476,1,0
20,train,2,Edema,0.8574449133174114,1,0
20,train,3,Enhancing-Tumor,0.90888586668249,1,0
20,eval,0,Background,0.9965857267494047,0,1
20,eval,1,Necrotic-Core,0.6950224146861089,1,0
20,eval,2,Edema,0.7123234883965903,1,0
20,eval,3,Enhancing-Tumor,0.8343457550544098,1,0
21,train,0,Background,0.9982000985099568,0,1
21,train,1,Necrotic-Core,0.9227506634119923,1,0
21,train,2,Edema,0.8609788571954167,1,0
21,train,3,Enhancing-Tumor,0.9114337473434567,1,0
21,eval,0,Background,0.996632169681031,0,1
21,eval,1,Necrotic-Core,0.7024148875819717,1,0
21,eval,2,Edema,0.7140446017953728,1,0
21,eval,3,Enhancing-Tumor,0.860161330306912,1,0
22,train,0,Background,0.9982702799177969,0,1
22,train,1,Necrotic-Core,0.9247137990945629,1,0
22,train,2,Edema,0.8648901128785518,1,0
22,train,3,Enhancing-Tumor,0.914878852841388,1,0
22,eval,0,Background,0.9964146962016586,0,1
22,eval,1,Necrotic-Core,0.703890800296552,1,0
22,eval,2,Edema,0.7079856123321249,1,0
22,eval,3,Enhancing-Tumor,0.8491205162333781,1,0
23,train,0,Background,0.9982940537915201,0,1
23,train,1,Necrotic-Core,0.9248749125002046,1,0
23,train,2,Edema,0.8693160344610216,1,0
23,train,3,Enhancing-Tumor,0.9161995137226855,1,0
23,eval,0,Background,0.9966730253338822,0,1
