epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9808141729196527,0
1,train,1,1,Necrotic-Core,0.05463523064446578,1
1,train,2,2,Edema,0.451043560603209,1
1,train,3,4,Enhancing-Tumor,0.13202544877712463,1
1,eval,0,0,Background,0.9958822541292768,0
1,eval,1,1,Necrotic-Core,0.23694064575113655,1
1,eval,2,2,Edema,0.5158837871028762,1
1,eval,3,4,Enhancing-Tumor,0.37653063505175166,1
2,train,0,0,Background,0.9966685012270484,0
2,train,1,1,Necrotic-Core,0.39411456007698675,1
2,train,2,2,Edema,0.6579835126045166,1
2,train,3,4,Enhancing-Tumor,0.45432675092935865,1
2,eval,0,0,Background,0.9971171609868605,0
2,eval,1,1,Necrotic-Core,0.3607733106610054,1
2,eval,2,2,Edema,0.683013032687616,1
2,eval,3,4,Enhancing-Tumor,0.4724057000711488,1
3,train,0,0,Background,0.9970271395889913,0
3,train,1,1,Necrotic-Core,0.467255356087215,1
3,train,2,2,Edema,0.7017103789989816,1
3,train,3,4,Enhancing-Tumor,0.5067875302323117,1
3,eval,0,0,Background,0.997330872142512,0
3,eval,1,1,Necrotic-Core,0.3392227253390738,1
3,eval,2,2,Edema,0.694162529243521,1
3,eval,3,4,Enhancing-Tumor,0.5073072809857267,1
4,train,0,0,Background,0.9973115669504342,0
4,train,1,1,Necrotic-Core,0.5298958025306565,1
4,train,2,2,Edema,0.7272256628927034,1
4,train,3,4,Enhancing-Tumor,0.5486973350348076,1
4,eval,0,0,Background,0.9976729286644469,0
4,eval,1,1,Necrotic-Core,0.4036105261126704,1
4,eval,2,2,Edema,0.7480125590057675,1
4,eval,3,4,Enhancing-Tumor,0.5501995452292118,1
5,train,0,0,Background,0.9974896395924228,0
5,train,1,1,Necrotic-Core,0.5799216306405809,1
5,train,2,2,Edema,0.7486486026716747,1
5,train,3,4,Enhancing-Tumor,0.577367085141107,1
5,eval,0,0,Background,0.9966355101583388,0
5,eval,1,1,Necrotic-Core,0.541660996741901,1
5,eval,2,2,Edema,0.7042036485513306,1
5,eval,3,4,Enhancing-Tumor,0.5399858028376848,1
6,train,0,0,Background,0.9977176850576184,0
6,train,1,1,Necrotic-Core,0.6377670150671222,1
6,train,2,2,Edema,0.7725939948898034,1
6,train,3,4,Enhancing-Tumor,0.6119141909819278,1
6,eval,0,0,Background,0.997030538913596,0
6,eval,1,1,Necrotic-Core,0.5358017697934105,1
6,eval,2,2,Edema,0.6697121524197456,1
6,eval,3,4,Enhancing-Tumor,0.43216391681722593,1
7,train,0,0,Background,0.9977696311655762,0
7,train,1,1,Necrotic-Core,0.686864348669347,1
7,train,2,2,Edema,0.7871605772858208,1
7,train,3,4,Enhancing-Tumor,0.6429612347461308,1
7,eval,0,0,Background,0.997717199368791,0
7,eval,1,1,Necrotic-Core,0.56767982125387,1
7,eval,2,2,Edema,0.7460899053415185,1
7,eval,3,4,Enhancing-Tumor,0.5712484815799228,1
8,train,0,0,Background,0.997933309213855,0
8,train,1,1,Necrotic-Core,0.7180614704569532,1
8,train,2,2,Edema,0.8023405969672004,1
8,train,3,4,Enhancing-Tumor,0.6764246391791947,1
8,eval,0,0,Background,0.9979178025192816,0
8,eval,1,1,Necrotic-Core,0.4555152603833659,1
8,eval,2,2,Edema,0.7725255524843724,1
8,eval,3,4,Enhancing-Tumor,0.5784117861109468,1
9,train,0,0,Background,0.9980198802477885,0
9,train,1,1,Necrotic-Core,0.7348758853812165,1
9,train,2,2,Edema,0.8120628497030763,1
9,train,3,4,Enhancing-Tumor,0.6981116715322913,1
9,eval,0,0,Background,0.9976283382570396,0
9,eval,1,1,Necrotic-Core,0.5629836479732004,1
9,eval,2,2,Edema,0.7556860847362565,1
9,eval,3,4,Enhancing-Tumor,0.5877675095799022,1
10,train,0,0,Background,0.9981045971939394,0
10,train,1,1,Necrotic-Core,0.7584146559994884,1
10,train,2,2,Edema,0.8227575357753748,1
10,train,3,4,Enhancing-Tumor,0.7177248671894276,1
10,eval,0,0,Background,0.9971264675223026,0
10,eval,1,1,Necrotic-Core,0.499606111405733,1
10,eval,2,2,Edema,0.7402615885280787,1
10,eval,3,4,Enhancing-Tumor,0.5917514536316149,1
11,train,0,0,Background,0.9981956934332845,0
11,train,1,1,Necrotic-Core,0.7717622460187143,1
11,train,2,2,Edema,0.8323257093605516,1
11,train,3,4,Enhancing-Tumor,0.7363933722902464,1
11,eval,0,0,Background,0.9978987700984661,0
11,eval,1,1,Necrotic-Core,0.45846182652715384,1
11,eval,2,2,Edema,0.7693582216353833,1
11,eval,3,4,Enhancing-Tumor,0.5921646467969478,1
12,train,0,0,Background,0.9982420919287832,0
12,train,1,1,Necrotic-Core,0.7747486086646156,1
12,train,2,2,Edema,0.8407854372467751,1
12,train,3,4,Enhancing-Tumor,0.7442004398395188,1
12,eval,0,0,Background,0.9980401291236104,0
12,eval,1,1,Necrotic-Core,0.5057573399433523,1
12,eval,2,2,Edema,0.7761683359490882,1
12,eval,3,4,Enhancing-Tumor,0.5981197922469316,1
13,train,0,0,Background,0.9983397931072173,0
13,train,1,1,Necrotic-Core,0.7889512991369231,1
13,train,2,2,Edema,0.8474632869104572,1
13,train,3,4,Enhancing-Tumor,0.7613524272289489,1
13,eval,0,0,Background,0.9975597273669987,0
13,eval,1,1,Necrotic-Core,0.5281379439206675,1
13,eval,2,2,Edema,0.7579662611108549,1
13,eval,3,4,Enhancing-Tumor,0.6065676790636523,1
14,train,0,0,Background,0.9983554397379514,0
14,train,1,1,Necrotic-Core,0.7962529080953659,1
14,train,2,2,Edema,0.8510536821726348,1
14,train,3,4,Enhancing-Tumor,0.768660181334175,1
14,eval,0,0,Background,0.9980485817343291,0
14,eval,1,1,Necrotic-Core,0.5039158855025978,1
14,eval,2,2,Edema,0.7771194302593554,1
14,eval,3,4,Enhancing-Tumor,0.6001921887578067,1
15,train,0,0,Background,0.9984492369726126,0
15,train,1,1,Necrotic-Core,0.8038094442786521,1
15,train,2,2,Edema,0.8587120471713988,1
15,train,3,4,Enhancing-Tumor,0.7780493151573428,1
15,eval,0,0,Background,0.9978987572518845,0
15,eval,1,1,Necrotic-Core,0.5342478778299541,1
15,eval,2,2,Edema,0.775247855050699,1
15,eval,3,4,Enhancing-Tumor,0.6026930910637924,1
16,train,0,0,Background,0.998485473709174,0
16,train,1,1,Necrotic-Core,0.8148957751792181,1
16,train,2,2,Edema,0.8636551947824577,1
16,train,3,4,Enhancing-Tumor,0.7891365195571786,1
16,eval,0,0,Background,0.9977848609160022,0
16,eval,1,1,Necrotic-Core,0.5559351297385404,1
16,eval,2,2,Edema,0.7698606906874373,1
16,eval,3,4,Enhancing-Tumor,0.5980975644944305,1
17,train,0,0,Background,0.99853917952836,0
17,train,1,1,Necrotic-Core,0.8187317046054515,1
17,train,2,2,Edema,0.8681872651091282,1
17,train,3,4,Enhancing-Tumor,0.7945603061375901,1
17,eval,0,0,Background,0.9979577011610248,0
17,eval,1,1,Necrotic-Core,0.5362151140155443,1
17,eval,2,2,Edema,0.7769014369516541,1
17,eval,3,4,Enhancing-Tumor,0.6006813947068792,1
18,train,0,0,Background,0.9985722649044725,0
18,train,1,1,Necrotic-Core,0.8260234358290066,1
18,train,2,2,Edema,0.8710205400468989,1
18,train,3,4,Enhancing-Tumor,0.8038404143105744,1
18,eval,0,0,Background,0.9979760716210978,0
18,eval,1,1,Necrotic-Core,0.5598679935742519,1
18,eval,2,2,Edema,0.7772219308694583,1
18,eval,3,4,Enhancing-Tumor,0.6016230987932804,1
19,train,0,0,Background,0.9985977796947471,0
19,train,1,1,Necrotic-Core,0.8334493249526871,1
19,train,2,2,Edema,0.8746227579812824,1
19,train,3,4,Enhancing-Tumor,0.8105909634643469,1
19,eval,0,0,Background,0.9980633900188365,0
19,eval,1,1,Necrotic-Core,0.5278333915947291,1
19,eval,2,2,Edema,0.7815402615786426,1
19,eval,3,4,Enhancing-Tumor,0.6048403385063886,1
20,train,0,0,Background,0.9986255914449202,0
20,train,1,1,Necrotic-Core,0.8377643388393501,1
20,train,2,2,Edema,0.8801111916935089,1
20,train,3,4,Enhancing-Tumor,0.8162225238026304,1
20,eval,0,0,Background,0.9979454506433537,0
20,eval,1,1,Necrotic-Core,0.5411194593636598,1
20,eval,2,2,Edema,0.7740137157073861,1
20,eval,3,4,Enhancing-Tumor,0.6044542962104071,1
21,train,0,0,Background,0.9986784383343722,0
21,train,1,1,Necrotic-Core,0.8453897954051165,1
21,train,2,2,Edema,0.882434769284729,1
21,train,3,4,Enhancing-Tumor,0.8232497394016329,1
21,eval,0,0,Background,0.9979639963131939,0
21,eval,1,1,Necrotic-Core,0.538226794016915,1
21,eval,2,2,Edema,0.779827442325103,1
21,eval,3,4,Enhancing-Tumor,0.6027031476030539,1
22,train,0,0,Background,0.9987265346644373,0
22,train,1,1,Necrotic-Core,0.850499259259451,1
22,train,2,2,Edema,0.8860769632114764,1
22,train,3,4,Enhancing-Tumor,0.8300090359476461,1
22,eval,0,0,Background,0.9980602340441933,0
22,eval,1,1,Necrotic-Core,0.5440845701094109,1
22,eval,2,2,Edema,0.7831558461591372,1
22,eval,3,4,Enhancing-Tumor,0.6018444798789329,1
23,train,0,0,Background,0.9987277953513573,0
23,train,1,1,Necrotic-Core,0.8504968088472848,1
23,train,2,2,Edema,0.8891864804424985,1
23,train,3,4,Enhancing-Tumor,0.8343359406252537,1
23,eval,0,0,Background,0.9980315727591613,0
23,eval,1,1,Necrotic-Core,0.5591856173646171,1
23,eval,2,2,Edema,0.7816559497703297,1
23,eval,3,4,Enhancing-Tumor,0.6001861987286908,1
24,train,0,0,Background,0.9987647701098001,0
