epoch,train_loss,train_macro_dice,train_dice_min,train_dice_mean,train_dice_max,train_num_valid_classes,eval_loss,eval_macro_dice,eval_dice_min,eval_dice_mean,eval_dice_max,eval_num_valid_classes,lr,train_num_excluded_classes,eval_num_excluded_classes,eval_ran,best_updated,best_eval_macro_dice,train_time_s,eval_time_s,epoch_time_s,train_pc_macro_dice,eval_pc_macro_dice,train_num_present_classes,eval_num_present_classes,primary_metric_name,train_primary_metric,eval_primary_metric
1,0.6836501882075311,0.183794182473794,0.005846075912137276,0.183794182473794,0.4746496161300166,3,0.11667542225328292,0.25090642308978545,0.0,0.25090642308978545,0.5951110088646002,3,0.00011999999999999999,1,1,1,1,0.25090642308978545,259.0175504079998,31.929625141000088,291.1101408720001,0.183794182473794,0.25090642308978545,3,3,pc_macro_dice,0.183794182473794,0.25090642308978545
2,0.10025466029374554,0.4133027869700121,0.2097781339867981,0.4133027869700121,0.6203190356860557,3,0.09083067240181622,0.5026054099082378,0.3474878616399079,0.5026054099082378,0.6802499726496676,3,0.00017999999999999998,1,1,1,1,0.5026054099082378,171.9732253269999,27.997846968000204,200.14327788799983,0.4133027869700121,0.5026054099082378,3,3,pc_macro_dice,0.4133027869700121,0.5026054099082378
3,0.0828382716582606,0.5575003569997752,0.4723944624761639,0.5575003569997752,0.6976783941881316,3,0.0854151190605584,0.48713809563519384,0.31498218882809165,0.48713809563519384,0.6769886287051665,3,0.00023999999999999998,1,1,1,0,0.5026054099082378,172.22627076799995,28.154928235999932,200.4701586419999,0.5575003569997752,0.48713809563519384,3,3,pc_macro_dice,0.5575003569997752,0.48713809563519384
4,0.07066115496245721,0.6103153206207456,0.5502179391856825,0.6103153206207456,0.7283911279903572,3,0.07876025875333317,0.5659653432559314,0.39686561844930435,0.5659653432559314,0.7416952340351478,3,0.0003,1,1,1,1,0.5659653432559314,171.84728564400007,27.288702073999957,199.32515352399992,0.6103153206207456,0.5659653432559314,3,3,pc_macro_dice,0.6103153206207456,0.5659653432559314
5,0.06485419237789826,0.6511684630400287,0.5876178195569707,0.6511684630400287,0.7510925584774345,3,0.07401558895191997,0.6167058593641834,0.5377348430987385,0.6167058593641834,0.7483339859502323,3,0.0003,1,1,1,1,0.6167058593641834,200.54906555700018,29.022488758000236,229.780855556,0.6511684630400287,0.6167058593641834,3,3,pc_macro_dice,0.6511684630400287,0.6167058593641834
6,0.0588111550764392,0.6850729378932564,0.6200221036950695,0.6850729378932564,0.7705757742009093,3,0.0751991610607773,0.6315501453078851,0.5693624659138121,0.6315501453078851,0.7537399226450178,3,0.00029882114784651444,1,1,1,1,0.6315501453078851,199.42730735500027,29.091306924000037,228.72893887700002,0.6850729378932564,0.6315501453078851,3,3,pc_macro_dice,0.6850729378932564,0.6315501453078851
7,0.05450769716028731,0.7116816332725453,0.6479814214901803,0.7116816332725453,0.7869396253157043,3,0.0800799141603872,0.6287861623188277,0.556572647022945,0.6287861623188277,0.7687069190355525,3,0.00029530318258873034,1,1,1,0,0.6315501453078851,199.72391397,28.78930867200006,228.62090495199982,0.7116816332725453,0.6287861623188277,3,3,pc_macro_dice,0.7116816332725453,0.6287861623188277
8,0.04932278425346453,0.7336078035921221,0.6771798861114873,0.7336078035921221,0.8009279677006745,3,0.08443922730263584,0.5774190630194759,0.4077583032995998,0.5774190630194759,0.7576568124772861,3,0.00028950158464029354,1,1,1,0,0.6315501453078851,199.07514591599966,29.22659039700011,228.4315767400003,0.7336078035921221,0.5774190630194759,3,3,pc_macro_dice,0.7336078035921221,0.5774190630194759
9,0.04588283779331671,0.7503226880657117,0.697595229347092,0.7503226880657117,0.8129611801629902,3,0.0768580749708044,0.6389447492309179,0.5651350377717606,0.6389447492309179,0.7600554127032092,3,0.00028150784866655756,1,1,1,1,0.6389447492309179,200.5830446959999,29.751878765999663,230.54153903099996,0.7503226880657117,0.6389447492309179,3,3,pc_macro_dice,0.7503226880657117,0.6389447492309179
10,0.043480404947226804,0.7655965498375157,0.7156607690568492,0.7655965498375157,0.8208215468102348,3,0.08237413861558944,0.6158092015414469,0.48251091446650507,0.6158092015414469,0.7708862883207711,3,0.0002714480406590546,1,1,1,0,0.6389447492309179,199.94928394499993,29.33706593399984,229.38316490399984,0.7655965498375157,0.6158092015414469,3,3,pc_macro_dice,0.7655965498375157,0.6158092015414469
11,0.04064994398653269,0.7771260287334023,0.7314940810405285,0.7771260287334023,0.8300962727004281,3,0.0823868657102672,0.6408146719306556,0.55266350583841,0.6408146719306556,0.7750448783991433,3,0.000259480809799501,1,1,1,1,0.6408146719306556,200.4103122790002,29.355886027999986,229.96613739299983,0.7771260287334023,0.6408146719306556,3,3,pc_macro_dice,0.7771260287334023,0.6408146719306556
12,0.03859089011290726,0.7858437310460258,0.7419826013821078,0.7858437310460258,0.8392540496181954,3,0.08117458997309136,0.6241484348337729,0.5083272120193545,0.6241484348337729,0.7722602932197851,3,0.0002457948864674291,1,1,1,0,0.6408146719306556,200.59292323199998,29.445169132000046,230.14718088300015,0.7858437310460258,0.6241484348337729,3,3,pc_macro_dice,0.7858437310460258,0.6241484348337729
13,0.03664215119144978,0.7977142025717765,0.7575291637916759,0.7977142025717765,0.8455177704427725,3,0.08480316907639028,0.6336321036549505,0.5260794833057372,0.6336321036549505,0.7741890524999011,3,0.00023060610584935994,1,1,1,0,0.6408146719306556,200.7208062599998,29.6634849080001,230.46766997999976,0.7977142025717765,0.6336321036549505,3,3,pc_macro_dice,0.7977142025717765,0.6336321036549505
14,0.03525774850742148,0.8048102248463238,0.7672056746995796,0.8048102248463238,0.8494993996772331,3,0.08310094462028426,0.6445955904583403,0.5576704531349312,0.6445955904583403,0.7777417767923365,3,0.00021415400408897832,1,1,1,1,0.6445955904583403,200.65976896699976,29.90902522200031,230.7805891549997,0.8048102248463238,0.6445955904583403,3,3,pc_macro_dice,0.8048102248463238,0.6445955904583403
