epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9249316189111758,0
1,train,1,1,Necrotic-Core,0.09879343349686971,1
1,train,2,2,Edema,0.21755226248022883,1
1,train,3,4,Enhancing-Tumor,0.035763584081516815,1
1,eval,0,0,Background,0.9949611112104911,0
1,eval,1,1,Necrotic-Core,0.17271510826343375,1
1,eval,2,2,Edema,0.4503722155755476,1
1,eval,3,4,Enhancing-Tumor,0.3525372094256744,1
2,train,0,0,Background,0.9964729862124387,0
2,train,1,1,Necrotic-Core,0.3428948770049009,1
2,train,2,2,Edema,0.6181705574150517,1
2,train,3,4,Enhancing-Tumor,0.420970892640397,1
2,eval,0,0,Background,0.997198102019984,0
2,eval,1,1,Necrotic-Core,0.34047528397371984,1
2,eval,2,2,Edema,0.6241611158231535,1
2,eval,3,4,Enhancing-Tumor,0.4434402649673616,1
3,train,0,0,Background,0.9969322259480659,0
3,train,1,1,Necrotic-Core,0.4056192870163812,1
3,train,2,2,Edema,0.6904706301278626,1
3,train,3,4,Enhancing-Tumor,0.4900818580059835,1
3,eval,0,0,Background,0.9972854480420204,0
3,eval,1,1,Necrotic-Core,0.34459023641261227,1
3,eval,2,2,Edema,0.6797998865453048,1
3,eval,3,4,Enhancing-Tumor,0.4758848579706302,1
4,train,0,0,Background,0.9972431904444049,0
4,train,1,1,Necrotic-Core,0.502260139142201,1
4,train,2,2,Edema,0.7220111137772287,1
4,train,3,4,Enhancing-Tumor,0.5356120756996923,1
4,eval,0,0,Background,0.997647390637198,0
4,eval,1,1,Necrotic-Core,0.4379689774091805,1
4,eval,2,2,Edema,0.7315118908947967,1
4,eval,3,4,Enhancing-Tumor,0.5424797423686272,1
5,train,0,0,Background,0.9974482012640028,0
5,train,1,1,Necrotic-Core,0.5672208613711686,1
5,train,2,2,Edema,0.7424625699713867,1
5,train,3,4,Enhancing-Tumor,0.5686806037749355,1
5,eval,0,0,Background,0.9976489774607104,0
5,eval,1,1,Necrotic-Core,0.5246152081542381,1
5,eval,2,2,Edema,0.7337610709074621,1
5,eval,3,4,Enhancing-Tumor,0.5193813823383469,1
6,train,0,0,Background,0.9976394883921882,0
6,train,1,1,Necrotic-Core,0.6221276719550008,1
6,train,2,2,Edema,0.7635695542813308,1
6,train,3,4,Enhancing-Tumor,0.6003660908860808,1
6,eval,0,0,Background,0.9971325162159265,0
6,eval,1,1,Necrotic-Core,0.4924607569393631,1
6,eval,2,2,Edema,0.651464628206558,1
6,eval,3,4,Enhancing-Tumor,0.4370193844708022,1
7,train,0,0,Background,0.9977277525660216,0
7,train,1,1,Necrotic-Core,0.6632339113709214,1
7,train,2,2,Edema,0.7800664629909716,1
7,train,3,4,Enhancing-Tumor,0.6223258758324619,1
7,eval,0,0,Background,0.9977576941628554,0
