epoch,split,enc_id,orig_ids,label_name,dice,macro_included
1,train,0,0,Background,0.9776730791719106,0
1,train,1,1,Necrotic-Core,0.01764784034197066,1
1,train,2,2,Edema,0.49403676355583914,1
1,train,3,4,Enhancing-Tumor,0.10589686830754377,1
1,eval,0,0,Background,0.9965170682694678,0
1,eval,1,1,Necrotic-Core,0.13028912641213936,1
1,eval,2,2,Edema,0.5906861416274322,1
1,eval,3,4,Enhancing-Tumor,0.13635359238530373,1
2,train,0,0,Background,0.9965252083477255,0
2,train,1,1,Necrotic-Core,0.3541071000702153,1
2,train,2,2,Edema,0.5490174082722187,1
2,train,3,4,Enhancing-Tumor,0.28952919097796576,1
2,eval,0,0,Background,0.9965850365116324,0
2,eval,1,1,Necrotic-Core,0.32600853504960375,1
2,eval,2,2,Edema,0.5361748529673463,1
2,eval,3,4,Enhancing-Tumor,0.35701960784295483,1
3,train,0,0,Background,0.9967556469237402,0
3,train,1,1,Necrotic-Core,0.4401251011109367,1
3,train,2,2,Edema,0.6561712545054,1
3,train,3,4,Enhancing-Tumor,0.46594797881421446,1
3,eval,0,0,Background,0.9970190047460448,0
3,eval,1,1,Necrotic-Core,0.32909523090105547,1
3,eval,2,2,Edema,0.6693272713784175,1
3,eval,3,4,Enhancing-Tumor,0.4719946967755092,1
4,train,0,0,Background,0.9971136924772696,0
4,train,1,1,Necrotic-Core,0.5223499921282734,1
4,train,2,2,Edema,0.7060249522073263,1
4,train,3,4,Enhancing-Tumor,0.5241088297779866,1
4,eval,0,0,Background,0.9974612831441829,0
4,eval,1,1,Necrotic-Core,0.305123724993866,1
4,eval,2,2,Edema,0.6780585363069773,1
4,eval,3,4,Enhancing-Tumor,0.478409065192678,1
5,train,0,0,Background,0.9973383229958065,0
5,train,1,1,Necrotic-Core,0.5784382990597144,1
5,train,2,2,Edema,0.7328679836582481,1
5,train,3,4,Enhancing-Tumor,0.5622386808141319,1
5,eval,0,0,Background,0.9974959375321649,0
5,eval,1,1,Necrotic-Core,0.5244847650074289,1
5,eval,2,2,Edema,0.6916471918962035,1
5,eval,3,4,Enhancing-Tumor,0.4914710340211052,1
6,train,0,0,Background,0.9975470697248767,0
6,train,1,1,Necrotic-Core,0.639600774105251,1
6,train,2,2,Edema,0.7574374012016856,1
6,train,3,4,Enhancing-Tumor,0.5948954048923676,1
